CatalogGroupSEO
GroupIdentifier,LanguageId
Apparel,-5
Appliances,-5
Bath Accessories,-5
Bolts,-5
Boys,-5
Boys Pants,-5
Boys Shoes,-5
Boys Tops,-5
Computers Accessories,-5
Computers Components,-5
Computers Desktops,-5
Computers Laptops,-5
Computers Tablets,-5
Dairy,-5
Dresses,-5
Electronics,-5
Fasteners,-5
Fruit,-5
Furniture,-5
Girls,-5
Girls Dresses Skirts,-5
Girls Pants,-5
Girls Shoes,-5
Girls Tops,-5
Grocery,-5
Hardware,-5
Hardware Lighting,-5
Health,-5
Home Furnishings,-5
Kitchenware,-5
Lighting,-5
Magazines,-5
Meat,-5
Medicine,-5
Men,-5
Men Accessories,-5
Men Jackets,-5
Men Pants,-5
Men Shirts,-5
Men Shoes,-5
Men Suits,-5
Newsletters,-5
NewslettersAndMagazines,-5
Nuts,-5
Screws,-5
Tableware,-5
Vegetables,-5
Vitamins,-5
Women,-5
Women Accessories,-5
Women Handbags,-5
Women Pants,-5
Women Shirts Blouses,-5
Women Shoes,-5
Women Skirts,-5
Women Sweaters,-5
