CatalogGroupSEO
GroupIdentifier,LanguageId
Apparel,-2
Appliances,-2
Bath Accessories,-2
Bolts,-2
Boys,-2
Boys Pants,-2
Boys Shoes,-2
Boys Tops,-2
Computers Accessories,-2
Computers Components,-2
Computers Desktops,-2
Computers Laptops,-2
Computers Tablets,-2
Dairy,-2
Dresses,-2
Electronics,-2
Fasteners,-2
Fruit,-2
Furniture,-2
Girls,-2
Girls Dresses Skirts,-2
Girls Pants,-2
Girls Shoes,-2
Girls Tops,-2
Grocery,-2
Hardware,-2
Hardware Lighting,-2
Health,-2
Home Furnishings,-2
Kitchenware,-2
Lighting,-2
Magazines,-2
Meat,-2
Medicine,-2
Men,-2
Men Accessories,-2
Men Jackets,-2
Men Pants,-2
Men Shirts,-2
Men Shoes,-2
Men Suits,-2
Newsletters,-2
NewslettersAndMagazines,-2
Nuts,-2
Screws,-2
Tableware,-2
Vegetables,-2
Vitamins,-2
Women,-2
Women Accessories,-2
Women Handbags,-2
Women Pants,-2
Women Shirts Blouses,-2
Women Shoes,-2
Women Skirts,-2
Women Sweaters,-2
