CatalogGroupSEO
GroupIdentifier,LanguageId
Apparel,-10
Appliances,-10
Bath Accessories,-10
Bolts,-10
Boys,-10
Boys Pants,-10
Boys Shoes,-10
Boys Tops,-10
Computers Accessories,-10
Computers Components,-10
Computers Desktops,-10
Computers Laptops,-10
Computers Tablets,-10
Dairy,-10
Dresses,-10
Electronics,-10
Fasteners,-10
Fruit,-10
Furniture,-10
Girls,-10
Girls Dresses Skirts,-10
Girls Pants,-10
Girls Shoes,-10
Girls Tops,-10
Grocery,-10
Hardware,-10
Hardware Lighting,-10
Health,-10
Home Furnishings,-10
Kitchenware,-10
Lighting,-10
Magazines,-10
Meat,-10
Medicine,-10
Men,-10
Men Accessories,-10
Men Jackets,-10
Men Pants,-10
Men Shirts,-10
Men Shoes,-10
Men Suits,-10
Newsletters,-10
NewslettersAndMagazines,-10
Nuts,-10
Screws,-10
Tableware,-10
Vegetables,-10
Vitamins,-10
Women,-10
Women Accessories,-10
Women Handbags,-10
Women Pants,-10
Women Shirts Blouses,-10
Women Shoes,-10
Women Skirts,-10
Women Sweaters,-10
