AttachmentDescription
identifier,name,shortDescription,longDescription,languageId,delete
HeaderStoreLogo,ストア・ロゴ,AuroraStorefrontAssetStore,,-10,0
EmailBanner,E メール・バナー,E メール・バナー,,-10,0
EmailBottom_Content,E メール・ストア販売促進ロゴ,E メール・ストア販売促進ロゴ,,-10,0
WomenLandingPage_Atct_brand1,Brand1,ブランドの表示,,-10,0
WomenLandingPage_Atct_brand2,brand2,ブランドの表示,,-10,0
WomenLandingPage_Atct_brand3,brand3,ブランドの表示,,-10,0
WomenLandingPage_Atct_brand4,brand4,ブランドの表示,,-10,0
WomenLandingPage_Atct_brand5,brand5,ブランドの表示,,-10,0
HeaderESpot15OffPurchaseAd,購入額の 15% 割引,総購入額の 15% 割引,,-10,0
HeaderESpotFreeShippingSpecial,配送料無料,"10,000 円以上購入の場合、配送料無料",,-10,0
BoysPants_Atct_1,暖かいセーター,"暖かいセーター 1 枚購入すれば、2 枚目が 25% 割引
 ",,-10,0
BoysPants_Atct_2,ジーンズ,男の子用ジーンズ 全種類 35% 割引,,-10,0
BoysShoes_Atct_1,トップス,トップスのバーゲン 男の子向けトップスが 25% 割引,,-10,0
BoysShoes_Atct_2,靴の特売,"男の子用靴の特売 2 足購入すれば、3 足目が無料",,-10,0
BoysTops_Atct_1,暖かいセーター,"暖かいセーター 1 枚購入すれば、2 枚目が 25% 割引
 ",,-10,0
BoysTops_Atct_2,ジーンズ,男の子用ジーンズ 全種類 35% 割引,,-10,0
BoysRow1_Content,男の子向け特売,かっこいいトップスの特売 男の子向けトップスが 30% 割引,,-10,0
GirlsDS_Atct_1,ドレスの特売,ドレスの特売 女の子用ドレスが 30% 割引,,-10,0
GirlsDS_Atct_2,靴の特売,"女の子用靴の特売 2 足購入すれば、3 足目が無料",,-10,0
GirlsPants_Atct_1,デニム,デニムのバーゲン 女の子用ジーンズが 35% 割引,,-10,0
GirlsPants_Atct_2,夏の在庫一掃,夏の在庫一掃 女の子用夏物スカートおよびワンピースが 50% 割引,,-10,0
GirlsShoes_Atct_1,靴の特売,"女の子用靴の特売 2 足購入すれば、3 足目が無料",,-10,0
GirlsShoes_Atct_2,靴の特売 ,"女の子用靴の特売 2 足購入すれば、3 足目が無料",,-10,0
GirlsTops_Atct_1,T シャツおよびトップス,T シャツおよびトップス 女の子用 T シャツおよびトップスが 30% 割引,,-10,0
GirlsTops_Atct_2,快適な暖かさのセーター,快適な暖かさのセーター,,-10,0
MenAcc_Atct_1,絹ネクタイ,絹ネクタイの特売 スーツの購入で 50% 割引,,-10,0
MenAcc_Atct_2,正装,礼服の特売 紳士用スーツが 20% 割引,,-10,0
MenJackets_Atct_1,クール・レザー,クール・レザー 紳士用レザー・ジャケットが 20% 割引,,-10,0
MenJackets_Atct_2,高級カシミヤ,高級カシミヤ 紳士用カシミア混紡コートが 15% 割引,,-10,0
MenPants_Atct_1,ジーンズ,コンフォート・ジーンズ 紳士用カジュアル・デニムが 15% 割引,,-10,0
MenPants_Atct_2,靴の特売,"紳士靴の特売 2 足購入すれば、3 足目が無料",,-10,0
MenShirts_Atct_1,ベーシック T シャツ,"ベーシック T シャツの特売 2 枚購入すれば、3 枚目が無料",,-10,0
