AttachmentDescription
identifier,name,shortDescription,longDescription,languageId,delete
HeaderStoreLogo,Emblemă magazin ,AuroraStorefrontAssetStore,,-21,0
EmailBanner,Banner e-mail,Banner e-mail,,-21,0
EmailBottom_Content,Emblemă promoţie magazin prin e-mail,Emblemă promoţie magazin prin e-mail,,-21,0
WomenLandingPage_Atct_brand1,Brand1,Afişaţi o marcă,,-21,0
WomenLandingPage_Atct_brand2,brand2,Afişaţi o marcă,,-21,0
WomenLandingPage_Atct_brand3,brand3,Afişaţi o marcă,,-21,0
WomenLandingPage_Atct_brand4,brand4,Afişaţi o marcă,,-21,0
WomenLandingPage_Atct_brand5,brand5,Afişaţi o marcă,,-21,0
HeaderESpot15OffPurchaseAd,15% reducere la cumpărătură,Economisiţi 15% pentru întreaga cumpărătură,,-21,0
HeaderESpotFreeShippingSpecial,Livrare gratuită,Livrare gratuită la comenzi peste $100,,-21,0
BoysPants_Atct_1,Pulovere confortabile,"Pulovere confortabile Cumperi unu, îl primeşti pe al doilea la 25% reducere ",,-21,0
BoysPants_Atct_2,Blugi,Reducere 35% la blugi băieţi pentru toate stilurile ,,-21,0
BoysShoes_Atct_1,Bluze,Reducere 25% la cumpărături de top tricouri băieţi ,,-21,0
BoysShoes_Atct_2,Reduceri pantofi,"Reducere Încălţăminte băieţi Cumperi 2 perechi, a 3-a e gratis",,-21,0
BoysTops_Atct_1,Pulovere confortabile,"Pulovere confortabile Cumperi unul, îl primeşti pe al doilea cu 25% reducere ",,-21,0
BoysTops_Atct_2,Blugi,Reducere 35% la blugi băieţi pentru toate stilurile ,,-21,0
BoysRow1_Content,Reducere băieţi,Tricouri cool la reducere Economiseşte 30% la tricouri băieţi,,-21,0
GirlsDS_Atct_1,Reducere la rochii,Reducere cu 30% la rochii pentru fete ,,-21,0
GirlsDS_Atct_2,Reduceri la pantofi,"Reduceri la pantofi pentru fete Cumperi 2 perechi, o primeşti pe a 3-a gratis",,-21,0
GirlsPants_Atct_1,Blugi ,Reduceri la blugi 35% reducere la blugii pentru fete ,,-21,0
GirlsPants_Atct_2,Lichidare de stoc articole de vară,Lichidare de stoc articole de vară Reducere 50% la fuste şi rochii de vară ,,-21,0
GirlsShoes_Atct_1,Reduceri la pantofi,"Reduceri la pantofi pentru fete Cumperi 2 perechi, o primeşti pe a 3-a gratis",,-21,0
GirlsShoes_Atct_2,Reduceri pantofi ,"Reduceri la pantofi pentru fete Cumperi 2 perechi, o primeşti pe a 3-a gratis",,-21,0
GirlsTops_Atct_1,Tricouri şi bluze ,Tricouri & Bluze Reducere 30% la tricouri şi bluze pentru fete ,,-21,0
GirlsTops_Atct_2,Pulovere,Pulovere,,-21,0
