MarketingActivity
activityName,description,activityType,startDate,endDate,version,published,state,priority,repeatable,behavior,uiDisplable,managingTool,templateType,experimentType,campaignName,familyActivityName,activitySequence,field1,field2,field3,field4,delete
Shopping cart featured products,Recommend a product to a customer that satisfies the chosen target conditions.,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
Wish list featured products,Recommend a product to a customer that satisfies the chosen target conditions.,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
HomeRow2_Categories,Display category recommendations on the home page.,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
B2BHomePageFeaturedCategories,Display category recommendations on the home page.,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
B2BHomePageFeaturedProducts,Display Catalog Entry Recommendations on the home page.,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
SeachLandingClearance,SeachLandingClearance,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
SearchLandingWomenRow3_CatEntries,SearchLandingWomenContentRecommendationForStores,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
SearchLandingWomenRow4_CatEntries,SearchLandingWomenContentRecommendationForStores2,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
SearchLandingWomen_BrandEspots,Display a brand on the Women Landing Page,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
HeaderESpot  Web activity,HeaderESpot  Web activity,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
HeaderESpot Left Web activity,HeaderESpot  Web activity,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
HeaderESpot Right Web activity,HeaderESpot  Web activity,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
DressesProductSuggestion,DressesProductSuggestion,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
FastenersRow3_Categories,FastenersCategoryRecommendationsForStores,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
FastenersRow4_CatEntries,Product Recommendation in Fasteners,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
WomenShirtsBlousesProductRight_CatEntries,Product Recommendation in Shirts and Blouses for Women,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
WomenSweatersProductRight_CatEntries,Product Recommendation in Sweaters for Women,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
WomenSkirtsProductRight_CatEntries,Product Recommendation in Skirts for Women,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
WomenPantsProductRight_CatEntries,Product Recommendation in Pants for Women,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
WomenShoesProductRight_CatEntries,Product Recommendation in Shoes for Women,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
WomenHandbagsProductRight_CatEntries,Product Recommendation in Handbags for Women,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
WomenAccessoriesProductRight_CatEntries,Product Recommendation in Accessories for Women,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
MenAccessoriesProductRight_CatEntries,Product Recommendation in Accessories for Men,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
MenShoesProductRight_CatEntries,Product Recommendation in Shoes for Men,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
MenPantsProductRight_CatEntries,Product Recommendation in Pants for Men,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
MenSuitsProductRight_CatEntries,Product Recommendation in Suits for Men,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
MenShirtsProductRight_CatEntries,Product Recommendation in Shirts for Men,web,2007-10-01 16:00:00.001,2999-12-31 23:59:59.001,1,1,1,1,1,0,,,,,,,,,,,,0
