MarketingContentAttachmentDescription
contentName,attachmentIdentifier,usageName,relationName,relationShortDescription,relationLongDescription,languageId,delete
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Marca1,Mostrar una marca,,-5,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,marca2,Mostrar una marca,,-5,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,marca3,Mostrar una marca,,-5,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,marca4,Mostrar una marca,,-5,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,marca5,Mostrar una marca,,-5,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,15% de descuento de su compra,Ahórrese un 15% en toda su compra,,-5,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,Envío gratis,Envío gratis,,-5,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,Jerséis cómodos,Jerséis cómodos,,-5,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,Vaqueros,Vaqueros,,-5,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,Partes de arriba,Partes de arriba,,-5,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,Venta de calzado,Venta de calzado,,-5,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,Jerséis cómodos,Jerséis cómodos,,-5,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,Vaqueros,Vaqueros,,-5,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,Venta para niños,Venta para niños,,-5,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,Venta de vestidos,Venta de vestidos,,-5,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,Venta de calzado,Venta de calzado,,-5,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,Ropa vaquera,Ropa vaquera,,-5,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,Liquidación de verano,Liquidación de verano,,-5,0
GirlsShoes_Atct_1,GirlsShoes_Atct_1,NOUSAGE,Venta de calzado 1,Venta de calzado 1,,-5,0
GirlsShoes_Atct_2,GirlsShoes_Atct_2,NOUSAGE,Venta de calzado ,Venta de calzado ,,-5,0
GirlsTops_Atct_1,GirlsTops_Atct_1,NOUSAGE,Camisetas/Polos/Bodies,Camisetas/Polos/Bodies,,-5,0
GirlsTops_Atct_2,GirlsTops_Atct_2,NOUSAGE,Jerséis calientes,Jerséis calientes,,-5,0
MenAcc_Atct_1,MenAcc_Atct_1,NOUSAGE,Corbata de seda,Corbata de seda,,-5,0
