MarketingContentAttachmentDescription
contentName,attachmentIdentifier,usageName,relationName,relationShortDescription,relationLongDescription,languageId,delete
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Brand1,Exibir uma marca,,-6,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,brand2,Exibir uma marca,,-6,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,brand3,Exibir uma marca,,-6,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,brand4,Exibir uma marca,,-6,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,brand5,Exibir uma marca,,-6,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,15% de Desconto,Ganhe 15% de Desconto na Compra Inteira,,-6,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,Entrega Grátis,Entrega Grátis,,-6,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,Suéteres Confortáveis,Suéteres Confortáveis,,-6,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,Confortáveis,Confortáveis,,-6,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,Blusas,Blusas,,-6,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,Venda de Sapatos,Venda de Sapatos,,-6,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,Suéteres Confortáveis,Suéteres Confortáveis,,-6,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,Confortáveis,Confortáveis,,-6,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,Venda para Meninos,Venda para Meninos,,-6,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,Venda de Vestidos,Venda de Vestidos,,-6,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,Venda de Sapatos,Venda de Sapatos,,-6,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,Denim,Denim,,-6,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,Liquidação de Verão,Liquidação de Verão,,-6,0
GirlsShoes_Atct_1,GirlsShoes_Atct_1,NOUSAGE,Venda de Sapatos 1,Venda de Sapatos 1,,-6,0
GirlsShoes_Atct_2,GirlsShoes_Atct_2,NOUSAGE,Venda de Sapatos ,Venda de Sapatos ,,-6,0
