MarketingContentAttachmentDescription
contentName,attachmentIdentifier,usageName,relationName,relationShortDescription,relationLongDescription,languageId,delete
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Brand1,Показать бренд,,-20,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,brand2,Показать бренд,,-20,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,brand3,Показать бренд,,-20,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,brand4,Показать бренд,,-20,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,brand5,Показать бренд,,-20,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,Скидка 15%,Сэкономьте 15% от суммы покупки,,-20,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,Бесплатная доставка,Бесплатная доставка,,-20,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,Уютные свитеры,Уютные свитеры,,-20,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,Джинсы,Джинсы,,-20,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,Футболки,Футболки,,-20,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,Распродажа обуви,Распродажа обуви,,-20,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,Уютные свитеры,Уютные свитеры,,-20,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,Джинсы,Джинсы,,-20,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,Распродажа одежды для мальчиков,Распродажа одежды для мальчиков,,-20,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,Распродажа платьев,Распродажа платьев,,-20,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,Распродажа обуви,Распродажа обуви,,-20,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,Джинсовая ткань,Джинсовая ткань,,-20,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,Летняя распродажа,Летняя распродажа,,-20,0
GirlsShoes_Atct_1,GirlsShoes_Atct_1,NOUSAGE,Распродажа обуви 1,Распродажа обуви 1,,-20,0
GirlsShoes_Atct_2,GirlsShoes_Atct_2,NOUSAGE,Распродажа обуви ,Распродажа обуви ,,-20,0
GirlsTops_Atct_1,GirlsTops_Atct_1,NOUSAGE,Футболки и топы,Футболки и топы,,-20,0
GirlsTops_Atct_2,GirlsTops_Atct_2,NOUSAGE,Теплые свитеры,Теплые свитеры,,-20,0
MenAcc_Atct_1,MenAcc_Atct_1,NOUSAGE,Шелковый галстук,Шелковый галстук,,-20,0
MenAcc_Atct_2,MenAcc_Atct_2,NOUSAGE,Приоденься,Приоденься,,-20,0
MenJackets_Atct_1,MenJackets_Atct_1,NOUSAGE,Модная кожа,Модная кожа,,-20,0
MenJackets_Atct_2,MenJackets_Atct_2,NOUSAGE,Роскошный кашемир,Роскошный кашемир,,-20,0
MenPants_Atct_1,MenPants_Atct_1,NOUSAGE,Джинсы,Джинсы,,-20,0
MenPants_Atct_2,MenPants_Atct_2,NOUSAGE,Распродажа обуви,Распродажа обуви,,-20,0
MenShirts_Atct_1,MenShirts_Atct_1,NOUSAGE,Базовые футболки,Базовые футболки,,-20,0
MenShirts_Atct_2,MenShirts_Atct_2,NOUSAGE,Классическая мужская рубашка,Классическая мужская рубашка,,-20,0
MenShoes_Atct_1,MenShoes_Atct_1,NOUSAGE,Распродажа обуви,Распродажа обуви,,-20,0
MenShoes_Atct_2,MenShoes_Atct_2,NOUSAGE,Кожаные ремни,Кожаные ремни,,-20,0
MenSuits_Atct_1,MenSuits_Atct_1,NOUSAGE,Приоденься,Приоденься,,-20,0
MenSuits_Atct_2,MenSuits_Atct_2,NOUSAGE,Шелковый галстук,Шелковый галстук,,-20,0
MenRow1_Content,MenRow1_Content,NOUSAGE,Приоденься,Приоденься,,-20,0
WAcc_Atct_1,WAcc_Atct_1,NOUSAGE,Кожаные ремни,Кожаные ремни,,-20,0
WAcc_Atct_2,WAcc_Atct_2,NOUSAGE,Отличная сумка,Отличная сумка,,-20,0
WHB_Atct_1,WHB_Atct_1,NOUSAGE,Отличная сумка,Отличная сумка,,-20,0
WHB_Atct_2,WHB_Atct_2,NOUSAGE,Солнцезащитные очки,Солнцезащитные очки,,-20,0
WPants_Atct_1,WPants_Atct_1,NOUSAGE,Джинсы,Джинсы,,-20,0
WPants_Atct_2,WPants_Atct_2,NOUSAGE,Кожаные ремни,Кожаные ремни,,-20,0
WSB_Atct_1,WSB_Atct_1,NOUSAGE,Джинсы,Джинсы,,-20,0
WSB_Atct_2,WSB_Atct_2,NOUSAGE,Рубашки и блузы,Рубашки и блузы,,-20,0
WSh_Atct_1,WSh_Atct_1,NOUSAGE,Вечерний блеск,Вечерний блеск,,-20,0
WSh_Atct_2,WSh_Atct_2,NOUSAGE,Распродажа обуви,Распродажа обуви,,-20,0
