MarketingContentAttachmentDescription
contentName,attachmentIdentifier,usageName,relationName,relationShortDescription,relationLongDescription,languageId,delete
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Brand1,显示品牌,,-7,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,brand2,显示品牌,,-7,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,brand3,显示品牌,,-7,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,brand4,显示品牌,,-7,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,brand5,显示品牌,,-7,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,15% 购物折扣,购物总额享 15% 折扣,,-7,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,免费送货,免费送货,,-7,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,舒适毛衣,舒适毛衣,,-7,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,牛仔裤,牛仔裤,,-7,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,上装,上装,,-7,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,鞋子促销,鞋子促销,,-7,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,舒适毛衣,舒适毛衣,,-7,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,牛仔裤,牛仔裤,,-7,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,男孩服饰促销,男孩服饰促销,,-7,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,礼服促销,礼服促销,,-7,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,鞋子促销,鞋子促销,,-7,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,牛仔,牛仔,,-7,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,夏季大减价,夏季大减价,,-7,0
GirlsShoes_Atct_1,GirlsShoes_Atct_1,NOUSAGE,鞋子促销 1,鞋子促销 1,,-7,0
GirlsShoes_Atct_2,GirlsShoes_Atct_2,NOUSAGE,鞋子促销 ,鞋子促销 ,,-7,0
GirlsTops_Atct_1,GirlsTops_Atct_1,NOUSAGE,T 恤上装,T 恤上装,,-7,0
GirlsTops_Atct_2,GirlsTops_Atct_2,NOUSAGE,舒适毛衣,舒适毛衣,,-7,0
MenAcc_Atct_1,MenAcc_Atct_1,NOUSAGE,丝绸领带,丝绸领带,,-7,0
MenAcc_Atct_2,MenAcc_Atct_2,NOUSAGE,西装,西装,,-7,0
MenJackets_Atct_1,MenJackets_Atct_1,NOUSAGE,帅气皮衣,帅气皮衣,,-7,0
MenJackets_Atct_2,MenJackets_Atct_2,NOUSAGE,奢华羊绒,奢华羊绒,,-7,0
MenPants_Atct_1,MenPants_Atct_1,NOUSAGE,牛仔裤,牛仔裤,,-7,0
MenPants_Atct_2,MenPants_Atct_2,NOUSAGE,鞋子促销,鞋子促销,,-7,0
MenShirts_Atct_1,MenShirts_Atct_1,NOUSAGE,基本款 T 恤,基本款 T 恤,,-7,0
MenShirts_Atct_2,MenShirts_Atct_2,NOUSAGE,礼服衬衫,礼服衬衫,,-7,0
MenShoes_Atct_1,MenShoes_Atct_1,NOUSAGE,鞋子促销,鞋子促销,,-7,0
MenShoes_Atct_2,MenShoes_Atct_2,NOUSAGE,皮带,皮带,,-7,0
