MarketingContentDescription
contentName,location,marketingText,langId,field1,field2,delete
ProductPageTab1,,說明,-8,,,0
ProductPageTab2,,其他客戶也購買 ,-8,,,0
SearchPageTab1,,產品 (<span id="searchTabProdCount">[productTotalCount]</span>),-8,,,0
SearchPageTab2,,文章與視訊 (<span id="searchTabContentCount">[contentTotalCount]</span>),-8,,,0
PasswordResetNotifyCenter,,<h2 style="color: #808080; font-size: 16px; font-weight: normal; margin-top: 30px; margin-bottom: 12px;">親愛的[userName]，</h2>               <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;">已收到您的要求，我們將重設您的密碼。</p>               <br />               <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;"><strong>您的驗證碼是： </strong>[validationCode]</p>               <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;">請在您起始密碼重設要求所在的瀏覽器中使用驗證碼。</p>               <br />                             <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;">感謝您，</p>                             <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;">[storeName] 團隊</p><br /><br />,-8,,,0
WishlistCreateNotifyCenter,,<h2 style="color: #808080; font-size: 16px; font-weight: normal; margin-top: 30px; margin-bottom: 12px;">親愛的客戶，</h2>               <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;">[senderName] 寄件者電子郵件位址：[senderEmail] 已建立一份欲購商品清單。</p>                             <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;">若想查看，請按一下下列鏈結：</p>                             <p style="margin: 15px 0; line-height: 14px; overflow: hidden; width: 558px; word-wrap: break-word;">                <a style="color: #0081AF; text-decoration: underline;" class="link"href="[link]">[link]</a>               </p>                             <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;">感謝您，</p>                             <p style="margin: 0; line-height: 14px; color: #404040; font-size: 12px;">[storeName] 團隊</p><br/>,-8,,,0
HelpCenter,,<div class="container_static_full_width container_margin_5px"> <div class="static_page_content"> <div class="page_header" role="heading" aria-level="1">說明</div> <div class="content_box"> <div class="header_top">常見問題</div> <div class="item_spacer_5px"></div> <div class="item_spacer_10px"></div> <div class="header">我該如何下單？ </div> <div class="info_section"> <p>在 [storeName] 下單相當容易。如果您是第一次向我們商店訂購，只需按照下列三個簡單步驟進行即可：</p> <div class="item_spacer_5px"></div> <ol> <li>瀏覽型錄。</li> <li>將您要的商品新增至購物車中。</li> <li>完成結帳流程。</li> </ol> <div class="item_spacer_5px"></div> <p>此外，會要求您提供電子郵件位址和密碼，以登錄成客戶。如此一來，在您下次來店訂購時，我們已存有您的資訊而用不著再次輸入。</p> </div> <div class="header">我該如何付款？</div> <div class="info_section"> <p>我們接受 Visa、Mastercard 或 American Express。在您結帳時，我們會提示您輸入您的卡號以便付款。</p> </div> <div class="header">能安心使用信用卡嗎？</div> <div class="info_section"> <p>我們保證您在 [storeName] 中的每一筆交易百分之百安全並受到保護。也就是說，如果卡片中出現未授權的費用，且原因是在 [storeName] 中購物，您也不用付款。如果您不放心，可以只輸入您卡片的最後五碼以及其有效期限。一旦您順利送出訂單後，即可以透過電話告知剩下的卡號部分。</p> </div> <div class="header">該如何追蹤我的訂單？</div> <div class="info_section"> <p>您可以檢閱您在 [storeName] 所下之任何訂單的狀態，方法很簡單，只要按一下各頁面頂端的「我的帳戶」鏈結即可。透過此鏈結，您可以檢視或修改任何尚未進入出貨程序的訂單。</p> </div> </div> </div> <div class="clear_float"></div> </div>,-8,,,0
ContactUsCenter,,<div class="container_static_full_width container_margin_5px"> <div class="static_page_content"> <div class="page_header" role="heading" aria-level="1">聯絡我們</div> <div class="content_box"> <div class="header_top">聯絡資訊</div> <div class="item_spacer_5px"></div> <div class="item_spacer_10px"></div> <div class="info_section"> <p>我們就在這裏為您服務。</p> <br> <p>如果您的訂單需要支援，請寫信給我們：support@[storeName].com。</p> <br> <p>如果您對 [storeName] 有任何問題，或想要對我們的商店或網站提供意見，請聯絡我們：questions@[storeName].com。</p> </div> </div> </div> <div class="clear_float"></div> </div>,-8,,,0
ReturnPolicyCenter,,<div class="container_static_full_width container_margin_5px"> <div class="static_page_content"> <div class="page_header" role="heading" aria-level="1">退貨原則 </div> <div class="content_box"> <div class="header_top">我們的原則 </div> <div class="item_spacer_5px"></div> <div class="item_spacer_10px"></div> <div class="info_section"> <p>如果您由於任何原因而未對訂單完全滿意，則只需與客戶服務聯絡，取得如何退訂以得到全額退款的指示。如果您備妥下另一個訂單並這樣做，我們將很高興再次為您服務。 </p> <div class="item_spacer_50px"></div> <div class="item_spacer_50px"></div> </div> </div> </div> <div class="clear_float"></div> </div>,-8,,,0
PrivacyContentVersion1.0,,<div class="container_static_full_width container_margin_5px"> <div class="static_page_content"> <div class="page_header" role="heading" aria-level="1">隱私權條款</div> <div class="content_box"> <div class="header_top">個人資訊</div> <div class="item_spacer_5px"></div> <div class="item_spacer_10px"></div> <div class="info_section"> <p>[storeName] 承諾保護並尊重您的隱私。您在造訪 [storeName] 網站時不必告訴我們您是誰，或透露您本身的任何資訊。必要時（為了出貨和計費用途），您的個人資訊會儲存在安全的伺服器，而且絕不會賣給第三方或者未經您同意就用來聯絡您。</p> <br> <p>如果您選擇透過網際網路，來提供我們回應或處理訂單需要的個人資訊，我們會告訴您，我們將如何使用這項資訊。如果您指明不希望我們利用這項資訊進一步與您聯繫，我們會尊重您的要求。</p> <br> <p>[storeName] 所收集的資訊主要供獲授權的 [storeName] 員工內部使用，其主要目的有下列三點。一、藉由收集資訊瞭解哪些精選項目與產品最受歡迎，從而得知如何改善我們的網站。二、藉由收集資訊讓我們的客戶能有個人化的網站。舉例來說，未來我們可能會根據您以往的喜好來推薦產品或精選項目。最後，我們會記錄客戶是來自哪些網域。我們分析這項資料是為了瞭解趨勢和取得統計資料，之後會捨棄它。</p> <br> <p>這是我們對您的承諾。</p> </div> </div> </div> <div class="clear_float"></div> </div>,-8,,,0
