Seopage
PageGroup,PageAdminName,URLKeyword,PageTitle,MetaDescription,MetaKeyword,ImageAltText
Content,HelpPage,ajuda,Ajuda em <seo: StoreName/>,Ajuda em <seo: StoreName/>,Ajuda em <seo: StoreName/>,Imagem para<seo: StoreName/> Ajuda
Content,ContactUsPage,contact-us,Entre em Contato Conosco para <seo: StoreName/>,Entre em Contato Conosco para <seo: StoreName/>,Entre em Contato Conosco para <seo: StoreName/>,Imagem para <seo: StoreName/> Entre em Contato Conosco
Content,ReturnPolicyPage,return-policy,Política de Retorno para <seo: StoreName/>,Política de Retorno para <seo: StoreName/>,Política de Retorno para <seo: StoreName/>,Imagem para <seo: StoreName/> Política de Retorno
Content,PrivacyPolicyPage,privacy-policy,Política de Privacidade de Website <seo: StoreName/>,Política de Privacidade de Website <seo: StoreName/>,Política de Privacidade de Website <seo: StoreName/>,Imagem para <seo: StoreName/> Política de Privacidade
Content,CorporateInfoPage,corporate-info,Sobre Nós <seo: StoreName/>,Sobre Nós <seo: StoreName/>,Sobre Nós <seo: StoreName/>,Imagem para <seo: StoreName/> Entre em Contato Conosco
Content,CorporateContactUsPage,corporate-contact-us,Entre em Contato Conosco Corporativo <seo: StoreName/>,Entre em Contato Conosco Corporativo <seo: StoreName/>,Entre em Contato Conosco Corporativo <seo: StoreName/>,Imagem para <seo: StoreName/> Entre em Contato Conosco Corporativo
Content,SiteMapPage,sitemap,Mapa do Site para <seo: StoreName/>,Mapa do Site para <seo: StoreName/>,Mapa do Site para <seo: StoreName/>,Imagem para <seo: StoreName/> Mapa do Site
Content,HomePage,,Bem-vindo a <seo: StoreName/>,Comprar <seo: StoreName/> online. <seo: StoreDescription/>,<seo: StoreName/> <seo: StoreDescription/>,Imagem para <seo: StoreName/> página inicial
Content,AboutDressDesigner,apparel-designer,Sobre a Estilista de Vestidos,Sobre a Estilista de Vestido para <seo: StoreName/>,Sobre a Estilista de Vestido para <seo: StoreName/>,Imagem para <seo: StoreName/> Sobre a Estilista de Vestido
Content,AuroraStyleGuide,apparel-style-guide,Guia de Estilo de Vestuário,Guia de Estilo de Roupas e Vestidos para <seo: StoreName/>,Guia de Estilo de Roupas e Vestidos para <seo: StoreName/>,Imagem para <seo: StoreName/> Guia de Estilo de Roupas e Vestidos
Content,EveningSparkleDress,evening-dress-video,Vídeo da Coleção de Vestidos de Noite Brilhantes,Vídeo da Coleção de Vestidos de Noite Brilhantes <seo: StoreName/>,Vídeo da Coleção de Vestidos de Noite Brilhantes <seo: StoreName/>,Imagem para <seo: StoreName/> Vídeo da Coleção de Vestidos de Noite Brilhantes
