LayoutWidgetNVP
LayoutName,AdminName,Name,Value,Sequence
SampleContentPageLayout,ContentRecommendationWidget,emsType,local,0
SampleContentPageLayout,ContentRecommendationWidget,emsName,Center_Content,0
SampleContentPageLayout,ContentRecommendationWidget,widgetOrientation,horizontal,0
SampleContentPageLayout,ContentRecommendationWidget,displayPreference,1,0
SampleContentPageLayout,ContentRecommendationWidget,showFeed,false,0
SampleHomePageLayout,HeaderLeftBannerContentWidget,emsName,HeaderBanner_Content_Left,0
SampleHomePageLayout,HeaderLeftBannerContentWidget,emsType,global,0
SampleHomePageLayout,HeaderLeftBannerContentWidget,widgetOrientation,horizontal,0
SampleHomePageLayout,HeaderLeftBannerContentWidget,displayPreference,1,0
SampleHomePageLayout,HeaderLeftBannerContentWidget,showFeed,false,0
SampleHomePageLayout,HeaderRightBannerContentWidget,emsName,HeaderBanner_Content_Right,0
SampleHomePageLayout,HeaderRightBannerContentWidget,emsType,global,0
SampleHomePageLayout,HeaderRightBannerContentWidget,widgetOrientation,horizontal,0
SampleHomePageLayout,HeaderRightBannerContentWidget,displayPreference,1,0
SampleHomePageLayout,HeaderRightBannerContentWidget,showFeed,false,0
SampleHomePageLayout,HomePageMainESpot,emsName,HomeRow1_Content,0
SampleHomePageLayout,HomePageMainESpot,ribbonImageType,dot,0
SampleHomePageLayout,CategoryRecommendationWidget,emsName,HomeRow2_Categories,0
SampleHomePageLayout,CategoryRecommendationWidget,widgetOrientation,horizontal,0
SampleHomePageLayout,CategoryRecommendationWidget,displayPreference,2,0
SampleHomePageLayout,CategoryRecommendationWidget,showFeed,false,0
SampleHomePageLayout,HomePageCenterAdWidget1,emsName,HomeCenterRow1_Content,0
SampleHomePageLayout,HomePageCenterAdWidget1,widgetOrientation,horizontal,0
SampleHomePageLayout,HomePageCenterAdWidget1,displayPreference,1,0
SampleHomePageLayout,HomePageCenterAdWidget1,showFeed,false,0
SampleHomePageLayout,HomePageCenterAdWidget2,emsName,HomeCenterRow2_Content,0
SampleHomePageLayout,HomePageCenterAdWidget2,widgetOrientation,horizontal,0
SampleHomePageLayout,HomePageCenterAdWidget2,displayPreference,1,0
SampleHomePageLayout,HomePageCenterAdWidget2,showFeed,false,0
SampleHomePageLayout,HomePageBottomLeftWidget,emsName,HomeBottomLeft_Content,0
SampleHomePageLayout,HomePageBottomLeftWidget,widgetOrientation,horizontal,0
SampleHomePageLayout,HomePageBottomLeftWidget,displayPreference,1,0
SampleHomePageLayout,HomePageBottomLeftWidget,showFeed,false,0
SampleHomePageLayout,HomePageBottomCenterWidget,emsName,HomeBottomCenter_Content,0
SampleHomePageLayout,HomePageBottomCenterWidget,widgetOrientation,horizontal,0
SampleHomePageLayout,HomePageBottomCenterWidget,displayPreference,1,0
SampleHomePageLayout,HomePageBottomCenterWidget,showFeed,false,0
SampleHomePageLayout,HomePageBottomRightWidget,emsName,HomeBottomRight_Content,0
SampleHomePageLayout,HomePageBottomRightWidget,widgetOrientation,horizontal,0
SampleHomePageLayout,HomePageBottomRightWidget,displayPreference,1,0
SampleHomePageLayout,HomePageBottomRightWidget,showFeed,false,0
SampleStaticContentLayout,HeaderLeftBannerContentWidget,emsType,global,0
SampleStaticContentLayout,HeaderLeftBannerContentWidget,emsName,HeaderBanner_Content_Left,0
SampleStaticContentLayout,HeaderLeftBannerContentWidget,widgetOrientation,horizontal,0
SampleStaticContentLayout,HeaderLeftBannerContentWidget,displayPreference,1,0
SampleStaticContentLayout,HeaderLeftBannerContentWidget,showFeed,false,0
SampleStaticContentLayout,HeaderRightBannerContentWidget,emsType,global,0
SampleStaticContentLayout,HeaderRightBannerContentWidget,emsName,HeaderBanner_Content_Right,0
SampleStaticContentLayout,HeaderRightBannerContentWidget,widgetOrientation,horizontal,0
SampleStaticContentLayout,HeaderRightBannerContentWidget,displayPreference,1,0
SampleStaticContentLayout,HeaderRightBannerContentWidget,showFeed,false,0
SampleStaticContentLayout,ContentRecommendationWidget,emsType,local,0
SampleStaticContentLayout,ContentRecommendationWidget,emsName,PageMainAd,0
SampleStaticContentLayout,ContentRecommendationWidget,widgetOrientation,horizontal,0
SampleStaticContentLayout,ContentRecommendationWidget,displayPreference,1,0
SampleStaticContentLayout,ContentRecommendationWidget,showFeed,false,0
SampleStaticContentLayout,CatalogEntryRecommendationWidget,emsType,global,0
SampleStaticContentLayout,CatalogEntryRecommendationWidget,emsName,ShoppingCartRight_CatEntries,0
SampleStaticContentLayout,CatalogEntryRecommendationWidget,widgetOrientation,vertical,0
