CatalogGroupSEO
GroupIdentifier,LanguageId
Apparel,-8
Appliances,-8
Bath Accessories,-8
Bolts,-8
Boys,-8
Boys Pants,-8
Boys Shoes,-8
Boys Tops,-8
Computers Accessories,-8
Computers Components,-8
Computers Desktops,-8
Computers Laptops,-8
Computers Tablets,-8
Dairy,-8
Dresses,-8
Electronics,-8
Fasteners,-8
Fruit,-8
Furniture,-8
Girls,-8
Girls Dresses Skirts,-8
Girls Pants,-8
Girls Shoes,-8
Girls Tops,-8
Grocery,-8
Hardware,-8
Hardware Lighting,-8
Health,-8
Home Furnishings,-8
Kitchenware,-8
Lighting,-8
Magazines,-8
Meat,-8
Medicine,-8
Men,-8
Men Accessories,-8
Men Jackets,-8
Men Pants,-8
Men Shirts,-8
Men Shoes,-8
Men Suits,-8
Newsletters,-8
NewslettersAndMagazines,-8
Nuts,-8
Screws,-8
Tableware,-8
Vegetables,-8
Vitamins,-8
Women,-8
Women Accessories,-8
Women Handbags,-8
Women Pants,-8
Women Shirts Blouses,-8
Women Shoes,-8
Women Skirts,-8
Women Sweaters,-8
