MarketingContentAttachment
contentName,attachmentIdentifier,usageName,sequence,relationName,relationShortDescription,relationLongDescription,delete
HeaderStoreLogo,HeaderStoreLogo,NOUSAGE,0.0,,,,0
EmailBanner,EmailBanner,NOUSAGE,0.0,,,,0
EmailBottom_Content,EmailBottom_Content,NOUSAGE,0.0,,,,0
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,0.0,Brand1,Display a brand,,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,0.0,brand2,Display a brand,,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,0.0,brand3,Display a brand,,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,0.0,brand4,Display a brand,,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,0.0,brand5,Display a brand,,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,0.0,15% Off Purchase,Save 15% Off Your Entire Purchase,,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,0.0,Free Shipping,Free Shipping,,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,0.0,Cozy Sweaters,Cozy Sweaters,,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,0.0,Jeans,Jeans,,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,0.0,Tops,Tops,,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,0.0,Shoe Sale,Shoe Sale,,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,0.0,Cozy Sweaters,Cozy Sweaters,,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,0.0,Jeans,Jeans,,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,0.0,Boys Sale,Boys Sale,,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,0.0,Dress Sale,Dress Sale,,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,0.0,Shoe Sale,Shoe Sale,,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,0.0,Denim,Denim,,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,0.0,Summer Clearance,Summer Clearance,,0
GirlsShoes_Atct_1,GirlsShoes_Atct_1,NOUSAGE,0.0,Shoe Sale 1,Shoe Sale 1,,0
GirlsShoes_Atct_2,GirlsShoes_Atct_2,NOUSAGE,0.0,Shoe Sale ,Shoe Sale ,,0
GirlsTops_Atct_1,GirlsTops_Atct_1,NOUSAGE,0.0,Tees Tops,Tees Tops,,0
GirlsTops_Atct_2,GirlsTops_Atct_2,NOUSAGE,0.0,Toasty Sweaters,Toasty Sweaters,,0
GirlsRow1_Content,GirlsRow1_Content,NOUSAGE,0.0,,,,0
MenAcc_Atct_1,MenAcc_Atct_1,NOUSAGE,0.0,Silk Tie,Silk Tie,,0
MenAcc_Atct_2,MenAcc_Atct_2,NOUSAGE,0.0,Suit Up,Suit Up,,0
MenJackets_Atct_1,MenJackets_Atct_1,NOUSAGE,0.0,Cool Leather,Cool Leather,,0
MenJackets_Atct_2,MenJackets_Atct_2,NOUSAGE,0.0,Luxurious Cashmere,Luxurious Cashmere,,0
MenPants_Atct_1,MenPants_Atct_1,NOUSAGE,0.0,Jeans,Jeans,,0
MenPants_Atct_2,MenPants_Atct_2,NOUSAGE,0.0,Shoe Sale,Shoe Sale,,0
MenShirts_Atct_1,MenShirts_Atct_1,NOUSAGE,0.0,Basic Tees,Basic Tees,,0
MenShirts_Atct_2,MenShirts_Atct_2,NOUSAGE,0.0,Dress Shirt,Dress Shirt,,0
MenShoes_Atct_1,MenShoes_Atct_1,NOUSAGE,0.0,Shoe Sale,Shoe Sale,,0
MenShoes_Atct_2,MenShoes_Atct_2,NOUSAGE,0.0,Leather Belts,Leather Belts,,0
MenSuits_Atct_1,MenSuits_Atct_1,NOUSAGE,0.0,Suit Up,Suit Up,,0
MenSuits_Atct_2,MenSuits_Atct_2,NOUSAGE,0.0,Silk Tie,Silk Tie,,0
MenRow1_Content,MenRow1_Content,NOUSAGE,0.0,Suit Up,Suit Up,,0
WAcc_Atct_1,WAcc_Atct_1,NOUSAGE,0.0,Leather Belts,Leather Belts,,0
WAcc_Atct_2,WAcc_Atct_2,NOUSAGE,0.0,Perfect Handbag,Perfect Handbag,,0
WHB_Atct_1,WHB_Atct_1,NOUSAGE,0.0,Perfect Handbag,Perfect Handbag,,0
WHB_Atct_2,WHB_Atct_2,NOUSAGE,0.0,Sunglasses,Sunglasses,,0
WPants_Atct_1,WPants_Atct_1,NOUSAGE,0.0,Jeans,Jeans,,0
WPants_Atct_2,WPants_Atct_2,NOUSAGE,0.0,Leather Belts,Leather Belts,,0
WSB_Atct_1,WSB_Atct_1,NOUSAGE,0.0,Jeans,Jeans,,0
WSB_Atct_2,WSB_Atct_2,NOUSAGE,0.0,Shirts and Blouses,Shirts and Blouses,,0
WSh_Atct_1,WSh_Atct_1,NOUSAGE,0.0,Evening Sparkle,Evening Sparkle,,0
WSh_Atct_2,WSh_Atct_2,NOUSAGE,0.0,Shoe Sale,Shoe Sale,,0
WSk_Atct_1,WSk_Atct_1,NOUSAGE,0.0,Jeans,Jeans,,0
WSk_Atct_2,WSk_Atct_2,NOUSAGE,0.0,Summer Clearance,Summer Clearance,,0
WSw_Atct_1,WSw_Atct_1,NOUSAGE,0.0,Evening Sparkle,Evening Sparkle 15% off women's evening dresses,,0
WSw_Atct_2,WSw_Atct_2,NOUSAGE,0.0,Cozy Sweaters,"Cozy Sweaters Buy 1, get 25% off a 2nd",,0
Accessories_Atct_1,Accessories_Atct_1,NOUSAGE,0.0,Crystal Clear,Crystal Clear,,0
Accessories_Atct_2,Accessories_Atct_2,NOUSAGE,0.0,Save on Accessories,Save on Accessories,,0
Appliances_Atct_1,Appliances_Atct_1,NOUSAGE,0.0,Perfect Every Time,Perfect Every Time,,0
