MarketingContentAttachmentDescription
contentName,attachmentIdentifier,usageName,relationName,relationShortDescription,relationLongDescription,languageId,delete
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Marque1,Afficher une marque,,-2,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,marque2,Afficher une marque,,-2,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,marque3,Afficher une marque,,-2,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,marque4,Afficher une marque,,-2,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,marque5,Afficher une marque,,-2,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,15% de remise sur les achats,Economisez 15 % sur la totalité de vos achats,,-2,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,Livraison gratuite,Livraison gratuite,,-2,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,Pulls tout doux,Pulls tout doux,,-2,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,Jeans,Jeans,,-2,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,Hauts,Hauts,,-2,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,Soldes sur les chaussures,Soldes sur les chaussures,,-2,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,Pulls tout doux,Pulls tout doux,,-2,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,Jeans,Jeans,,-2,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,Soldes pour garçon,Soldes pour garçon,,-2,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,Robes en solde,Robes en solde,,-2,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,Soldes sur les chaussures,Soldes sur les chaussures,,-2,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,Denim,Denim,,-2,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,Soldes d'été,Soldes d'été,,-2,0
GirlsShoes_Atct_1,GirlsShoes_Atct_1,NOUSAGE,Soldes sur les chaussures 1,Soldes sur les chaussures 1,,-2,0
GirlsShoes_Atct_2,GirlsShoes_Atct_2,NOUSAGE,Soldes sur les chaussures ,Soldes sur les chaussures ,,-2,0
GirlsTops_Atct_1,GirlsTops_Atct_1,NOUSAGE,T-shirts et hauts,T-shirts et hauts,,-2,0
GirlsTops_Atct_2,GirlsTops_Atct_2,NOUSAGE,Des pulls bien chauds,Des pulls bien chauds,,-2,0
MenAcc_Atct_1,MenAcc_Atct_1,NOUSAGE,Cravate en soie,Cravate en soie,,-2,0
MenAcc_Atct_2,MenAcc_Atct_2,NOUSAGE,Plein feu sur les costumes,Plein feu sur les costumes,,-2,0
MenJackets_Atct_1,MenJackets_Atct_1,NOUSAGE,Cuir super-cool,Cuir super-cool,,-2,0
MenJackets_Atct_2,MenJackets_Atct_2,NOUSAGE,Cachemire de luxe,Cachemire de luxe,,-2,0
MenPants_Atct_1,MenPants_Atct_1,NOUSAGE,Jeans,Jeans,,-2,0
MenPants_Atct_2,MenPants_Atct_2,NOUSAGE,Soldes sur les chaussures,Soldes sur les chaussures,,-2,0
MenShirts_Atct_1,MenShirts_Atct_1,NOUSAGE,T-shirts basiques,T-shirts basiques,,-2,0
MenShirts_Atct_2,MenShirts_Atct_2,NOUSAGE,Chemise de ville,Chemise de ville,,-2,0
MenShoes_Atct_1,MenShoes_Atct_1,NOUSAGE,Soldes sur les chaussures,Soldes sur les chaussures,,-2,0
MenShoes_Atct_2,MenShoes_Atct_2,NOUSAGE,Ceintures en cuir,Ceintures en cuir,,-2,0
MenSuits_Atct_1,MenSuits_Atct_1,NOUSAGE,Plein feu sur les costumes,Plein feu sur les costumes,,-2,0
MenSuits_Atct_2,MenSuits_Atct_2,NOUSAGE,Cravate en soie,Cravate en soie,,-2,0
MenRow1_Content,MenRow1_Content,NOUSAGE,Plein feu sur les costumes,Plein feu sur les costumes,,-2,0
WAcc_Atct_1,WAcc_Atct_1,NOUSAGE,Ceintures en cuir,Ceintures en cuir,,-2,0
WAcc_Atct_2,WAcc_Atct_2,NOUSAGE,Sac à main idéal,Sac à main idéal,,-2,0
WHB_Atct_1,WHB_Atct_1,NOUSAGE,Sac à main idéal,Sac à main idéal,,-2,0
WHB_Atct_2,WHB_Atct_2,NOUSAGE,Lunettes de soleil,Lunettes de soleil,,-2,0
WPants_Atct_1,WPants_Atct_1,NOUSAGE,Jeans,Jeans,,-2,0
WPants_Atct_2,WPants_Atct_2,NOUSAGE,Ceintures en cuir,Ceintures en cuir,,-2,0
WSB_Atct_1,WSB_Atct_1,NOUSAGE,Jeans,Jeans,,-2,0
WSB_Atct_2,WSB_Atct_2,NOUSAGE,Chemisiers et corsages,Chemisiers et corsages,,-2,0
WSh_Atct_1,WSh_Atct_1,NOUSAGE,Reine d'un soir,Reine d'un soir,,-2,0
