MarketingContentDescription
contentName,location,marketingText,langId,field1,field2,delete
ProductPageTab1,,説明 ,-10,,,0
ProductPageTab2,,他のお客様はこんな商品もご購入されています,-10,,,0
SearchPageTab1,,商品 (<span id="searchTabProdCount">[productTotalCount]</span>),-10,,,0
SearchPageTab2,,アーティクル & ビデオ (<span id="searchTabContentCount">[contentTotalCount]</span>),-10,,,0
PasswordResetNotifyCenter,,"<h2 style=""color: #808080; font-size: 16px; font-weight: normal; margin-top: 30px; margin-bottom: 12px;"">Dear [userName],</h2>               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">お客様のパスワードのリセットのご依頼を受け付けました。</p>               <br />               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;""><strong>お客様の確認コード: </strong>[validationCode]</p>               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">パスワードのリセット要求を開始したブラウザーで、確認コードを使用してください。</p>               <br />                             <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">ありがとうございました。</p>                             <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">[storeName] チーム</p><br /><br />",-10,,,0
WishlistCreateNotifyCenter,,"<h2 style=""color: #808080; font-size: 16px; font-weight: normal; margin-top: 30px; margin-bottom: 12px;"">Dear customer,</h2>               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">E メール・アドレス: [senderEmail] からの [senderName] は、買い物候補リストを作成しました。</p>                             <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">参照するには、以下のリンクをクリックしてください。</p>                             <p style=""margin: 15px 0; line-height: 14px; overflow: hidden; width: 558px; word-wrap: break-word;"">                <a style=""color: #0081AF; text-decoration: underline;"" class=""link""href=""[link]"">[link]</a>               </p>                             <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">ありがとうございました。</p>                             <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">[storeName] チーム</p><br/>",-10,,,0
HelpCenter,,<div class="container_static_full_width container_margin_5px"> <div class="static_page_content"> <div class="page_header" role="heading" aria-level="1">ヘルプ</div> <div class="content_box"> <div class="header_top">よくある質問</div> <div class="item_spacer_5px"></div> <div class="item_spacer_10px"></div> <div class="header">オーダー方法</div> <div class="info_section"> <p>[storeName] でのご購入は簡単です。当店ではじめて購入される場合には、以下の 3 つの簡単なステップに従ってください: </p> <div class="item_spacer_5px"></div> <ol> <li>カタログをブラウズする。</li> <li>欲しいアイテムをショッピング・カートに追加する。</li> <li>チェックアウト・フローを完了する。</li> </ol> <div class="item_spacer_5px"></div> <p>顧客として登録する場合は、E メール・アドレスとパスワードをお尋ねします。  これにより、次回のショッピングの時には既にあなたの情報が保管されているので、もう一度入力する必要はありません。</p> </div> <div class="header">支払いはどのようにするのですか?</div> <div class="info_section"> <p>Visa、MasterCard、または American Express を利用できます。チェックアウトをする際に、支払いをするクレジット・カード番号の入力が要求されます。</p> </div> <div class="header">クレジット・カードの使用は安全ですか?</div> <div class="info_section"> <p>[storeName] でのすべてのお取引は、100% 安全・安心であることが保証されています。すなわち、[storeName] でショッピングを行った結果、不正な料金がご使用のクレジット・カードに請求されていた場合、それに対して支払いを行う必要はありません。より安心してご利用いただくために、カードの下 5 桁と有効期限のみを入力することができます。いったんオーダー情報を送信してから、電話でカード番号の残りの部分をお知らせください。</p> </div> <div class="header">自分のオーダーの状況確認はどのようにするのですか?</div> <div class="info_section"> <p>各ページの上部にある「マイ・アカウント」リンクをクリックするだけで、[storeName] で発行したオーダーの状況を確認できます。そこからまだ配送処理に入っていないオーダーを表示または変更できます。</p> </div> </div> </div> <div class="clear_float"></div> </div>,-10,,,0
ContactUsCenter,,<div class="container_static_full_width container_margin_5px"> <div class="static_page_content"> <div class="page_header" role="heading" aria-level="1">問い合わせ先 </div> <div class="content_box"> <div class="header_top">連絡先情報 </div> <div class="item_spacer_5px"></div> <div class="item_spacer_10px"></div> <div class="info_section"> <p>こちらで対応いたします。</p> <br> <p>オーダーに関するサポートが必要な場合は、support@[storeName].com までお問い合わせください。</p> <br> <p>[storeName] についてさらに質問がある場合や、当店または当 Web サイトに関するフィードバックをお送りいただく場合は、questions@[storeName].com までお問い合わせください。</p> </div> </div> </div> <div class="clear_float"></div> </div>,-10,,,0
ReturnPolicyCenter,,<div class="container_static_full_width container_margin_5px"> <div class="static_page_content"> <div class="page_header" role="heading" aria-level="1">返品ポリシー </div> <div class="content_box"> <div class="header_top">弊社ポリシー </div> <div class="item_spacer_5px"></div> <div class="item_spacer_10px"></div> <div class="info_section"> <p>何らかの理由によりオーダーに完全には満足できない場合は、オーダーの全額返金の方法について、カスタマー・サービスまでお問い合わせください。 次回のオーダーを心からお待ちしております。 </p> <div class="item_spacer_50px"></div> <div class="item_spacer_50px"></div> </div> </div> </div> <div class="clear_float"></div> </div>,-10,,,0
PrivacyContentVersion1.0,,<div class="container_static_full_width container_margin_5px"> <div class="static_page_content"> <div class="page_header" role="heading" aria-level="1">プライバシー・ポリシー </div> <div class="content_box"> <div class="header_top">個人情報 </div> <div class="item_spacer_5px"></div> <div class="item_spacer_10px"></div> <div class="info_section"> <p>[storeName] はプライバシーを保護し、配慮しています。Web サイトの [storeName] へのアクセスにあたり、お名前やその他の個人情報を通知いただく必要はありません。 必要に応じ、配送および請求目的のために、個人情報はセキュア・サーバーに保管されます。これらの情報は、お客様の同意なしに第三者に販売されたり、連絡に使用されたりすることはありません。</p> <br> <p>ご連絡をさしあげたり、オーダーを処理したりするのに必要な個人情報をインターネットを通じておたずねする場合は、どのようにその情報を使用するかを事前にお知らせしています。 この情報を今後の連絡に使用しないでほしいというご希望があれば、その旨お申し出いただければご希望を順守いたします。 </p> <br> <p>[storeName] によって収集された情報は、許可されている [storeName] 社員によって 3 つの目的のためだけに内部使用されます。第 1 に、どの分野、機能、および商品に最も人気があるかを判断してサイトを改善するためです。 第 2 に、サイト利用者に合わせてサイトを個別設定するためです。 たとえば、過去の趣向を基に、気に入っていただけると思われる商品や機能をお勧めすることがあります。 最後に、当サイトをご利用になった方々のドメインを追跡管理いたします。 当方ではこのデータを分析し、トレンドおよび統計を調査後、データを破棄します。 </p> <br> <p>以上が、お客様に対する弊社のコミットメントです。</p> </div> </div> </div> <div class="clear_float"></div> </div>,-10,,,0
