MarketingSpotDefaultContent
spotName,usageType,contentType,content,sequence,delete
HeaderStoreLogo_Content,MARKETING,MarketingContent,HeaderStoreLogo,1.0,0
EmailBanner_Content,MARKETING,MarketingContent,EmailBanner,1.0,0
EmailBottom_Content,MARKETING,MarketingContent,EmailBottom_Content,1.0,0
Product_Page_Tab_1,MARKETING,MarketingContent,ProductPageTab1,1.0,0
Product_Page_Tab_2,MARKETING,MarketingContent,ProductPageTab2,1.0,0
Search_Page_Tab_1,MARKETING,MarketingContent,SearchPageTab1,1.0,0
Search_Page_Tab_2,MARKETING,MarketingContent,SearchPageTab2,1.0,0
EmailPasswordReset_Content,MARKETING,MarketingContent,PasswordResetNotifyCenter,1.0,0
EmailWishlist_Content,MARKETING,MarketingContent,WishlistCreateNotifyCenter,1.0,0
HelpPageCenter_Content,MARKETING,MarketingContent,HelpCenter,1.0,0
ContactUsPageCenter_Content,MARKETING,MarketingContent,ContactUsCenter,1.0,0
ReturnPolicyPageCenter_Content,MARKETING,MarketingContent,ReturnPolicyCenter,1.0,0
PrivacyPolicyPageCenter_Content,MARKETING,MarketingContent,PrivacyContentVersion1.0,1.0,0
CorporateInfoPageCenter_Content,MARKETING,MarketingContent,CorporateInfoCenter,1.0,0
CorporateContactUsPageCenter_Content,MARKETING,MarketingContent,CorporateContactUsCenter,1.0,0
EmailHeader_Content,MARKETING,MarketingContent,EmailHeader,1.0,0
EmailFooter_Content,MARKETING,MarketingContent,EmailFooter,1.0,0
PasswordChangeNotifyCenter_Content,MARKETING,MarketingContent,PasswordChangeNotifyCenter,1.0,0
EmailAccountActivation_Content,MARKETING,MarketingContent,AccountActivationCenter,1.0,0
EmailOrderCancel_Content,MARKETING,MarketingContent,OrderCancelNotifyRow1,1.0,0
EmailOrderShip_Content,MARKETING,MarketingContent,OrderShipNotifyRow1,1.0,0
EmailPasswordReset_AdminContent,MARKETING,MarketingContent,PasswordResetNotifyAdminContent,1.0,0
HomeRow1_Content,MARKETING,MarketingContent,HomeHero1,1.0,0
HomeRow1_Content,MARKETING,MarketingContent,HomeHero2,2.0,0
HomeRow1_Content,MARKETING,MarketingContent,HomeHero3,3.0,0
HomeBottomLeft_Content,MARKETING,MarketingContent,HomeShoeComfortAdContent,1.0,0
HomeBottomCenter_Content,MARKETING,MarketingContent,HomePolosDiscountContent,1.0,0
HomeBottomRight_Content,MARKETING,MarketingContent,HomeKidsApparelAdContent,1.0,0
HomeCenterRow1_Content,MARKETING,MarketingContent,HomeBrightIdeasAdContent,1.0,0
HomeCenterRow2_Content,MARKETING,MarketingContent,HomeHandbagsAdContent,1.0,0
HeaderBanner_Content_Left,MARKETING,MarketingContent,HeaderLeftAdvertisement,1.0,0
HeaderBanner_Content_Right,MARKETING,MarketingContent,HeaderRightAdvertisement,1.0,0
DressesRow2_Content,MARKETING,MarketingContent,DressesHeroImage,1.0,0
HeaderBannerHardwareLeft_Content,MARKETING,MarketingContent,HeaderHardwareLeftAdvertisement,1.0,0
HeaderBannerHardwareRight_Content,MARKETING,MarketingContent,HeaderHardwareRightAdvertisement,1.0,0
HeroHardware_Content,MARKETING,MarketingContent,HardwareHeroImage,1.0,0
HomeBottomHardwareLeft_Content,MARKETING,MarketingContent,HomePowerDrillsAdContent,1.0,0
HomeBottomHardwareCenter_Content,MARKETING,MarketingContent,HomeDurableFastenersAdContent,1.0,0
HomeBottomHardwareRight_Content,MARKETING,MarketingContent,HomeBXRBuildersAdContent,1.0,0
FastenersRow1_Content,MARKETING,MarketingContent,FastenersHeroImage,1.0,0
FastenersRow2_Content_Left,MARKETING,MarketingContent,BoltsAdContent,1.0,0
FastenersRow2_Content_Right,MARKETING,MarketingContent,BXRBuildersScrewsAdContent,1.0,0
ApparelRow1_Content,MARKETING,MarketingContent,ApparelHeroImage,1.0,0
AboutDressDesignerPageMainAd,MARKETING,MarketingContent,AboutDressDesignerHeroImage,1.0,0
EveningSparkleDressPageMainAd,MARKETING,MarketingContent,EveningSparkleDressHeroImage,1.0,0
AuroraStyleGuidePageMainAd,MARKETING,MarketingContent,StyleGuideAttachmentHeroImage,1.0,0
ApparelRow2_Content_Left,MARKETING,MarketingContent,ApparelSubEspot1,1.0,0
ApparelRow2_Content_Right,MARKETING,MarketingContent,ApparelSubEspot2,1.0,0
WomenLandingRow_Styles,MARKETING,MarketingContent,WomenLandingStyles,1.0,0
WomenLandingRow1_Content,MARKETING,MarketingContent,WomenLandingVideo,1.0,0
WomenLandingRow2_Content,MARKETING,MarketingContent,WomenLandingRichText,1.0,0
WomenLandingRow2_Content2,MARKETING,MarketingContent,WomenLandingRichText2,1.0,0
WomenRow1_Content,MARKETING,MarketingContent,WomenHeroImage,1.0,0
HardwareLightingRow2_Content,MARKETING,MarketingContent,HardwareLightingCategoryHeroImage,1.0,0
BoltsRow2_Content,MARKETING,MarketingContent,BoltsDeptHeroImage,1.0,0
ScrewsRow2_Content,MARKETING,MarketingContent,ScrewsDeptHeroImage,1.0,0
NutsRow2_Content,MARKETING,MarketingContent,NutsDeptHeroImage,1.0,0
HardwareRow1_Content,MARKETING,MarketingContent,HardwareDeptHeroImage,1.0,0
HardwareRow2_Content_Left,MARKETING,MarketingContent,HardwareDeptLeftAdImage,1.0,0
HardwareRow2_Content_Right,MARKETING,MarketingContent,HardwareDeptRightAdImage,1.0,0
Fasteners_Page_Tab_1,MARKETING,MarketingContent,FastenersPageTab1,1.0,0
