LayoutAssignment
LayoutName,PageGroup,PageAdminName,Identifier,ApplyToSubPageType,PropagateToSubLevels
StaticContentLayout,Content,AboutDressDesigner,,,
StaticContentLayout,Content,AuroraStyleGuide,,,
StaticContentLayout,Content,EveningSparkleDress,,,
DepartmentPageLayout,Category,,Apparel,,
SubCategoryPageLayout,Category,,Women,,
SubCategoryPageLayout,Category,,Men,,
SubCategoryPageLayout,Category,,Girls,,
SubCategoryPageLayout,Category,,Boys,,
DepartmentPageLayout,Category,,Electronics,,
DepartmentPageLayout,Category,,Health,,
DepartmentPageLayout,Category,,Grocery,,
DepartmentPageLayout,Category,,Home Furnishings,,
DepartmentPageLayout,Category,,NewslettersAndMagazines,,
DepartmentPageLayout,Category,,Hardware,,
DepartmentPageLayout,Category,,Fasteners,,
SearchLandingPageLayout,Search,,women glasses,,
SearchLandingPageLayout,Search,,women's glasses,,
SearchLandingPageLayout,Search,,women hats,,
SearchLandingPageLayout,Search,,women's hats,,
CategoryPageLayout,Category,,Boys Pants,,
ProductPageLayout,Category,,Boys Pants,Product,
BundlePageLayout,Category,,Boys Pants,Bundle,
KitPageLayout,Category,,Tableware,Kit,
DynamicKitPageLayout,Category,,Electronics,DynamicKit,
HardwareLightingPageLayout,Category,,Hardware Lighting,
FastenersProductPageLayout,Category,,Bolts,Product,
FastenersProductPageLayout,Category,,Nuts,Product,
FastenersProductPageLayout,Category,,Screws,Product,
