Seopage
PageGroup,PageAdminName,URLKeyword,PageTitle,MetaDescription,MetaKeyword,ImageAltText
Content,HelpPage,Hilfe,Hilfe unter <seo: StoreName/>,Hilfe unter <seo: StoreName/>,Hilfe unter <seo: StoreName/>,Grafik zu <seo: StoreName/> - Hilfe
Content,ContactUsPage,kontaktieren-Sie-uns,Kontaktieren Sie uns wegen <seo: StoreName/>,Kontaktieren Sie uns wegen <seo: StoreName/>,Kontaktieren Sie uns wegen <seo: StoreName/>,Grafik für <seo: StoreName/> - Kontaktieren Sie uns
Content,ReturnPolicyPage,Retourenrichtlinie,Retourenrichtlinie für <seo: StoreName/>,Retourenrichtlinie für <seo: StoreName/>,Retourenrichtlinie für <seo: StoreName/>,Grafik für <seo: StoreName/> - Retourenrichtlinie
Content,PrivacyPolicyPage,Datenschutzrichtlinie,Datenschutzrichtlinie der Website für <seo: StoreName/>,Datenschutzrichtlinie der Website für <seo: StoreName/>,Datenschutzrichtlinie der Website für <seo: StoreName/>,Grafik für <seo: StoreName/> - Datenschutzrichtlinie
Content,CorporateInfoPage,Informationen-zum-Unternehmen,Über uns für <seo: StoreName/>,Über uns für <seo: StoreName/>,Über uns für <seo: StoreName/>,Grafik für <seo: StoreName/> - Über uns
Content,CorporateContactUsPage,Kontaktinformationen-zum-Unternehmen,Kontaktinformationen zum Unternehmen für <seo: StoreName/>,Kontaktinformationen zum Unternehmen für <seo: StoreName/>,Kontaktinformationen zum Unternehmen für <seo: StoreName/>,Grafik für <seo: StoreName/> - Kontaktinformationen zum Unternehmen
Content,SiteMapPage,Sitemap,Sitemap für <seo: StoreName/>,Sitemap für <seo: StoreName/>,Sitemap für <seo: StoreName/>,Grafik für <seo: StoreName/> - Sitemap
Content,HomePage,,Willkommen bei <seo: StoreName/>,Geschäft <seo: StoreName/> - Online. <seo: StoreDescription/>,<seo: StoreName/> <seo: StoreDescription/>,Grafik für <seo: StoreName/> - Homepage
Content,AboutDressDesigner,Bekleidungsdesigner,Informationen zum Dress Designer,Informationen zum Dress Designer für <seo: StoreName/>,Informationen zum Dress Designer für <seo: StoreName/>,Grafik für <seo: StoreName/> - Informationen zum Dress Designer
Content,AuroraStyleGuide,Fashion-Führer-für-Bekleidung,Fashion-Führer - Bekleidung und Mode,Fashion-Führer - Bekleidung und Mode für <seo: StoreName/>,Fashion-Führer - Bekleidung und Mode für <seo: StoreName/>,Grafik für <seo: StoreName/> - Fashion-Führer - Bekleidung und Mode
Content,EveningSparkleDress,Abendkleider-Video,Kollektion glänzender Abendkleider - Video,Kollektion glänzender Abendkleider - Video für <seo: StoreName/>,Kollektion glänzender Abendkleider - Video für <seo: StoreName/>,Grafik für <seo: StoreName/> - Kollektion glänzender Abendkleider - Video
