Seopage
PageGroup,PageAdminName,URLKeyword,PageTitle,MetaDescription,MetaKeyword,ImageAltText
Content,HelpPage,ajutor,Ajutor la <seo: StoreName/>,Ajutor la <seo: StoreName/>,Ajutor la <seo: StoreName/>,Imagine pentru Ajutor <seo: StoreName/>
Content,ContactUsPage,contact-us-ro,Contactaţi-ne pentru <seo: StoreName/>,Contactaţi-ne pentru <seo: StoreName/>,Contactaţi-ne pentru <seo: StoreName/>,Imagine pentru Contactaţi-ne <seo: StoreName/>
Content,ReturnPolicyPage,return-policy-ro,Politică de retur pentru <seo: StoreName/>,Politică de retur pentru <seo: StoreName/>,Politică de retur pentru <seo: StoreName/>,Imagine pentru Politică de retur <seo: StoreName/>
Content,PrivacyPolicyPage,privacy-policy-ro,Politică de confidenţialitate site web pentru <seo: StoreName/>,Politică de confidenţialitate site web pentru <seo: StoreName/>,Politică de confidenţialitate site web pentru <seo: StoreName/>,Imagine pentru Politică de confidenţialitate <seo: StoreName/>
Content,CorporateInfoPage,corporate-info-ro,Despre noi pentru <seo: StoreName/>,Despre noi pentru <seo: StoreName/>,Despre noi pentru <seo: StoreName/>,Imagine pentru Despre noi <seo: StoreName/>
Content,CorporateContactUsPage,corporate-contact-us-ro,Corporaţie Contactaţi-ne pentru <seo: StoreName/>,Corporaţie Contactaţi-ne pentru <seo: StoreName/>,Corporaţie Contactaţi-ne pentru <seo: StoreName/>,Imagine pentru Corporaţie Contactaţi-ne <seo: StoreName/>
Content,SiteMapPage,sitemap-ro,Hartă site pentru <seo: StoreName/>,Hartă site pentru <seo: StoreName/>,Hartă site pentru <seo: StoreName/>,Imagine pentru Hartă site <seo: StoreName/>
Content,HomePage,,Bine aţi venit la <seo: StoreName/>,Magazin <seo: StoreName/> online. <seo: StoreDescription/>,<seo: StoreName/> <seo: StoreDescription/>,Imagine pentru pagina Acasă <seo: StoreName/>
Content,AboutDressDesigner,apparel-designer-ro,Despre designer-ul vestimentar,Despre designerul vestimentar pentru <seo: StoreName/>,Despre designerul vestimentar pentru <seo: StoreName/>,Imagine pentru Despre designerul vestimentar <seo: StoreName/>
Content,AuroraStyleGuide,apparel-style-guide-ro,Ghid de stil pentru îmbrăcăminte,Ghid de stil pentru îmbrăcăminte pentru <seo: StoreName/>,Ghid de stil pentru îmbrăcăminte pentru <seo: StoreName/>,Imagine pentru Ghid de stil pentru îmbrăcăminte <seo: StoreName/>
Content,EveningSparkleDress,evening-dress-video-ro,Colecţia de rochii de seară strălucitoare pe video,Colecţia de rochii de seară strălucitoare pe video pentru <seo: StoreName/>,Colecţia de rochii de seară strălucitoare pe video pentru <seo: StoreName/>,Imagine pentruColecţia de rochii de seară strălucitoare pe video <seo: StoreName/>
