CatalogGroupSEO
GroupIdentifier,LanguageId
Apparel,-3
Appliances,-3
Bath Accessories,-3
Bolts,-3
Boys,-3
Boys Pants,-3
Boys Shoes,-3
Boys Tops,-3
Computers Accessories,-3
Computers Components,-3
Computers Desktops,-3
Computers Laptops,-3
Computers Tablets,-3
Dairy,-3
Dresses,-3
Electronics,-3
Fasteners,-3
Fruit,-3
Furniture,-3
Girls,-3
Girls Dresses Skirts,-3
Girls Pants,-3
Girls Shoes,-3
Girls Tops,-3
Grocery,-3
Hardware,-3
Hardware Lighting,-3
Health,-3
Home Furnishings,-3
Kitchenware,-3
Lighting,-3
Magazines,-3
Meat,-3
Medicine,-3
Men,-3
Men Accessories,-3
Men Jackets,-3
Men Pants,-3
Men Shirts,-3
Men Shoes,-3
Men Suits,-3
Newsletters,-3
NewslettersAndMagazines,-3
Nuts,-3
Screws,-3
Tableware,-3
Vegetables,-3
Vitamins,-3
Women,-3
Women Accessories,-3
Women Handbags,-3
Women Pants,-3
Women Shirts Blouses,-3
Women Shoes,-3
Women Skirts,-3
Women Sweaters,-3
