CatalogGroupSEO
GroupIdentifier,LanguageId
Apparel,-7
Appliances,-7
Bath Accessories,-7
Bolts,-7
Boys,-7
Boys Pants,-7
Boys Shoes,-7
Boys Tops,-7
Computers Accessories,-7
Computers Components,-7
Computers Desktops,-7
Computers Laptops,-7
Computers Tablets,-7
Dairy,-7
Dresses,-7
Electronics,-7
Fasteners,-7
Fruit,-7
Furniture,-7
Girls,-7
Girls Dresses Skirts,-7
Girls Pants,-7
Girls Shoes,-7
Girls Tops,-7
Grocery,-7
Hardware,-7
Hardware Lighting,-7
Health,-7
Home Furnishings,-7
Kitchenware,-7
Lighting,-7
Magazines,-7
Meat,-7
Medicine,-7
Men,-7
Men Accessories,-7
Men Jackets,-7
Men Pants,-7
Men Shirts,-7
Men Shoes,-7
Men Suits,-7
Newsletters,-7
NewslettersAndMagazines,-7
Nuts,-7
Screws,-7
Tableware,-7
Vegetables,-7
Vitamins,-7
Women,-7
Women Accessories,-7
Women Handbags,-7
Women Pants,-7
Women Shirts Blouses,-7
Women Shoes,-7
Women Skirts,-7
Women Sweaters,-7
