AttachmentDescription
identifier,name,shortDescription,longDescription,languageId,delete
HeaderStoreLogo,Logo negozio,AuroraStorefrontAssetStore,,-4,0
EmailBanner,Banner email,Banner email,,-4,0
EmailBottom_Content,E-mail Logo promozione negozio,E-mail Logo promozione negozio,,-4,0
WomenLandingPage_Atct_brand1,Marchio1,Visualizza un marchio,,-4,0
WomenLandingPage_Atct_brand2,marchio2,Visualizza un marchio,,-4,0
WomenLandingPage_Atct_brand3,marchio3,Visualizza un marchio,,-4,0
WomenLandingPage_Atct_brand4,marchio4,Visualizza un marchio,,-4,0
WomenLandingPage_Atct_brand5,marchio5,Visualizza un marchio,,-4,0
HeaderESpot15OffPurchaseAd,15% di sconto sugli acquisti,Risparmio del 15% sull'intero acquisto,,-4,0
HeaderESpotFreeShippingSpecial,Spedizione gratuita,Spedizione gratuita per gli ordini di importo superiore a $100,,-4,0
BoysPants_Atct_1,Maglioni comodi,"Maglioni comodi. Acquistando un articolo, il 25% di sconto sul secondo ",,-4,0
BoysPants_Atct_2,Jeans,Jeans per ragazzi. 35% di sconto su tutti i modelli,,-4,0
BoysShoes_Atct_1,Maglie,Offerta maglie. 25% di sconto sulle maglie per ragazzi,,-4,0
BoysShoes_Atct_2,Offerta scarpe,"Offerta scarpe per ragazzi. Acquistando 2 paia di scarpe, il terzo è in omaggio",,-4,0
BoysTops_Atct_1,Maglioni comodi,"Maglioni comodi. Acquistando un articolo, il 25% di sconto sul secondo ",,-4,0
BoysTops_Atct_2,Jeans,Jeans per ragazzi. 35% di sconto su tutti i modelli,,-4,0
BoysRow1_Content,Vendita articoli per ragazzi,Maglie in offerta. Risparmia il 30% sulle maglie per ragazzi,,-4,0
GirlsDS_Atct_1,Offerta abiti,Abiti in offerta. 30% di sconto su abiti per ragazze,,-4,0
GirlsDS_Atct_2,Offerta scarpe,"Offerta scarpe per ragazze. Acquistando 2 paia di scarpe, il terzo è in omaggio",,-4,0
GirlsPants_Atct_1,Denim,Offerta denim. 35% di sconto su jeans per ragazze,,-4,0
GirlsPants_Atct_2,Svendita abiti estivi,Svendita abiti estivi. Risparmio del 50% su gonne e abiti estivi per ragazze,,-4,0
GirlsShoes_Atct_1,Offerta scarpe,"Offerta scarpe per ragazze. Acquistando 2 paia di scarpe, il terzo è in omaggio",,-4,0
GirlsShoes_Atct_2,Offerta scarpe ,"Offerta scarpe per ragazze. Acquistando 2 paia di scarpe, il terzo è in omaggio",,-4,0
GirlsTops_Atct_1,Maglie e magliette,Maglie e magliette. 30% di sconto su maglie e magliette per ragazze,,-4,0
GirlsTops_Atct_2,Maglioni caldi,Maglioni caldi,,-4,0
MenAcc_Atct_1,Cravatta di seta,Offerta cravatta di seta. 50% di sconto con l'acquisto dell'abito,,-4,0
MenAcc_Atct_2,Abito da uomo,Offerta abito da uomo. 20% di sconto su completi da uomo,,-4,0
MenJackets_Atct_1,Pelle nappa,Pelle moda. 20% di sconto sui giubbini in pelle da uomo,,-4,0
