MarketingElementNVP
activityName,elementName,name,value,sequence,triggerMatch,properties,delete
Shopping cart featured products,1,emsId,ShoppingCartRight_CatEntries|MARKETING,,1,,0
Shopping cart featured products,2,catalogEntryIdList,AuroraWMDRS-41,1.0,0,,0
Shopping cart featured products,2,catalogEntryIdList,WBG006_0601,3.0,0,,0
Shopping cart featured products,2,catalogEntryIdList,MCL011_1101,2.0,0,,0
Shopping cart featured products,2,catalogEntryIdList,FB041_410602,2.0,0,,0
Shopping cart featured products,2,catalogEntryIdList,FNU040_401001,3.0,0,,0
Shopping cart featured products,2,catalogEntryIdList,FSC039_3906019,1.0,0,,0
Wish list featured products,1,emsId,WishListCenter_CatEntries|MARKETING,,1,,0
Wish list featured products,2,catalogEntryIdList,AuroraWMDRS-40,1.0,0,,0
Wish list featured products,2,catalogEntryIdList,WBG006_0602,3.0,0,,0
Wish list featured products,2,catalogEntryIdList,WSH005_0501,4.0,0,,0
Wish list featured products,2,catalogEntryIdList,MCL011_1102,2.0,0,,0
Wish list featured products,2,catalogEntryIdList,FB041_410903,1.0,0,,0
Wish list featured products,2,catalogEntryIdList,FSC039_390804,2.0,0,,0
Wish list featured products,2,catalogEntryIdList,LA042_420401,3.0,0,,0
Wish list featured products,2,catalogEntryIdList,LA042_420502,4.0,0,,0
HomeRow2_Categories,1,emsId,HomeRow2_Categories|MARKETING,1.0,1,,0
HomeRow2_Categories,2,categoryIdList,Women Shirts Blouses,2.0,0,,0
HomeRow2_Categories,2,categoryIdList,Women Accessories,3.0,0,,0
HomeRow2_Categories,2,categoryIdList,Men Suits,4.0,0,,0
HomeRow2_Categories,2,categoryIdList,Girls Dresses Skirts,5.0,0,,0
HomeRow2_Categories,2,categoryIdList,Boys Tops,6.0,0,,0
B2BHomePageFeaturedCategories,1,emsId,B2BHomePageFeaturedCategories|MARKETING,,1,,0
B2BHomePageFeaturedCategories,1,widgetEspot,0,,0,,0
B2BHomePageFeaturedCategories,2,categoryIdList,Fasteners,1.0,0,,0
B2BHomePageFeaturedCategories,2,categoryIdList,Hardware Lighting,2.0,0,,0
B2BHomePageFeaturedProducts,1,emsId,B2BHomePageFeaturedProducts|MARKETING,,1,,0
B2BHomePageFeaturedProducts,1,widgetEspot,0,,0,,0
B2BHomePageFeaturedProducts,2,catalogEntryIdList,FB041_4101,3.0,0,,0
B2BHomePageFeaturedProducts,2,catalogEntryIdList,FB041_4102,5.0,0,,0
B2BHomePageFeaturedProducts,2,catalogEntryIdList,FNU040_4001,2.0,0,,0
B2BHomePageFeaturedProducts,2,catalogEntryIdList,FSC039_3910,7.0,0,,0
B2BHomePageFeaturedProducts,2,catalogEntryIdList,LA042_4201,4.0,0,,0
B2BHomePageFeaturedProducts,2,catalogEntryIdList,LA042_4202,6.0,0,,0
B2BHomePageFeaturedProducts,2,catalogEntryIdList,LA042_4203,1.0,0,,0
B2BHomePageFeaturedProducts,2,displayMax,5,,0,,0
B2BHomePageFeaturedProducts,2,recommendationMethod,specifyList,,0,,0
SeachLandingClearance,p21,emsId,SeachLandingClearance|MARKETING,,1,,0
SeachLandingClearance,p22,catalogEntryIdList,HAP027_2714,,0,,0
SeachLandingClearance,p22,catalogEntryIdList,HAP027_2715,,0,,0
SeachLandingClearance,p22,catalogEntryIdList,HAP027_2716,,0,,0
SeachLandingClearance,p22,catalogEntryIdList,HAP027_2717,,0,,0
SeachLandingClearance,p22,catalogEntryIdList,HAP027_2718,,0,,0
SeachLandingClearance,p22,catalogEntryIdList,HAP027_2719,,0,,0
SeachLandingClearance,p22,catalogEntryIdList,HAP027_2720,,0,,0
SeachLandingClearance,p22,catalogEntryIdList,HAP027_2721,,0,,0
SearchLandingWomenRow3_CatEntries,p21,emsId,SearchLandingWomenRow3_CatEntries|MARKETING,,1,,0
SearchLandingWomenRow3_CatEntries,p22,catalogEntryIdList,WAC007_0711,,0,,0
SearchLandingWomenRow3_CatEntries,p22,catalogEntryIdList,WAC007_0713,,0,,0
SearchLandingWomenRow3_CatEntries,p22,catalogEntryIdList,WAC007_0714,,0,,0
SearchLandingWomenRow3_CatEntries,p22,catalogEntryIdList,WAC007_0715,,0,,0
SearchLandingWomenRow3_CatEntries,p22,catalogEntryIdList,WAC007_0716,,0,,0
SearchLandingWomenRow4_CatEntries,p21,emsId,SearchLandingWomenRow4_CatEntries|MARKETING,,1,,0
SearchLandingWomenRow4_CatEntries,p22,catalogEntryIdList,WAC007_0701,,0,,0
SearchLandingWomenRow4_CatEntries,p22,catalogEntryIdList,WAC007_0704,,0,,0
SearchLandingWomenRow4_CatEntries,p22,catalogEntryIdList,WAC007_0705,,0,,0
SearchLandingWomenRow4_CatEntries,p22,catalogEntryIdList,WAC007_0706,,0,,0
SearchLandingWomenRow4_CatEntries,p22,catalogEntryIdList,WAC007_0707,,0,,0
SearchLandingWomen_BrandEspots,1,emsId,SearchLandingWomen_BrandEspots|MARKETING,,1,,0
SearchLandingWomen_BrandEspots,2,collateralIdList,WomenLandingPage_Atct_brand1,1.0,0,,0
SearchLandingWomen_BrandEspots,2,collateralIdList,WomenLandingPage_Atct_brand2,2.0,0,,0
SearchLandingWomen_BrandEspots,2,collateralIdList,WomenLandingPage_Atct_brand3,3.0,0,,0
SearchLandingWomen_BrandEspots,2,collateralIdList,WomenLandingPage_Atct_brand4,4.0,0,,0
SearchLandingWomen_BrandEspots,2,collateralIdList,WomenLandingPage_Atct_brand5,5.0,0,,0
HeaderESpot  Web activity,1,emsId,CatalogBanner_Content|MARKETING,,1,,0
HeaderESpot  Web activity,2,collateralIdList,HeaderESpot15OffPurchaseAd,1.0,0,,0
