MarketingContent
contentName,contentType,url,behavior,uiDisplable,managingTool,location,marketingText,field1,field2,delete
HeaderStoreLogo,File,StoreView?storeId=#storeId#,0,,,,,,,0
EmailBanner,File,,0,,,,,,,0
EmailBottom_Content,File,,0,,,,,,,0
ProductPageTab1,Text,,0,0,,,Description,,,0
ProductPageTab2,Text,,0,0,,,Other Customers Also Purchased,,,0
SearchPageTab1,Text,,0,0,,,Products (<span id="searchTabProdCount">[productTotalCount]</span>),,,0
SearchPageTab2,Text,,0,0,,,Articles & Videos (<span id="searchTabContentCount">[contentTotalCount]</span>),,,0
PasswordResetNotifyCenter,Text,,0,,,,"<h2 style=""color: #808080; font-size: 16px; font-weight: normal; margin-top: 30px; margin-bottom: 12px;"">Dear [userName],</h2>               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">We have received your request to have your password reset. </p>               <br />               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;""><strong>Your validation code is: </strong>[validationCode]</p>               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">Use the validation code in the browser where you initiated the password reset request.</p>               <br />               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">Thanks,</p>               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">The [storeName] team</p><br /><br />",,,0
WishlistCreateNotifyCenter,Text,,0,,,,"<h2 style=""color: #808080; font-size: 16px; font-weight: normal; margin-top: 30px; margin-bottom: 12px;"">Dear customer,</h2>               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">[senderName] from e-mail address : [senderEmail] has created a wish list.</p>               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">To take a look, click the following link:</p>               <p style=""margin: 15px 0; line-height: 14px; overflow: hidden; width: 558px; word-wrap: break-word;"">                <a style=""color: #0081AF; text-decoration: underline;"" class=""link""href=""[link]"">[link]</a>               </p>               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">Thanks,</p>               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">The [storeName] team</p><br/>",,,0
HelpCenter,Text,,0,,,,"<div class=""container_static_full_width container_margin_5px""> <div class=""static_page_content""> <div class=""page_header"" role=""heading"" aria-level=""1"">Help</div> <div class=""content_box""> <div class=""header_top"">Frequently Asked Questions</div> <div class=""item_spacer_5px""></div> <div class=""item_spacer_10px""></div> <div class=""header"">How do I order?</div> <div class=""info_section""> <p>It's easy to order from [storeName]. If this is your first time purchasing from our store, just follow these three easy steps: </p> <div class=""item_spacer_5px""></div> <ol> <li>Browse the catalog. </li> <li>Add the item you want to your shopping cart. </li> <li>Complete the checkout flow. </li> </ol> <div class=""item_spacer_5px""></div> <p>You will be asked for your e-mail address and a password to register yourself as a customer. Then, the next time you shop with us, we will have your information already stored, and you won't need to input it again.</p> </div> <div class=""header"">How can I pay?</div> <div class=""info_section""> <p>We accept Visa, MasterCard, or American Express. When you are checking out, you will be prompted to enter your credit card number for payment.</p> </div> <div class=""header"">Is it safe to use my credit card?</div> <div class=""info_section""> <p>We guarantee that every transaction you make at [storeName] will be 100 percent safe and secure. This means you pay nothing if unauthorized charges are made to your card as a result of shopping at [storeName]. If you feel more comfortable, you may enter only your cards last five digits and its expiration date. Once you have fully submitted your order, you can call us and let us know the rest of your card number over the phone.</p> </div> <div class=""header"">How do I track my order?</div> <div class=""info_section""> <p>You can review the status of any order you have placed at [storeName] simply by clicking the My account link at the top of every page. From there, you will be able to view or modify any order that has yet to enter the shipping process.</p> </div> </div> </div> <div class=""clear_float""></div> </div>",,,0
