MarketingContentAttachmentDescription
contentName,attachmentIdentifier,usageName,relationName,relationShortDescription,relationLongDescription,languageId,delete
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Brand1,Display a brand,,-1,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,brand2,Display a brand,,-1,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,brand3,Display a brand,,-1,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,brand4,Display a brand,,-1,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,brand5,Display a brand,,-1,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,15% Off Purchase,Save 15% Off Your Entire Purchase,,-1,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,Free Shipping,Free Shipping,,-1,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,Cozy Sweaters,Cozy Sweaters,,-1,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,Jeans,Jeans,,-1,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,Tops,Tops,,-1,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,Shoe Sale,Shoe Sale,,-1,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,Cozy Sweaters,Cozy Sweaters,,-1,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,Jeans,Jeans,,-1,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,Boys Sale,Boys Sale,,-1,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,Dress Sale,Dress Sale,,-1,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,Shoe Sale,Shoe Sale,,-1,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,Denim,Denim,,-1,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,Summer Clearance,Summer Clearance,,-1,0
GirlsShoes_Atct_1,GirlsShoes_Atct_1,NOUSAGE,Shoe Sale 1,Shoe Sale 1,,-1,0
GirlsShoes_Atct_2,GirlsShoes_Atct_2,NOUSAGE,Shoe Sale ,Shoe Sale ,,-1,0
GirlsTops_Atct_1,GirlsTops_Atct_1,NOUSAGE,Tees Tops,Tees Tops,,-1,0
GirlsTops_Atct_2,GirlsTops_Atct_2,NOUSAGE,Toasty Sweaters,Toasty Sweaters,,-1,0
MenAcc_Atct_1,MenAcc_Atct_1,NOUSAGE,Silk Tie,Silk Tie,,-1,0
MenAcc_Atct_2,MenAcc_Atct_2,NOUSAGE,Suit Up,Suit Up,,-1,0
MenJackets_Atct_1,MenJackets_Atct_1,NOUSAGE,Cool Leather,Cool Leather,,-1,0
MenJackets_Atct_2,MenJackets_Atct_2,NOUSAGE,Luxurious Cashmere,Luxurious Cashmere,,-1,0
MenPants_Atct_1,MenPants_Atct_1,NOUSAGE,Jeans,Jeans,,-1,0
MenPants_Atct_2,MenPants_Atct_2,NOUSAGE,Shoe Sale,Shoe Sale,,-1,0
MenShirts_Atct_1,MenShirts_Atct_1,NOUSAGE,Basic Tees,Basic Tees,,-1,0
MenShirts_Atct_2,MenShirts_Atct_2,NOUSAGE,Dress Shirt,Dress Shirt,,-1,0
MenShoes_Atct_1,MenShoes_Atct_1,NOUSAGE,Shoe Sale,Shoe Sale,,-1,0
MenShoes_Atct_2,MenShoes_Atct_2,NOUSAGE,Leather Belts,Leather Belts,,-1,0
MenSuits_Atct_1,MenSuits_Atct_1,NOUSAGE,Suit Up,Suit Up,,-1,0
MenSuits_Atct_2,MenSuits_Atct_2,NOUSAGE,Silk Tie,Silk Tie,,-1,0
MenRow1_Content,MenRow1_Content,NOUSAGE,Suit Up,Suit Up,,-1,0
WAcc_Atct_1,WAcc_Atct_1,NOUSAGE,Leather Belts,Leather Belts,,-1,0
WAcc_Atct_2,WAcc_Atct_2,NOUSAGE,Perfect Handbag,Perfect Handbag,,-1,0
WHB_Atct_1,WHB_Atct_1,NOUSAGE,Perfect Handbag,Perfect Handbag,,-1,0
WHB_Atct_2,WHB_Atct_2,NOUSAGE,Sunglasses,Sunglasses,,-1,0
WPants_Atct_1,WPants_Atct_1,NOUSAGE,Jeans,Jeans,,-1,0
WPants_Atct_2,WPants_Atct_2,NOUSAGE,Leather Belts,Leather Belts,,-1,0
WSB_Atct_1,WSB_Atct_1,NOUSAGE,Jeans,Jeans,,-1,0
WSB_Atct_2,WSB_Atct_2,NOUSAGE,Shirts and Blouses,Shirts and Blouses,,-1,0
WSh_Atct_1,WSh_Atct_1,NOUSAGE,Evening Sparkle,Evening Sparkle,,-1,0
WSh_Atct_2,WSh_Atct_2,NOUSAGE,Shoe Sale,Shoe Sale,,-1,0
WSk_Atct_1,WSk_Atct_1,NOUSAGE,Jeans,Jeans,,-1,0
WSk_Atct_2,WSk_Atct_2,NOUSAGE,Summer Clearance,Summer Clearance,,-1,0
WSw_Atct_1,WSw_Atct_1,NOUSAGE,Evening Sparkle,Evening Sparkle 15% off women's evening dresses,,-1,0
WSw_Atct_2,WSw_Atct_2,NOUSAGE,Cozy Sweaters,"Cozy Sweaters Buy 1, get 25% off a 2nd",,-1,0
Accessories_Atct_1,Accessories_Atct_1,NOUSAGE,Crystal Clear,Crystal Clear,,-1,0
Accessories_Atct_2,Accessories_Atct_2,NOUSAGE,Save on Accessories,Save on Accessories,,-1,0
Appliances_Atct_1,Appliances_Atct_1,NOUSAGE,Perfect Every Time,Perfect Every Time,,-1,0
Appliances_Atct_2,Appliances_Atct_2,NOUSAGE,Big Kitchen Savings,Big Kitchen Savings,,-1,0
