MarketingContentAttachmentDescription
contentName,attachmentIdentifier,usageName,relationName,relationShortDescription,relationLongDescription,languageId,delete
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Brand1,Eine Marke anzeigen,,-3,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,brand2,Eine Marke anzeigen,,-3,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,brand3,Eine Marke anzeigen,,-3,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,brand4,Eine Marke anzeigen,,-3,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,brand5,Eine Marke anzeigen,,-3,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,15% auf gesamten Einkauf,Sparen Sie 15% auf Ihren gesamten Einkauf,,-3,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,Kostenloser Versand,Kostenloser Versand,,-3,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,Wohlfühlpullover,Wohlfühlpullover,,-3,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,Jeans,Jeans,,-3,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,Oberteile,Oberteile,,-3,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,Sonderangebote,Sonderangebote,,-3,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,Wohlfühlpullover,Wohlfühlpullover,,-3,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,Jeans,Jeans,,-3,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,Angebote - Jungen,Angebote - Jungen,,-3,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,Kleider - Angebote,Kleider - Angebote,,-3,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,Sonderangebote,Sonderangebote,,-3,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,Denim,Denim,,-3,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,Sommerschlussverkauf,Sommerschlussverkauf,,-3,0
GirlsShoes_Atct_1,GirlsShoes_Atct_1,NOUSAGE,Schuhe - Angebote 1,Schuhe - Angebote 1,,-3,0
GirlsShoes_Atct_2,GirlsShoes_Atct_2,NOUSAGE,Sonderangebote ,Sonderangebote ,,-3,0
GirlsTops_Atct_1,GirlsTops_Atct_1,NOUSAGE,T-Shirts - Oberteile,T-Shirts - Oberteile,,-3,0
GirlsTops_Atct_2,GirlsTops_Atct_2,NOUSAGE,Warme Pullover,Warme Pullover,,-3,0
MenAcc_Atct_1,MenAcc_Atct_1,NOUSAGE,Seidenkrawatten,Seidenkrawatten,,-3,0
MenAcc_Atct_2,MenAcc_Atct_2,NOUSAGE,Anzüge,Anzüge,,-3,0
MenJackets_Atct_1,MenJackets_Atct_1,NOUSAGE,Cooles Leder,Cooles Leder,,-3,0
MenJackets_Atct_2,MenJackets_Atct_2,NOUSAGE,Luxuriöser Kaschmir,Luxuriöser Kaschmir,,-3,0
MenPants_Atct_1,MenPants_Atct_1,NOUSAGE,Jeans,Jeans,,-3,0
MenPants_Atct_2,MenPants_Atct_2,NOUSAGE,Sonderangebote,Sonderangebote,,-3,0
MenShirts_Atct_1,MenShirts_Atct_1,NOUSAGE,Basic-T-Shirts,Basic-T-Shirts,,-3,0
MenShirts_Atct_2,MenShirts_Atct_2,NOUSAGE,Anzugshemd,Anzugshemd,,-3,0
MenShoes_Atct_1,MenShoes_Atct_1,NOUSAGE,Sonderangebote,Sonderangebote,,-3,0
MenShoes_Atct_2,MenShoes_Atct_2,NOUSAGE,Ledergürtel,Ledergürtel,,-3,0
MenSuits_Atct_1,MenSuits_Atct_1,NOUSAGE,Anzüge,Anzüge,,-3,0
MenSuits_Atct_2,MenSuits_Atct_2,NOUSAGE,Seidenkrawatten,Seidenkrawatten,,-3,0
MenRow1_Content,MenRow1_Content,NOUSAGE,Anzüge,Anzüge,,-3,0
WAcc_Atct_1,WAcc_Atct_1,NOUSAGE,Ledergürtel,Ledergürtel,,-3,0
WAcc_Atct_2,WAcc_Atct_2,NOUSAGE,Perfekte Handtasche,Perfekte Handtasche,,-3,0
WHB_Atct_1,WHB_Atct_1,NOUSAGE,Perfekte Handtasche,Perfekte Handtasche,,-3,0
WHB_Atct_2,WHB_Atct_2,NOUSAGE,Sonnenbrillen,Sonnenbrillen,,-3,0
WPants_Atct_1,WPants_Atct_1,NOUSAGE,Jeans,Jeans,,-3,0
WPants_Atct_2,WPants_Atct_2,NOUSAGE,Ledergürtel,Ledergürtel,,-3,0
WSB_Atct_1,WSB_Atct_1,NOUSAGE,Jeans,Jeans,,-3,0
