MarketingContentAttachmentDescription
contentName,attachmentIdentifier,usageName,relationName,relationShortDescription,relationLongDescription,languageId,delete
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Marchio1,Visualizza un marchio,,-4,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,marchio2,Visualizza un marchio,,-4,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,marchio3,Visualizza un marchio,,-4,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,marchio4,Visualizza un marchio,,-4,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,marchio5,Visualizza un marchio,,-4,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,15% di sconto sugli acquisti,Risparmio del 15% sull'intero acquisto,,-4,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,Spedizione gratuita,Spedizione gratuita,,-4,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,Maglioni comodi,Maglioni comodi,,-4,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,Jeans,Jeans,,-4,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,Maglie,Maglie,,-4,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,Offerta scarpe,Offerta scarpe,,-4,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,Maglioni comodi,Maglioni comodi,,-4,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,Jeans,Jeans,,-4,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,Vendita articoli per ragazzi,Vendita articoli per ragazzi,,-4,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,Offerta abiti,Offerta abiti,,-4,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,Offerta scarpe,Offerta scarpe,,-4,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,Denim,Denim,,-4,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,Svendita abiti estivi,Svendita abiti estivi,,-4,0
GirlsShoes_Atct_1,GirlsShoes_Atct_1,NOUSAGE,Offerta scarpe 1,Offerta scarpe 1,,-4,0
