MarketingContentAttachmentDescription
contentName,attachmentIdentifier,usageName,relationName,relationShortDescription,relationLongDescription,languageId,delete
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Brand1,顯示品牌,,-8,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,brand2,顯示品牌,,-8,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,brand3,顯示品牌,,-8,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,brand4,顯示品牌,,-8,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,brand5,顯示品牌,,-8,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,購物打八五折,全面可享 15% 折扣,,-8,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,不收運費,不收運費,,-8,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,保暖毛衣,保暖毛衣,,-8,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,牛仔褲,牛仔褲,,-8,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,上衣,上衣,,-8,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,鞋子特賣,鞋子特賣,,-8,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,保暖毛衣,保暖毛衣,,-8,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,牛仔褲,牛仔褲,,-8,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,男童裝特賣,男童裝特賣,,-8,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,洋裝特賣,洋裝特賣,,-8,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,鞋子特賣,鞋子特賣,,-8,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,丹寧布,丹寧布,,-8,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,夏季清倉大拍賣,夏季清倉大拍賣,,-8,0
GirlsShoes_Atct_1,GirlsShoes_Atct_1,NOUSAGE,鞋子特賣 1,鞋子特賣 1,,-8,0
GirlsShoes_Atct_2,GirlsShoes_Atct_2,NOUSAGE,鞋子特賣 ,鞋子特賣 ,,-8,0
