MarketingSpot
spotName,description,supportedTypes,usageType,uiDisplable,managingTool,delete
Product_ProductRec,Display catalog entry recommendations from Coremetrics Intelligent Offer on the product details page.,,MARKETING,,,0
Category_ProductRec,Display catalog entry recommendations from Coremetrics Intelligent Offer on all category pages.,,MARKETING,,,0
ShoppingCart_ProductRec,Display catalog entry recommendations from Coremetrics Intelligent Offer on the shopping cart page.,,MARKETING,,,0
OrderConf_ProductRec,Display catalog entry recommendations from Coremetrics Intelligent Offer on the order confirmation page.,,MARKETING,,,0
Home_ProductRec,Display catalog entry recommendations from Coremetrics Intelligent Offer on the home page.,,MARKETING,,,0
SearchResults_Content,Display ads on Search Results page,,MARKETING,,,0
SearchResults_CatEntries,Display catalog entry recommendations on Search Results page,,MARKETING,,,0
BestSellers_CatEntries,"Display a list of the best selling catalog entries for a category. This e-Marketing Spot can also display other types of catalog entry recommendations, just like any e-Marketing Spot with a name that ends with _CatEntries",,MARKETING,,,0
TopBrowsed_CatEntries,"Display a list of the top browsed catalog entries for a category. This e-Marketing Spot can also display other types of catalog entry recommendations, just like any e-Marketing Spot with a name that ends with _CatEntries",,MARKETING,,,0
RecViewed_CatEntries,"Display a list of the catalog entries that the customer has recently viewed. This e-Marketing Spot can also display other types of catalog entry recommendations, just like any e-Marketing Spot with a name that ends with _CatEntries",,MARKETING,,,0
HeaderStoreLogo_Content,Display your store logo in the top-left corner of every store page,,MARKETING,,,0
EmailBanner_Content,Display your store logo as a page-wide banner in all store marketing e-mail messages.,,MARKETING,,,0
EmailBottom_Content,Display an ad at the bottom of all store marketing e-mail messages.,,MARKETING,,,0
Product_Page_Tab_1,Display text content in the product page for Tab 1.,,MARKETING,0,,0
Product_Page_Tab_2,Display text content in the product page for Tab 2.,,MARKETING,0,,0
Search_Page_Tab_1,Display text content in the search page for Tab 1.,,MARKETING,0,,0
Search_Page_Tab_2,Display text content in the search page for Tab 2.,,MARKETING,0,,0
EmailPasswordReset_Content,Display content in the forgot password e-mail message.,,MARKETING,,,0
EmailWishlist_Content,Display content in the wish list created e-mail message.,,MARKETING,,,0
HelpPageCenter_Content,Display content in the Help page.,,MARKETING,,,0
ContactUsPageCenter_Content,Display content in the Contact Us page.,,MARKETING,,,0
ReturnPolicyPageCenter_Content,Display content in the Return Policy page.,,MARKETING,,,0
PrivacyPolicyPageCenter_Content,Display content in the Privacy Policy page.,,MARKETING,,,0
CorporateInfoPageCenter_Content,Display content in the Corporate Info - About Us page.,,MARKETING,,,0
CorporateContactUsPageCenter_Content,Display content in the Corporate Info - Contact Us page.,,MARKETING,,,0
EmailHeader_Content,Display content in the header of all store marketing e-mail messages.,,MARKETING,,,0
EmailFooter_Content,Display content in the footer of all store marketing e-mail messages.,,MARKETING,,,0
PasswordChangeNotifyCenter_Content,Email change password notification,,MARKETING,,,0
EmailAccountActivation_Content,Display content in the account activation e-mail message.,,MARKETING,,,0
