CatalogGroupSEO
GroupIdentifier,LanguageId
Apparel,-1
Appliances,-1
Bath Accessories,-1
Bolts,-1
Boys,-1
Boys Pants,-1
Boys Shoes,-1
Boys Tops,-1
Computers Accessories,-1
Computers Components,-1
Computers Desktops,-1
Computers Laptops,-1
Computers Tablets,-1
Dairy,-1
Dresses,-1
Electronics,-1
Fasteners,-1
Fruit,-1
Furniture,-1
Girls,-1
Girls Dresses Skirts,-1
Girls Pants,-1
Girls Shoes,-1
Girls Tops,-1
Grocery,-1
Hardware,-1
Hardware Lighting,-1
Health,-1
Home Furnishings,-1
Kitchenware,-1
Lighting,-1
Magazines,-1
Meat,-1
Medicine,-1
Men,-1
Men Accessories,-1
Men Jackets,-1
Men Pants,-1
Men Shirts,-1
Men Shoes,-1
Men Suits,-1
Newsletters,-1
NewslettersAndMagazines,-1
Nuts,-1
Screws,-1
Tableware,-1
Vegetables,-1
Vitamins,-1
Women,-1
Women Accessories,-1
Women Handbags,-1
Women Pants,-1
Women Shirts Blouses,-1
Women Shoes,-1
Women Skirts,-1
Women Sweaters,-1
