CatalogGroupSEO
GroupIdentifier,LanguageId
Apparel,-4
Appliances,-4
Bath Accessories,-4
Bolts,-4
Boys,-4
Boys Pants,-4
Boys Shoes,-4
Boys Tops,-4
Computers Accessories,-4
Computers Components,-4
Computers Desktops,-4
Computers Laptops,-4
Computers Tablets,-4
Dairy,-4
Dresses,-4
Electronics,-4
Fasteners,-4
Fruit,-4
Furniture,-4
Girls,-4
Girls Dresses Skirts,-4
Girls Pants,-4
Girls Shoes,-4
Girls Tops,-4
Grocery,-4
Hardware,-4
Hardware Lighting,-4
Health,-4
Home Furnishings,-4
Kitchenware,-4
Lighting,-4
Magazines,-4
Meat,-4
Medicine,-4
Men,-4
Men Accessories,-4
Men Jackets,-4
Men Pants,-4
Men Shirts,-4
Men Shoes,-4
Men Suits,-4
Newsletters,-4
NewslettersAndMagazines,-4
Nuts,-4
Screws,-4
Tableware,-4
Vegetables,-4
Vitamins,-4
Women,-4
Women Accessories,-4
Women Handbags,-4
Women Pants,-4
Women Shirts Blouses,-4
Women Shoes,-4
Women Skirts,-4
Women Sweaters,-4
