CatalogGroupSEO
GroupIdentifier,LanguageId
Apparel,-21
Appliances,-21
Bath Accessories,-21
Bolts,-21
Boys,-21
Boys Pants,-21
Boys Shoes,-21
Boys Tops,-21
Computers Accessories,-21
Computers Components,-21
Computers Desktops,-21
Computers Laptops,-21
Computers Tablets,-21
Dairy,-21
Dresses,-21
Electronics,-21
Fasteners,-21
Fruit,-21
Furniture,-21
Girls,-21
Girls Dresses Skirts,-21
Girls Pants,-21
Girls Shoes,-21
Girls Tops,-21
Grocery,-21
Hardware,-21
Hardware Lighting,-21
Health,-21
Home Furnishings,-21
Kitchenware,-21
Lighting,-21
Magazines,-21
Meat,-21
Medicine,-21
Men,-21
Men Accessories,-21
Men Jackets,-21
Men Pants,-21
Men Shirts,-21
Men Shoes,-21
Men Suits,-21
Newsletters,-21
NewslettersAndMagazines,-21
Nuts,-21
Screws,-21
Tableware,-21
Vegetables,-21
Vitamins,-21
Women,-21
Women Accessories,-21
Women Handbags,-21
Women Pants,-21
Women Shirts Blouses,-21
Women Shoes,-21
Women Skirts,-21
Women Sweaters,-21
