CatalogGroupSEO
GroupIdentifier,LanguageId
Apparel,-20
Appliances,-20
Bath Accessories,-20
Bolts,-20
Boys,-20
Boys Pants,-20
Boys Shoes,-20
Boys Tops,-20
Computers Accessories,-20
Computers Components,-20
Computers Desktops,-20
Computers Laptops,-20
Computers Tablets,-20
Dairy,-20
Dresses,-20
Electronics,-20
Fasteners,-20
Fruit,-20
Furniture,-20
Girls,-20
Girls Dresses Skirts,-20
Girls Pants,-20
Girls Shoes,-20
Girls Tops,-20
Grocery,-20
Hardware,-20
Hardware Lighting,-20
Health,-20
Home Furnishings,-20
Kitchenware,-20
Lighting,-20
Magazines,-20
Meat,-20
Medicine,-20
Men,-20
Men Accessories,-20
Men Jackets,-20
Men Pants,-20
Men Shirts,-20
Men Shoes,-20
Men Suits,-20
Newsletters,-20
NewslettersAndMagazines,-20
Nuts,-20
Screws,-20
Tableware,-20
Vegetables,-20
Vitamins,-20
Women,-20
Women Accessories,-20
Women Handbags,-20
Women Pants,-20
Women Shirts Blouses,-20
Women Shoes,-20
Women Skirts,-20
Women Sweaters,-20
