AttachmentDescription
identifier,name,shortDescription,longDescription,languageId,delete
HeaderStoreLogo,Store Logo,AuroraStorefrontAssetStore,,-1,0
EmailBanner,Email Banner,Email Banner,,-1,0
EmailBottom_Content,Email Store Promotion Logo,Email Store Promotion Logo,,-1,0
WomenLandingPage_Atct_brand1,Brand1,Display a brand,,-1,0
WomenLandingPage_Atct_brand2,brand2,Display a brand,,-1,0
WomenLandingPage_Atct_brand3,brand3,Display a brand,,-1,0
WomenLandingPage_Atct_brand4,brand4,Display a brand,,-1,0
WomenLandingPage_Atct_brand5,brand5,Display a brand,,-1,0
HeaderESpot15OffPurchaseAd,15% Off Purchase,Save 15% Off Your Entire Purchase,,-1,0
HeaderESpotFreeShippingSpecial,Free Shipping,Free Shipping On orders over $100,,-1,0
BoysPants_Atct_1,Cozy Sweaters,"Cozy Sweaters Buy 1, get 25% off a second ",,-1,0
BoysPants_Atct_2,Jeans,Boys' Jeans 35% off all styles,,-1,0
BoysShoes_Atct_1,Tops,Top Deals 25% off boys' tops,,-1,0
BoysShoes_Atct_2,Shoe Sale,"Boys' Shoe Sale Buy 2, get the 3rd for free",,-1,0
BoysTops_Atct_1,Cozy Sweaters,"Cozy Sweaters Buy 1, get 25% off a second ",,-1,0
BoysTops_Atct_2,Jeans,Boys' Jeans 35% off all styles,,-1,0
BoysRow1_Content,Boys Sale,Cool Tops on Sale Save 30% on boys' tops,,-1,0
GirlsDS_Atct_1,Dress Sale,Dresses on Sale 30% off girls' dresses,,-1,0
GirlsDS_Atct_2,Shoe Sale,"Girls' Shoe Sale Buy 2, get the 3rd for free",,-1,0
GirlsPants_Atct_1,Denim,Denim Deals 35% off girls' jeans,,-1,0
GirlsPants_Atct_2,Summer Clearance,Summer Clearance Save 50% on girls' summer skirts and dresses,,-1,0
GirlsShoes_Atct_1,Shoe Sale,"Girls' Shoe Sale Buy 2, get the 3rd for free",,-1,0
GirlsShoes_Atct_2,Shoe Sale ,"Girls' Shoe Sale Buy 2, get the 3rd for free",,-1,0
GirlsTops_Atct_1,Tees Tops,Tees & Tops 30% off girls t-shirts &tops,,-1,0
GirlsTops_Atct_2,Toasty Sweaters,Toasty Sweaters,,-1,0
MenAcc_Atct_1,Silk Tie,Silk Tie Sale 50% off with suit purchase,,-1,0
MenAcc_Atct_2,Suit Up,Suit Up Sale 20% off men 's suits,,-1,0
MenJackets_Atct_1,Cool Leather,Cool Leather 20% off men 's leather jackets,,-1,0
MenJackets_Atct_2,Luxurious Cashmere,Luxurious Cashmere 15% off men ' s cashmere blend coats,,-1,0
MenPants_Atct_1,Jeans,Comfort Jeans 15% off men's casual denim,,-1,0
MenPants_Atct_2,Shoe Sale,"Men's Shoe Sale Buy 2 pairs, get the 3rd for free",,-1,0
MenShirts_Atct_1,Basic Tees,"Basic Tee Sale Buy 2, get the 3rd for free",,-1,0
MenShirts_Atct_2,Dress Shirt,Dress Shirt Sale 15% off men ' s dress shirts,,-1,0
MenShoes_Atct_1,Shoe Sale,"Men's Shoe Sale Buy 2 pairs, get the 3rd for free",,-1,0
MenShoes_Atct_2,Leather Belts,Leather Belts 20% off our entire collection,,-1,0
MenSuits_Atct_1,Suit Up,Suit Up Sale 20% off men ' s suits,,-1,0
MenSuits_Atct_2,Silk Tie,Silk Tie Sale 50% off with suit purchase,,-1,0
MenRow1_Content,Suit Up,Suit Up 20% off men 's suits,,-1,0
WAcc_Atct_1,Leather Belts,Leather Belts 20% off our entire collection,,-1,0
WAcc_Atct_2,Perfect Handbag,Perfect Handbag 25% off your favorite styles,,-1,0
WHB_Atct_1,Perfect Handbag,Heavenly Handbag 25% off the perfect handbag,,-1,0
WHB_Atct_2,Sunglasses,Designer Sunglasses 35% off the seasona ' s hottest styles,,-1,0
WPants_Atct_1,Jeans,Classic Jeans 20% off your favorite pair,,-1,0
WPants_Atct_2,Leather Belts,Leather Belts 20% off our entire collection,,-1,0
WSB_Atct_1,Jeans,Classic Jeans 20% off your favorite pair,,-1,0
WSB_Atct_2,Shirts and Blouses,Shirts & Blouses 25% off our entire collection,,-1,0
WSh_Atct_1,Evening Sparkle,Evening Sparkle 15% off women's evening dresses,,-1,0
WSh_Atct_2,Shoe Sale,"Women ' s Shoe Sale Buy 2 pairs, get the 3rd for free",,-1,0
WSk_Atct_1,Jeans,Classic Jeans 20% off your favorite pair,,-1,0
WSk_Atct_2,Summer Clearance,Summer Clearance 50% off women 's summer skirts and dresses ,,-1,0
WSw_Atct_1,Evening Sparkle,Evening Sparkle,,-1,0
WSw_Atct_2,Cozy Sweaters,Cozy Sweaters,,-1,0
Accessories_Atct_1,Crystal Clear,Crystal Clear 15% off external displays,,-1,0
Accessories_Atct_2,Save on Accessories,Save on Accessories 25% off computer accessories,,-1,0
Appliances_Atct_1,Perfect Every Time,Perfect Every Time 15% off specialty coffee makers,,-1,0
Appliances_Atct_2,Big Kitchen Savings,Big Kitchen Savings 15% off large kitchen appliances,,-1,0
BathAcc_Atct_1,Cotton Towels,"Cotton Towels Buy 2, get the 3rd for free",,-1,0
BathAcc_Atct_2,Bathroom Accessories,50% off bathroom accessories,,-1,0
Components_Atct_1,Custom Desktops,Custom Desktops Design your dream system,,-1,0
Components_Atct_2,Custom Laptops,Custom Laptops Select components that suit your needs,,-1,0
Desktops_Atct_1,Custom Desktop,Custom Desktops Design your dream system,,-1,0
Desktops_Atct_2,Save on Printers,Save on Printers 50% off with any desktop purchase,,-1,0
Dairy_Atct_1,Creamy Camembert,Creamy Camembert $12 each this week only,,-1,0
Dairy_Atct_2,Refreshing Milk,Refreshing Milk $3.99 per 2 L carton this week only,,-1,0
DesktopsAndLaptops,Desktops and Laptops,Custom desktops and laptops Configure your dream machine,,-1,0
