AttachmentDescription
identifier,name,shortDescription,longDescription,languageId,delete
HeaderStoreLogo,Logo du magasin,AuroraStorefrontAssetStore,,-2,0
EmailBanner,Bannière de courrier électronique,Bannière de courrier électronique,,-2,0
EmailBottom_Content,Envoi par courrier électronique du logo des promotions du magasin,Envoi par courrier électronique du logo des promotions du magasin,,-2,0
WomenLandingPage_Atct_brand1,Marque1,Afficher une marque,,-2,0
WomenLandingPage_Atct_brand2,marque2,Afficher une marque,,-2,0
WomenLandingPage_Atct_brand3,marque3,Afficher une marque,,-2,0
WomenLandingPage_Atct_brand4,marque4,Afficher une marque,,-2,0
WomenLandingPage_Atct_brand5,marque5,Afficher une marque,,-2,0
HeaderESpot15OffPurchaseAd,15% de remise sur les achats,Economisez 15 % sur la totalité de vos achats,,-2,0
HeaderESpotFreeShippingSpecial,Livraison gratuite,Livraison gratuite pour toute commande d'un montant supérieur à 100 euros.,,-2,0
BoysPants_Atct_1,Pulls tout doux,"Pulls tout doux, pour l'achat d'un pull, moins 25 % sur le deuxième ",,-2,0
BoysPants_Atct_2,Jeans,"Jeans pour garçon, moins 35 % sur tous les styles",,-2,0
BoysShoes_Atct_1,Hauts,"Promo sur les hauts, économisez 25 % sur les hauts pour garçon",,-2,0
BoysShoes_Atct_2,Soldes sur les chaussures,"Soldes sur les chaussures pour garçon, pour 2 paires achetées, la troisième gratuite",,-2,0
BoysTops_Atct_1,Pulls tout doux,"Pulls tout doux, pour l'achat d'un pull, moins 25 % sur le deuxième ",,-2,0
BoysTops_Atct_2,Jeans,"Jeans pour garçon, moins 35 % sur tous les styles",,-2,0
BoysRow1_Content,Soldes pour garçon,"Super tops en solde, économisez 30 % sur les hauts pour garçon",,-2,0
GirlsDS_Atct_1,Robes en solde,"Robes en solde, moins 30 % sur les robes pour fille",,-2,0
GirlsDS_Atct_2,Soldes sur les chaussures,"Soldes sur les chaussures pour fille, pour 2 paires achetées, la troisième gratuite",,-2,0
GirlsPants_Atct_1,Denim,"Promo sur le denim, moins 35 % sur les jeans pour fille",,-2,0
GirlsPants_Atct_2,Soldes d'été,"Soldes d'été, économisez 50 % sur les jupes et robes pour fille",,-2,0
GirlsShoes_Atct_1,Soldes sur les chaussures,"Soldes sur les chaussures pour fille, pour 2 paires achetées, la troisième gratuite",,-2,0
GirlsShoes_Atct_2,Soldes sur les chaussures ,"Soldes sur les chaussures pour fille, pour 2 paires achetées, la troisième gratuite",,-2,0
GirlsTops_Atct_1,T-shirts et hauts,Moins 30 % sur les t-shirts et hauts pour fille,,-2,0
GirlsTops_Atct_2,Des pulls bien chauds,Des pulls bien chauds,,-2,0
MenAcc_Atct_1,Cravate en soie,"Soldes sur les cravates en soie, à moins 50 % pour l'achat d'un costume",,-2,0
MenAcc_Atct_2,Plein feu sur les costumes,"Soldes sur les costumes, moins 20 % sur les costumes pour homme",,-2,0
MenJackets_Atct_1,Cuir super-cool,"Cuir super-cool, moins 20 % sur les blousons en cuir pour homme",,-2,0
MenJackets_Atct_2,Cachemire de luxe,"Luxe du cachemire, moins 15 % sur les manteaux pour homme en cachemire mélangé",,-2,0
MenPants_Atct_1,Jeans,"Jeans confort, moins 15 % sur les jeans décontractés pour homme",,-2,0
MenPants_Atct_2,Soldes sur les chaussures,"Soldes sur les chaussures pour homme, pour 2 paires achetées, la troisième gratuite",,-2,0
MenShirts_Atct_1,T-shirts basiques,"T-shirts basiques. Pour 2 achetés, le troisième gratuit",,-2,0
MenShirts_Atct_2,Chemise de ville,"Soldes sur les chemises de ville, moins 15 % sur les chemises à manches longues pour homme",,-2,0
MenShoes_Atct_1,Soldes sur les chaussures,"Soldes sur les chaussures pour homme, pour 2 paires achetées, la troisième gratuite",,-2,0
MenShoes_Atct_2,Ceintures en cuir,"Ceintures en cuir, moins 20 % sur toute la collection",,-2,0
MenSuits_Atct_1,Plein feu sur les costumes,"Soldes sur les costumes, moins 20 % sur les costumes pour homme",,-2,0
MenSuits_Atct_2,Cravate en soie,"Soldes sur les cravates en soie, à moins 50 % pour l'achat d'un costume",,-2,0
MenRow1_Content,Plein feu sur les costumes,"Plein feu sur les costumes, moins 20 % sur les costumes pour homme",,-2,0
WAcc_Atct_1,Ceintures en cuir,"Ceintures en cuir, moins 20 % sur toute la collection",,-2,0
WAcc_Atct_2,Sac à main idéal,"Sac à main idéal, moins 25 % sur tous les styles",,-2,0
WHB_Atct_1,Sac à main idéal,"Sac à main de rêve, moins 25 % sur le sac à main idéal",,-2,0
WHB_Atct_2,Lunettes de soleil,"Lunettes de soleil de créateur, moins 35 % sur les styles plébiscités cette saison",,-2,0
WPants_Atct_1,Jeans,"Jeans de style classique, moins 20 % sur votre paire préférée",,-2,0
WPants_Atct_2,Ceintures en cuir,"Ceintures en cuir, moins 20 % sur toute la collection",,-2,0
WSB_Atct_1,Jeans,"Jeans de style classique, moins 20 % sur votre paire préférée",,-2,0
WSB_Atct_2,Chemisiers et corsages,"Chemisiers et corsages, moins 25 % sur toute la collection",,-2,0
WSh_Atct_1,Reine d'un soir,"Reine d'un soir, moins 15 % sur les robes de soirée",,-2,0
WSh_Atct_2,Soldes sur les chaussures,"Soldes sur les chaussures pour femme, pour 2 paires achetées, la troisième gratuite",,-2,0
WSk_Atct_1,Jeans,"Jeans de style classique, moins 20 % sur votre paire préférée",,-2,0
