AttachmentDescription
identifier,name,shortDescription,longDescription,languageId,delete
HeaderStoreLogo,Logotipo da loja,AuroraStorefrontAssetStore,,-6,0
EmailBanner,Banner de E-mail,Banner de E-mail,,-6,0
EmailBottom_Content,Logotipo de Promoção do Armazenamento de Emails,Logotipo de Promoção do Armazenamento de Emails,,-6,0
WomenLandingPage_Atct_brand1,Brand1,Exibir uma marca,,-6,0
WomenLandingPage_Atct_brand2,brand2,Exibir uma marca,,-6,0
WomenLandingPage_Atct_brand3,brand3,Exibir uma marca,,-6,0
WomenLandingPage_Atct_brand4,brand4,Exibir uma marca,,-6,0
WomenLandingPage_Atct_brand5,brand5,Exibir uma marca,,-6,0
HeaderESpot15OffPurchaseAd,15% de Desconto,Ganhe 15% de Desconto na Compra Inteira,,-6,0
HeaderESpotFreeShippingSpecial,Entrega Grátis,Frete Grátis nas ordens acima de $100,,-6,0
BoysPants_Atct_1,Suéteres Confortáveis,"Suéteres Confortáveis Compre um e ganhe 25% de desconto no segundo ",,-6,0
BoysPants_Atct_2,Confortáveis,Jeans para meninos com 35% de desconto em todos os estilos,,-6,0
BoysShoes_Atct_1,Blusas,Ofertas em camisetas 25% de desconto em camisetas para meninos,,-6,0
BoysShoes_Atct_2,Venda de Sapatos,"Promoção de sapatos para meninos Compre 2 pares e ganhe o terceiro",,-6,0
BoysTops_Atct_1,Suéteres Confortáveis,"Suéteres Confortáveis Compre um e ganhe 25% de desconto no segundo ",,-6,0
BoysTops_Atct_2,Confortáveis,Jeans para meninos com 35% de desconto em todos os estilos,,-6,0
BoysRow1_Content,Venda para Meninos,Promoção de camisetas modernas Economize 30% nas camisetas para meninos,,-6,0
GirlsDS_Atct_1,Venda de Vestidos,Promoção de vestidos 30% de desconto em vestidos infantis,,-6,0
GirlsDS_Atct_2,Venda de Sapatos,"Promoção de sapatos para meninas Compre 2 pares e ganhe o terceiro",,-6,0
GirlsPants_Atct_1,Denim,Jeans em oferta 35% de desconto em jeans para meninas,,-6,0
GirlsPants_Atct_2,Liquidação de Verão,Liquidação de verão Economize 50% em saias e vestidos de verão infantis,,-6,0
GirlsShoes_Atct_1,Venda de Sapatos,"Promoção de sapatos para meninas Compre 2 pares e ganhe o terceiro",,-6,0
GirlsShoes_Atct_2,Venda de Sapatos ,"Promoção de sapatos para meninas Compre 2 pares e ganhe o terceiro",,-6,0
GirlsTops_Atct_1,Camisetas Tops,Camisetas e blusinhas 30% de desconto em camisetas e blusinhas para meninas,,-6,0
GirlsTops_Atct_2,Suéteres Quentes,Suéteres Quentes,,-6,0
MenAcc_Atct_1,Gravata de Seda,Venda de Gravatas de Seda 50% de desconto com a compra de um terno,,-6,0
MenAcc_Atct_2,Terno,Promoção de ternos 20% de desconto em ternos masculinos,,-6,0
MenJackets_Atct_1,Couro Moderno,Couro moderno 20% de desconto em jaquetas de couro masculinas,,-6,0
MenJackets_Atct_2,Caxemira Luxuosa,Luxo em caxemira 15% de desconto em casacos masculinos em mescla de caxemira,,-6,0
