AttachmentDescription
identifier,name,shortDescription,longDescription,languageId,delete
HeaderStoreLogo,商店徽标,AuroraStorefrontAssetStore,,-7,0
EmailBanner,电子邮件条幅,电子邮件条幅,,-7,0
EmailBottom_Content,电子邮件商店促销徽标,电子邮件商店促销徽标,,-7,0
WomenLandingPage_Atct_brand1,Brand1,显示品牌,,-7,0
WomenLandingPage_Atct_brand2,brand2,显示品牌,,-7,0
WomenLandingPage_Atct_brand3,brand3,显示品牌,,-7,0
WomenLandingPage_Atct_brand4,brand4,显示品牌,,-7,0
WomenLandingPage_Atct_brand5,brand5,显示品牌,,-7,0
HeaderESpot15OffPurchaseAd,15% 购物折扣,购物总额享 15% 折扣,,-7,0
HeaderESpotFreeShippingSpecial,免费送货,订单超过 100 美元免运费,,-7,0
BoysPants_Atct_1,舒适毛衣,"购买 1 件舒适毛衣后，第 2 件享受 25% 的折扣 ",,-7,0
BoysPants_Atct_2,牛仔裤,男孩牛仔裤所有款式 35% 折扣,,-7,0
BoysShoes_Atct_1,上装,上装优惠 - 男孩上装 25% 折扣,,-7,0
BoysShoes_Atct_2,鞋子促销,"男孩鞋子促销 - 购买 2 双，第 3 双免费",,-7,0
BoysTops_Atct_1,舒适毛衣,"购买 1 件舒适毛衣后，第 2 件享受 25% 的折扣 ",,-7,0
BoysTops_Atct_2,牛仔裤,男孩牛仔裤所有款式 35% 折扣,,-7,0
BoysRow1_Content,男孩服饰促销,帅气上装促销 - 男孩上装 30% 折扣,,-7,0
GirlsDS_Atct_1,礼服促销,礼服促销正在进行 - 女孩礼服 30% 折扣,,-7,0
GirlsDS_Atct_2,鞋子促销,"女鞋促销 - 购买 2 双，第 3 双免费",,-7,0
GirlsPants_Atct_1,牛仔,牛仔服促销 - 女孩牛仔裤 35% 折扣,,-7,0
GirlsPants_Atct_2,夏季大减价,夏季大减价 - 女孩夏季衬衫和礼服 50% 折扣,,-7,0
GirlsShoes_Atct_1,鞋子促销,"女鞋促销 - 购买 2 双，第 3 双免费",,-7,0
GirlsShoes_Atct_2,鞋子促销 ,"女鞋促销 - 购买 2 双，第 3 双免费",,-7,0
GirlsTops_Atct_1,T 恤上装,T 恤上装 - 女孩 T 恤和上装 30% 折扣,,-7,0
GirlsTops_Atct_2,舒适毛衣,舒适毛衣,,-7,0
MenAcc_Atct_1,丝绸领带,丝绸领带与西装一起购买可享受 50% 折扣,,-7,0
MenAcc_Atct_2,西装,西装促销 - 男士西装 20% 折扣,,-7,0
MenJackets_Atct_1,帅气皮衣,帅气皮衣 - 男士皮夹克 20% 折扣,,-7,0
MenJackets_Atct_2,奢华羊绒,奢华羊绒 - 男士羊绒混纺外套 15% 折扣,,-7,0
MenPants_Atct_1,牛仔裤,舒适牛仔裤 - 男士休闲牛仔裤 15% 折扣,,-7,0
MenPants_Atct_2,鞋子促销,"男鞋促销 - 购买 2 双，第 3 双免费",,-7,0
MenShirts_Atct_1,基本款 T 恤,"基本款 T 恤促销 - 购买 2 件，第 3 件免费",,-7,0
