MarketingElement
activityName,elementName,parentElementName,sequence,elementTemplateId,priority,triggerName,allUsers,field1,field2,field3,field4,delete
Shopping cart featured products,0,,,6,,,,,,,,0
Shopping cart featured products,1,0,1000.0,105,,DisplayEms,1,,,,,0
Shopping cart featured products,2,0,2000.0,303,,,,,,,,0
Wish list featured products,0,,,6,,,,,,,,0
Wish list featured products,1,0,1000.0,105,,DisplayEms,1,,,,,0
Wish list featured products,2,0,2000.0,303,,,,,,,,0
HomeRow2_Categories,0,,,6,,,,,,,,0
HomeRow2_Categories,1,0,1000.0,105,,DisplayEms,1,,,,,0
HomeRow2_Categories,2,0,2000.0,302,,,,,,,,0
B2BHomePageFeaturedCategories,0,,,6,,,,,,,,0
B2BHomePageFeaturedCategories,1,0,1000.0,105,,DisplayEms,1,,,,,0
B2BHomePageFeaturedCategories,2,0,2000.0,302,,,,,,,,0
B2BHomePageFeaturedProducts,0,,,6,,,,,,,,0
B2BHomePageFeaturedProducts,1,0,1000.0,105,,DisplayEms,1,,,,,0
B2BHomePageFeaturedProducts,2,0,2000.0,303,,,,,,,,0
SeachLandingClearance,p20,,0.0,6,,,,,,,,0
SeachLandingClearance,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
SeachLandingClearance,p22,p20,2000.0,303,,,,,,,,0
SearchLandingWomenRow3_CatEntries,p20,,0.0,6,,,,,,,,0
SearchLandingWomenRow3_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
SearchLandingWomenRow3_CatEntries,p22,p20,3000.0,303,,,,,,,,0
SearchLandingWomenRow4_CatEntries,p20,,0.0,6,,,,,,,,0
SearchLandingWomenRow4_CatEntries,p21,p20,1000.0,105,,DisplayEms,1,,,,,0
SearchLandingWomenRow4_CatEntries,p22,p20,3000.0,303,,,,,,,,0
SearchLandingWomen_BrandEspots,0,,,6,,,,,,,,0
SearchLandingWomen_BrandEspots,1,0,1000.0,105,,DisplayEms,1,,,,,0
SearchLandingWomen_BrandEspots,2,0,2000.0,301,,,,,,,,0
