MarketingContentAttachmentDescription
contentName,attachmentIdentifier,usageName,relationName,relationShortDescription,relationLongDescription,languageId,delete
WomenLandingPage_Atct_brand1,WomenLandingPage_Atct_brand1,NOUSAGE,Brand1,Afişaţi o marcă,,-21,0
WomenLandingPage_Atct_brand2,WomenLandingPage_Atct_brand2,NOUSAGE,brand2,Afişaţi o marcă,,-21,0
WomenLandingPage_Atct_brand3,WomenLandingPage_Atct_brand3,NOUSAGE,brand3,Afişaţi o marcă,,-21,0
WomenLandingPage_Atct_brand4,WomenLandingPage_Atct_brand4,NOUSAGE,brand4,Afişaţi o marcă,,-21,0
WomenLandingPage_Atct_brand5,WomenLandingPage_Atct_brand5,NOUSAGE,brand5,Afişaţi o marcă,,-21,0
HeaderESpot15OffPurchaseAd,HeaderESpot15OffPurchaseAd,NOUSAGE,15% reducere la cumpărătură,Economisiţi 15% pentru întreaga cumpărătură,,-21,0
HeaderESpotFreeShippingSpecial,HeaderESpotFreeShippingSpecial,NOUSAGE,Livrare gratuită,Livrare gratuită,,-21,0
BoysPants_Atct_1,BoysPants_Atct_1,NOUSAGE,Pulovere confortabile,Pulovere confortabile,,-21,0
BoysPants_Atct_2,BoysPants_Atct_2,NOUSAGE,Blugi,Blugi,,-21,0
BoysShoes_Atct_1,BoysShoes_Atct_1,NOUSAGE,Bluze,Bluze,,-21,0
BoysShoes_Atct_2,BoysShoes_Atct_2,NOUSAGE,Reduceri pantofi,Reduceri pantofi,,-21,0
BoysTops_Atct_1,BoysTops_Atct_1,NOUSAGE,Pulovere confortabile,Pulovere confortabile,,-21,0
BoysTops_Atct_2,BoysTops_Atct_2,NOUSAGE,Blugi,Blugi,,-21,0
BoysRow1_Content,BoysRow1_Content,NOUSAGE,Reducere băieţi,Reducere băieţi,,-21,0
GirlsDS_Atct_1,GirlsDS_Atct_1,NOUSAGE,Reducere rochii,Reducere rochii,,-21,0
GirlsDS_Atct_2,GirlsDS_Atct_2,NOUSAGE,Reduceri pantofi,Reduceri pantofi,,-21,0
GirlsPants_Atct_1,GirlsPants_Atct_1,NOUSAGE,Denim,Denim,,-21,0
GirlsPants_Atct_2,GirlsPants_Atct_2,NOUSAGE,Reducere de vară,Reducere de vară,,-21,0
GirlsShoes_Atct_1,GirlsShoes_Atct_1,NOUSAGE,Reducere încălţăminte 1,Reducere încălţăminte 1,,-21,0
GirlsShoes_Atct_2,GirlsShoes_Atct_2,NOUSAGE,Reduceri pantofi ,Reduceri pantofi ,,-21,0
GirlsTops_Atct_1,GirlsTops_Atct_1,NOUSAGE,Topuri,Topuri,,-21,0
GirlsTops_Atct_2,GirlsTops_Atct_2,NOUSAGE,Pulovere,Pulovere,,-21,0
MenAcc_Atct_1,MenAcc_Atct_1,NOUSAGE,Cravată de mătase,Cravată de mătase,,-21,0
MenAcc_Atct_2,MenAcc_Atct_2,NOUSAGE,Costume,Costume,,-21,0
MenJackets_Atct_1,MenJackets_Atct_1,NOUSAGE,Piele cool,Piele cool,,-21,0
MenJackets_Atct_2,MenJackets_Atct_2,NOUSAGE,Caşmir luxurios,Caşmir luxurios,,-21,0
MenPants_Atct_1,MenPants_Atct_1,NOUSAGE,Blugi,Blugi,,-21,0
MenPants_Atct_2,MenPants_Atct_2,NOUSAGE,Reduceri pantofi,Reduceri pantofi,,-21,0
MenShirts_Atct_1,MenShirts_Atct_1,NOUSAGE,Cămăşi normale,Cămăşi normale,,-21,0
MenShirts_Atct_2,MenShirts_Atct_2,NOUSAGE,Cămaşă costum,Cămaşă costum,,-21,0
MenShoes_Atct_1,MenShoes_Atct_1,NOUSAGE,Reduceri pantofi,Reduceri pantofi,,-21,0
MenShoes_Atct_2,MenShoes_Atct_2,NOUSAGE,Curele de piele,Curele de piele,,-21,0
MenSuits_Atct_1,MenSuits_Atct_1,NOUSAGE,Costume,Costume,,-21,0
MenSuits_Atct_2,MenSuits_Atct_2,NOUSAGE,Cravată de mătase,Cravată de mătase,,-21,0
MenRow1_Content,MenRow1_Content,NOUSAGE,Costume,Costume,,-21,0
WAcc_Atct_1,WAcc_Atct_1,NOUSAGE,Curele de piele,Curele de piele,,-21,0
WAcc_Atct_2,WAcc_Atct_2,NOUSAGE,Geanta de mână perfectă,Geanta de mână perfectă,,-21,0
WHB_Atct_1,WHB_Atct_1,NOUSAGE,Geanta de mână perfectă,Geanta de mână perfectă,,-21,0
WHB_Atct_2,WHB_Atct_2,NOUSAGE,Ochelari de soare,Ochelari de soare,,-21,0
WPants_Atct_1,WPants_Atct_1,NOUSAGE,Blugi,Blugi,,-21,0
WPants_Atct_2,WPants_Atct_2,NOUSAGE,Curele de piele,Curele de piele,,-21,0
WSB_Atct_1,WSB_Atct_1,NOUSAGE,Blugi,Blugi,,-21,0
WSB_Atct_2,WSB_Atct_2,NOUSAGE,Cămăşi şi bluze,Cămăşi şi bluze,,-21,0
WSh_Atct_1,WSh_Atct_1,NOUSAGE,Strălucire de seară,Strălucire de seară,,-21,0
WSh_Atct_2,WSh_Atct_2,NOUSAGE,Reduceri pantofi,Reduceri pantofi,,-21,0
WSk_Atct_1,WSk_Atct_1,NOUSAGE,Blugi,Blugi,,-21,0
WSk_Atct_2,WSk_Atct_2,NOUSAGE,Reducere de vară,Reducere de vară,,-21,0
WSw_Atct_1,WSw_Atct_1,NOUSAGE,Strălucire de seară,Îmbrăcăminte strălucitoare de seară Reducere 15% la rochiile de seară pentru femei ,,-21,0
WSw_Atct_2,WSw_Atct_2,NOUSAGE,Pulovere confortabile,"Pulovere confortabile Cumperi unu, îl primeşti pe al doilea la 25% reducere",,-21,0
Accessories_Atct_1,Accessories_Atct_1,NOUSAGE,Crystal Clear,Crystal Clear,,-21,0
Accessories_Atct_2,Accessories_Atct_2,NOUSAGE,Economisiţi la accesorii,Economisiţi la accesorii,,-21,0
Appliances_Atct_1,Appliances_Atct_1,NOUSAGE,Perfect în orice moment,Perfect în orice moment,,-21,0
Appliances_Atct_2,Appliances_Atct_2,NOUSAGE,Economii mari la bucătărie,Economii mari la bucătărie,,-21,0
BathAcc_Atct_1,BathAcc_Atct_1,NOUSAGE,Prosoape de bumbac,Prosoape de bumbac,,-21,0
BathAcc_Atct_2,BathAcc_Atct_2,NOUSAGE,Accesorii baie,Accesorii baie,,-21,0
Components_Atct_1,Components_Atct_1,NOUSAGE,Desktop-uri personalizate,Desktop-uri personalizate,,-21,0
Components_Atct_2,Components_Atct_2,NOUSAGE,Laptop-uri personalizate,Laptop-uri personalizate,,-21,0
Desktops_Atct_1,Desktops_Atct_1,NOUSAGE,Desktop personalizat,Desktop personalizat,,-21,0
Desktops_Atct_2,Desktops_Atct_2,NOUSAGE,Economisiţi la imprimante,Economisiţi la imprimante,,-21,0
Dairy_Atct_1,Dairy_Atct_1,NOUSAGE,Camembert cremos,Camembert cremos,,-21,0
Dairy_Atct_2,Dairy_Atct_2,NOUSAGE,Lapte răcoritor,Lapte răcoritor,,-21,0
DesktopsAndLaptops,DesktopsAndLaptops,NOUSAGE,Desktop-uri şi laptop-uri,Desktop-uri şi laptop-uri,,-21,0
GetReadyForSchool,GetReadyForSchool,NOUSAGE,Fiţi gata pentru şcoală,Fiţi gata pentru şcoală,,-21,0
PowerOnTheGo,PowerOnTheGo,NOUSAGE,Power On The Go,Power On The Go,,-21,0
Fruits_Atct_1,Fruits_Atct_1,NOUSAGE,Roşu şi delicios,Roşu şi delicios,,-21,0
Fruits_Atct_2,Fruits_Atct_2,NOUSAGE,Fructe de pădure savuroase,Fructe de pădure savuroase,,-21,0
Furniture_Atct_1,Furniture_Atct_1,NOUSAGE,Mobilă de dormitor,Mobilă de dormitor,,-21,0
Furniture_Atct_2,Furniture_Atct_2,NOUSAGE,Economisiţi la lămpi,Economisiţi la lămpi,,-21,0
FreeDelivery,FreeDelivery,NOUSAGE,Livrare gratuită,Livrare gratuită,,-21,0
AtlanticLobster,AtlanticLobster,NOUSAGE,Homar de Atlantic,Homar de Atlantic,,-21,0
CrispRomaine,CrispRomaine,NOUSAGE,Lăptucă creaţă,Lăptucă creaţă,,-21,0
FreeConsultation,FreeConsultation,NOUSAGE,Consultaţie gratis,Consultaţie gratis,,-21,0
NaturalVitamins,NaturalVitamins,NOUSAGE,Vitamine naturale,Vitamine naturale,,-21,0
AutomaticRefills,AutomaticRefills,NOUSAGE,Reumpleri automate,Reumpleri automate,,-21,0
LivingRoomSale,LivingRoomSale,NOUSAGE,Solduri la canapele,Solduri la canapele,,-21,0
PerfectEveryTime,PerfectEveryTime,NOUSAGE,Perfect în orice moment,Perfect în orice moment,,-21,0
SaveOnLighting,SaveOnLighting,NOUSAGE,Economisiţi la lămpi,Economisiţi la lămpi,,-21,0
Kitchenware_Atct_1,Kitchenware_Atct_1,NOUSAGE,Vase inox,Vase inox,,-21,0
Kitchenware_Atct_2,Kitchenware_Atct_2,NOUSAGE,Economii mari la bucătărie,Economii mari la bucătărie,,-21,0
Laptops_Atct_1,Laptops_Atct_1,NOUSAGE,Laptop-uri personalizate,Laptop-uri personalizate,,-21,0
Laptops_Atct_2,Laptops_Atct_2,NOUSAGE,Economisiţi la accesorii,Economisiţi la accesorii,,-21,0
Lighting_Atct_1,Lighting_Atct_1,NOUSAGE,Economisiţi la lămpi,Economisiţi la lămpi,,-21,0
Lighting_Atct_2,Lighting_Atct_2,NOUSAGE,Modernizaţi-vă camera de zi,Modernizaţi-vă camera de zi,,-21,0
Magazines_Atct_1,Magazines_Atct_1,NOUSAGE,Revista Photoritz,Revista Photoritz,,-21,0
Magazines_Atct_2,Magazines_Atct_2,NOUSAGE,Revista SocietyTime,Revista SocietyTime,,-21,0
Meat_Atct_1,Meat_Atct_1,NOUSAGE,La grătar glazurat cu miere,La grătar glazurat cu miere,,-21,0
Meat_Atct_2,Meat_Atct_2,NOUSAGE,Somon Sashimi,Somon Sashimi,,-21,0
Medicines_Atct_1,Medicines_Atct_1,NOUSAGE,Reumpleri automate,Reumpleri automate,,-21,0
Medicines_Atct_2,Medicines_Atct_2,NOUSAGE,Toate vitaminele naturale,Toate vitaminele naturale,,-21,0
SubscribeAndSave,SubscribeAndSave,NOUSAGE,Abonaţi-vă şi economisiţi,Abonaţi-vă şi economisiţi,,-21,0
SubscribeToNewsletters,SubscribeToNewsletters,NOUSAGE,Abonaţi-vă laq articole de ştiri,Abonaţi-vă laq articole de ştiri,,-21,0
SubscribeToMagazines,SubscribeToMagazines,NOUSAGE,Revista Econo Sense,Revista Econo Sense,,-21,0
Newsletters_Atct_1,Newsletters_Atct_1,NOUSAGE,Abonaţi-vă la articole de ştiri,Abonaţi-vă la articole de ştiri,,-21,0
Newsletters_Atct_2,Newsletters_Atct_2,NOUSAGE,Revista Delish,Revista Delish,,-21,0
Tablets_Atct_1,Tablets_Atct_1,NOUSAGE,Power on the Go,Power on the Go,,-21,0
Tablets_Atct_2,Tablets_Atct_2,NOUSAGE,Fiţi gata pentru şcoală,Fiţi gata pentru şcoală,,-21,0
Tableware_Atct_1,Tableware_Atct_1,NOUSAGE,"Diferit, dar asortat","Diferit, dar asortat",,-21,0
