MarketingSpotDefaultTitle
spotName,usageType,contentName,sequence,delete
WishListCenter_CatEntries,MARKETING,RecommendedCatEntries,0.0,0
ShoppingCartRight_CatEntries,MARKETING,RecommendedCatEntries,0.0,0
HomeRow2_Categories,MARKETING,HomePageESpotTitle,0.0,0
B2BHomePageFeaturedCategories,MARKETING,B2BHomePageESpotCategoryTitle,0.0,0
B2BHomePageFeaturedProducts,MARKETING,B2BHomePageESpotCatalogEntryTitle,0.0,0
SearchLandingWomenRow3_CatEntries,MARKETING,WomenLandingSunglasses,0.0,0
SearchLandingWomenRow4_CatEntries,MARKETING,WomenLandingHats,0.0,0
FastenersRow3_Categories,MARKETING,FastenersESpotCategoryTitle,0.0,0
FastenersRow4_CatEntries,MARKETING,FastenersESpotCatEntriesTitle,0.0,0
MenRow4_CatEntries,MARKETING,ApparelESpotDefaultTitle,0.0,0
BoysRow4_CatEntries,MARKETING,ApparelESpotDefaultTitle,0.0,0
GirlsRow4_CatEntries,MARKETING,ApparelESpotDefaultTitle,0.0,0
ElectronicsRow4_CatEntries,MARKETING,ApparelESpotDefaultTitle,0.0,0
NewslettersAndMagazinesRow4_CatEntries,MARKETING,ApparelESpotDefaultTitle,0.0,0
HomeFurnishingsRow4_CatEntries,MARKETING,ApparelESpotDefaultTitle,0.0,0
GroceryRow4_CatEntries,MARKETING,ApparelESpotDefaultTitle,0.0,0
HealthRow4_CatEntries,MARKETING,ApparelESpotDefaultTitle,0.0,0
BoysRow3_Categories,MARKETING,ApparelESpotCategoryTitle,0.0,0
GirlsRow3_Categories,MARKETING,ApparelESpotCategoryTitle,0.0,0
MenRow3_Categories,MARKETING,ApparelESpotCategoryTitle,0.0,0
ApparelRow3_Categories,MARKETING,ApparelESpotCategoryTitle,0.0,0
WomenRow3_Categories,MARKETING,WomenESpotCategoryTitle,0.0,0
ApparelRow4_CatEntries,MARKETING,ApparelESpotDefaultTitle,0.0,0
WomenRow4_CatEntries,MARKETING,ApparelESpotDefaultTitle,0.0,0
ElectronicsRow3_Categories,MARKETING,ApparelESpotCategoryTitle,0.0,0
GroceryRow3_Categories,MARKETING,ApparelESpotCategoryTitle,0.0,0
HealthRow3_Categories,MARKETING,ApparelESpotCategoryTitle,0.0,0
HomeFurnishingsRow3_Categories,MARKETING,ApparelESpotCategoryTitle,0.0,0
NewslettersAndMagazinesRow3_Categories,MARKETING,ApparelESpotCategoryTitle,0.0,0
HardwareRow3_Categories,MARKETING,HardwareESpotCategoryTitle,0.0,0
HardwareRow4_CatEntries,MARKETING,HardwareESpotCatalogEntryTitle,0.0,0
ScrewsProductRec_CatEntries,MARKETING,RecommendedCatEntries,0.0,0
NutsProductRec_CatEntries,MARKETING,RecommendedCatEntries,0.0,0
BoltsProductRec_CatEntries,MARKETING,RecommendedCatEntries,0.0,0
