LayoutWidget
LayoutName,AdminName,ChildWidgetDefIdentifier,ChildWidgetAdminName,WidgetSequence,SlotID
HomePageLayout,HomePageContainer,EMarketingSpot_801,HeaderLeftBannerContentWidget,0,1
HomePageLayout,HomePageContainer,EMarketingSpot_801,HeaderRightBannerContentWidget,0,2
HomePageLayout,HomePageContainer,ContentCarousel_801,HomePageMainESpot,0,3
HomePageLayout,HomePageContainer,EMarketingSpot_801,CategoryRecommendationWidget,0,4
HomePageLayout,HomePageContainer,ContentRecommendation_801,HomePageCenterAdWidget1,1,4
HomePageLayout,HomePageContainer,ContentRecommendation_801,HomePageCenterAdWidget2,2,4
HomePageLayout,HomePageContainer,ContentRecommendation_801,HomePageBottomLeftWidget,0,6
HomePageLayout,HomePageContainer,ContentRecommendation_801,HomePageBottomCenterWidget,0,7
HomePageLayout,HomePageContainer,ContentRecommendation_801,HomePageBottomRightWidget,0,8
HomePageHardwareLayout,HomePageContainer,EMarketingSpot_801,HeaderLeftBannerContentWidget,0,1
HomePageHardwareLayout,HomePageContainer,EMarketingSpot_801,HeaderRightBannerContentWidget,0,2
HomePageHardwareLayout,HomePageContainer,EMarketingSpot_801,HomePageMainESpot,0,3
HomePageHardwareLayout,HomePageContainer,ContentRecommendation_801,HomePageBottomLeftWidget,0,6
HomePageHardwareLayout,HomePageContainer,ContentRecommendation_801,HomePageBottomCenterWidget,0,7
HomePageHardwareLayout,HomePageContainer,ContentRecommendation_801,HomePageBottomRightWidget,0,8
HomePageHardwareLayout,HomePageContainer,EMarketingSpot_801,CategoryRecommendationWidget,0,9
HomePageHardwareLayout,HomePageContainer,EMarketingSpot_801,CatalogEntryRecommendationWidget,1,9
DepartmentPageLayout,DepartmentPageContainer,BreadcrumbTrail_801,BreadcrumbTrailWidget,0,1
DepartmentPageLayout,DepartmentPageContainer,EMarketingSpot_801,HeaderLeftBannerContentWidget,0,2
DepartmentPageLayout,DepartmentPageContainer,EMarketingSpot_801,HeaderRightBannerContentWidget,0,3
DepartmentPageLayout,DepartmentPageContainer,CategoryNavigation_801,CategoryNavigationWidget,0,5
DepartmentPageLayout,DepartmentPageContainer,FacetNavigation_801,FacetNavigationWidget,1,5
DepartmentPageLayout,DepartmentPageContainer,Heading_801,HeadingWidget,0,4
DepartmentPageLayout,DepartmentPageContainer,EMarketingSpot_801,HeroImageWidget,1,4
DepartmentPageLayout,DepartmentPageContainer,EMarketingSpot_801,PromotionAdWidget,0,6
DepartmentPageLayout,DepartmentPageContainer,EMarketingSpot_801,SaleAdWidget,0,7
DepartmentPageLayout,DepartmentPageContainer,EMarketingSpot_801,CategoryRecommendationWidget,0,8
DepartmentPageLayout,DepartmentPageContainer,EMarketingSpot_801,CatalogEntryWidget,1,8
DepartmentPageLayout,DepartmentPageContainer,CatalogEntryList_801,CatalogEntryListWidget,5,8
SubCategoryPageLayout,SubCategoryPageContainer,BreadcrumbTrail_801,BreadcrumbTrailWidget,0,1
SubCategoryPageLayout,SubCategoryPageContainer,EMarketingSpot_801,HeaderLeftBannerContentWidget,0,2
SubCategoryPageLayout,SubCategoryPageContainer,EMarketingSpot_801,HeaderRightBannerContentWidget,0,3
SubCategoryPageLayout,SubCategoryPageContainer,CategoryNavigation_801,CategoryNavigationWidget,0,5
SubCategoryPageLayout,SubCategoryPageContainer,Heading_801,HeadingWidget,0,4
SubCategoryPageLayout,SubCategoryPageContainer,EMarketingSpot_801,HeroImageWidget,1,4
SubCategoryPageLayout,SubCategoryPageContainer,EMarketingSpot_801,CategoryRecommendationWidget,2,6
SubCategoryPageLayout,SubCategoryPageContainer,EMarketingSpot_801,CatalogEntryWidget,3,6
SearchLandingPageLayout,SearchLandingPageContainer,EMarketingSpot_801,HeaderLeftBannerContentWidget,0,1
SearchLandingPageLayout,SearchLandingPageContainer,EMarketingSpot_801,HeaderRightBannerContentWidget,0,2
SearchLandingPageLayout,SearchLandingPageContainer,ContentRecommendation_801,ContentWidgetStyles,0,3
SearchLandingPageLayout,SearchLandingPageContainer,ContentRecommendation_801,HeroVideoWidget,0,4
SearchLandingPageLayout,SearchLandingPageContainer,ContentRecommendation_801,TextContentWidget2,1,4
SearchLandingPageLayout,SearchLandingPageContainer,ContentRecommendation_801,ContentRecommendationWidget,2,4
SearchLandingPageLayout,SearchLandingPageContainer,ContentRecommendation_801,TextContentWidget,0,5
SearchLandingPageLayout,SearchLandingPageContainer,CatalogEntryRecommendation_801,CatEntry1RecommendationWidget,1,5
SearchLandingPageLayout,SearchLandingPageContainer,CatalogEntryRecommendation_801,CatEntry2RecommendationWidget,2,5
StaticContentLayout,StaticContentContainer,BreadcrumbTrail_801,BreadcrumbTrailWidget,0,1
StaticContentLayout,StaticContentContainer,EMarketingSpot_801,HeaderLeftBannerContentWidget,0,2
StaticContentLayout,StaticContentContainer,EMarketingSpot_801,HeaderRightBannerContentWidget,0,3
StaticContentLayout,StaticContentContainer,EMarketingSpot_801,ContentRecommendationWidget,0,4
StaticContentLayout,StaticContentContainer,EMarketingSpot_801,CatalogEntryRecommendationWidget,0,5
CategoryPageLayout,SubCategoryPageContainer,BreadcrumbTrail_801,BreadcrumbTrailWidget,0,1
CategoryPageLayout,SubCategoryPageContainer,EMarketingSpot_801,HeaderLeftBannerContentWidget,0,2
