CatalogGroupSEO
GroupIdentifier,LanguageId
Apparel,-6
Appliances,-6
Bath Accessories,-6
Bolts,-6
Boys,-6
Boys Pants,-6
Boys Shoes,-6
Boys Tops,-6
Computers Accessories,-6
Computers Components,-6
Computers Desktops,-6
Computers Laptops,-6
Computers Tablets,-6
Dairy,-6
Dresses,-6
Electronics,-6
Fasteners,-6
Fruit,-6
Furniture,-6
Girls,-6
Girls Dresses Skirts,-6
Girls Pants,-6
Girls Shoes,-6
Girls Tops,-6
Grocery,-6
Hardware,-6
Hardware Lighting,-6
Health,-6
Home Furnishings,-6
Kitchenware,-6
Lighting,-6
Magazines,-6
Meat,-6
Medicine,-6
Men,-6
Men Accessories,-6
Men Jackets,-6
Men Pants,-6
Men Shirts,-6
Men Shoes,-6
Men Suits,-6
Newsletters,-6
NewslettersAndMagazines,-6
Nuts,-6
Screws,-6
Tableware,-6
Vegetables,-6
Vitamins,-6
Women,-6
Women Accessories,-6
Women Handbags,-6
Women Pants,-6
Women Shirts Blouses,-6
Women Shoes,-6
Women Skirts,-6
Women Sweaters,-6
