DOMInventory,,,,,,,,,,
PartNumber,OnlineStoreIdentifier,PhysicalStoreIdentifier,InventoryStatus,AvailableQuantity,AvailableQuantityUOM,AvailabilityTime,AvailabilityOffset,LastUpdate,ContextStoreIdentifier,Delete
AuroraWMDRS-001,,,AVL,1400,C62,,,,,
AuroraWMDRS-002,,,AVL,2800,C62,,,,,
AuroraWMDRS-003,,,AVL,2800,C62,,,,,
AuroraWMDRS-004,,,AVL,1300,C62,,,,,
AuroraWMDRS-005,,,AVL,1900,C62,,,,,
AuroraWMDRS-006,,,AVL,2400,C62,,,,,
AuroraWMDRS-007,,,AVL,3000,C62,,,,,
AuroraWMDRS-008,,,AVL,1100,C62,,,,,
AuroraWMDRS-009,,,AVL,2900,C62,,,,,
AuroraWMDRS-010,,,AVL,1000,C62,,,,,
AuroraWMDRS-011,,,AVL,1800,C62,,,,,
AuroraWMDRS-012,,,AVL,2200,C62,,,,,
AuroraWMDRS-013,,,AVL,2800,C62,,,,,
AuroraWMDRS-014,,,AVL,1600,C62,,,,,
AuroraWMDRS-015,,,AVL,1800,C62,,,,,
AuroraWMDRS-016,,,AVL,2100,C62,,,,,
AuroraWMDRS-017,,,AVL,2300,C62,,,,,
AuroraWMDRS-018,,,AVL,1900,C62,,,,,
AuroraWMDRS-019,,,AVL,2600,C62,,,,,
AuroraWMDRS-020,,,AVL,2500,C62,,,,,
AuroraWMDRS-021,,,AVL,2200,C62,,,,,
AuroraWMDRS-022,,,AVL,1000,C62,,,,,
AuroraWMDRS-023,,,AVL,1200,C62,,,,,
AuroraWMDRS-024,,,AVL,1600,C62,,,,,
AuroraWMDRS-025,,,AVL,2600,C62,,,,,
AuroraWMDRS-026,,,AVL,2600,C62,,,,,
AuroraWMDRS-027,,,AVL,1000,C62,,,,,
AuroraWMDRS-028,,,AVL,2400,C62,,,,,
AuroraWMDRS-029,,,AVL,1800,C62,,,,,
AuroraWMDRS-030,,,AVL,1300,C62,,,,,
AuroraWMDRS-031,,,AVL,2500,C62,,,,,
AuroraWMDRS-032,,,AVL,1300,C62,,,,,
AuroraWMDRS-033,,,AVL,1600,C62,,,,,
AuroraWMDRS-034,,,AVL,2200,C62,,,,,
AuroraWMDRS-035,,,AVL,1100,C62,,,,,
AuroraWMDRS-036,,,AVL,2300,C62,,,,,
AuroraWMDRS-037,,,AVL,2200,C62,,,,,
AuroraWMDRS-038,,,AVL,1600,C62,,,,,
AuroraWMDRS-039,,,AVL,2600,C62,,,,,
AuroraWMDRS-040,,,AVL,1300,C62,,,,,
AuroraWMDRS-041,,,AVL,2800,C62,,,,,
AuroraWMDRS-042,,,AVL,3000,C62,,,,,
AuroraWMDRS-043,,,AVL,2700,C62,,,,,
AuroraWMDRS-044,,,AVL,1400,C62,,,,,
AuroraWMDRS-045,,,AVL,2400,C62,,,,,
AuroraWMDRS-046,,,AVL,2100,C62,,,,,
AuroraWMDRS-047,,,AVL,2100,C62,,,,,
AuroraWMDRS-048,,,AVL,1800,C62,,,,,
AuroraWMDRS-049,,,AVL,2800,C62,,,,,
AuroraWMDRS-050,,,AVL,2700,C62,,,,,
AuroraWMDRS-051,,,AVL,2900,C62,,,,,
AuroraWMDRS-052,,,AVL,1000,C62,,,,,
AuroraWMDRS-053,,,AVL,2000,C62,,,,,
AuroraWMDRS-054,,,AVL,2200,C62,,,,,
AuroraWMDRS-055,,,AVL,1800,C62,,,,,
AuroraWMDRS-056,,,AVL,2100,C62,,,,,
AuroraWMDRS-057,,,AVL,2300,C62,,,,,
AuroraWMDRS-058,,,AVL,1800,C62,,,,,
AuroraWMDRS-059,,,AVL,3000,C62,,,,,
AuroraWMDRS-060,,,AVL,1700,C62,,,,,
AuroraWMDRS-061,,,AVL,1700,C62,,,,,
AuroraWMDRS-062,,,AVL,2800,C62,,,,,
AuroraWMDRS-063,,,AVL,1100,C62,,,,,
AuroraWMDRS-064,,,AVL,2700,C62,,,,,
AuroraWMDRS-065,,,AVL,1800,C62,,,,,
AuroraWMDRS-066,,,AVL,2200,C62,,,,,
AuroraWMDRS-067,,,AVL,2700,C62,,,,,
AuroraWMDRS-068,,,AVL,2500,C62,,,,,
AuroraWMDRS-069,,,AVL,2700,C62,,,,,
AuroraWMDRS-070,,,AVL,2600,C62,,,,,
AuroraWMDRS-071,,,AVL,1500,C62,,,,,
AuroraWMDRS-072,,,AVL,3000,C62,,,,,
AuroraWMDRS-073,,,AVL,3000,C62,,,,,
AuroraWMDRS-074,,,AVL,1700,C62,,,,,
AuroraWMDRS-075,,,AVL,1200,C62,,,,,
AuroraWMDRS-076,,,AVL,2900,C62,,,,,
AuroraWMDRS-077,,,AVL,1100,C62,,,,,
AuroraWMDRS-078,,,AVL,2900,C62,,,,,
AuroraWMDRS-079,,,AVL,2000,C62,,,,,
AuroraWMDRS-080,,,AVL,1400,C62,,,,,
AuroraWMDRS-081,,,AVL,2500,C62,,,,,
AuroraWMDRS-082,,,AVL,2500,C62,,,,,
AuroraWMDRS-083,,,AVL,2000,C62,,,,,
AuroraWMDRS-084,,,AVL,1100,C62,,,,,
AuroraWMDRS-085,,,AVL,1300,C62,,,,,
AuroraWMDRS-086,,,AVL,2300,C62,,,,,
AuroraWMDRS-087,,,AVL,2700,C62,,,,,
AuroraWMDRS-088,,,AVL,2500,C62,,,,,
AuroraWMDRS-089,,,AVL,1500,C62,,,,,
AuroraWMDRS-090,,,AVL,2600,C62,,,,,
AuroraWMDRS-091,,,AVL,2600,C62,,,,,
AuroraWMDRS-092,,,AVL,2200,C62,,,,,
AuroraWMDRS-093,,,AVL,2000,C62,,,,,
AuroraWMDRS-094,,,AVL,1700,C62,,,,,
AuroraWMDRS-095,,,AVL,1300,C62,,,,,
AuroraWMDRS-096,,,AVL,2200,C62,,,,,
AuroraWMDRS-097,,,AVL,2100,C62,,,,,
AuroraWMDRS-098,,,AVL,3000,C62,,,,,
AuroraWMDRS-099,,,AVL,1400,C62,,,,,
AuroraWMDRS-100,,,AVL,1500,C62,,,,,
AuroraWMDRS-101,,,AVL,1900,C62,,,,,
AuroraWMDRS-102,,,AVL,2400,C62,,,,,
AuroraWMDRS-103,,,AVL,2400,C62,,,,,
AuroraWMDRS-104,,,AVL,2200,C62,,,,,
AuroraWMDRS-105,,,AVL,2200,C62,,,,,
AuroraWMDRS-106,,,AVL,1200,C62,,,,,
AuroraWMDRS-107,,,AVL,1600,C62,,,,,
AuroraWMDRS-108,,,AVL,2700,C62,,,,,
AuroraWMDRS-109,,,AVL,2400,C62,,,,,
