AttachmentDescription
identifier,name,shortDescription,longDescription,languageId,delete
HeaderStoreLogo,Geschäftslogo,AuroraStorefrontAssetStore,,-3,0
EmailBanner,E-Mail-Banner,E-Mail-Banner,,-3,0
EmailBottom_Content,Logo für Rabatt des E-Mail-Geschäfts,Logo für Rabatt des E-Mail-Geschäfts,,-3,0
WomenLandingPage_Atct_brand1,Brand1,Eine Marke anzeigen,,-3,0
WomenLandingPage_Atct_brand2,brand2,Eine Marke anzeigen,,-3,0
WomenLandingPage_Atct_brand3,brand3,Eine Marke anzeigen,,-3,0
WomenLandingPage_Atct_brand4,brand4,Eine Marke anzeigen,,-3,0
WomenLandingPage_Atct_brand5,brand5,Eine Marke anzeigen,,-3,0
HeaderESpot15OffPurchaseAd,15% auf gesamten Einkauf,Sparen Sie 15% auf Ihren gesamten Einkauf,,-3,0
HeaderESpotFreeShippingSpecial,Kostenloser Versand,Kostenloser Versand bei einem Bestellwert über $100,,-3,0
BoysPants_Atct_1,Wohlfühlpullover,"Einen Wohlfühlpullover kaufen und beim zweiten 25% sparen ",,-3,0
BoysPants_Atct_2,Jeans,Jeans für Jungen - 35% auf alle Styles,,-3,0
BoysShoes_Atct_1,Oberteile,Topangebote - 25% auf Jungen-Oberteile,,-3,0
BoysShoes_Atct_2,Sonderangebote,"Angebote für Jungenschuhe - 3 Paar kaufen, 2 Paar bezahlen",,-3,0
BoysTops_Atct_1,Wohlfühlpullover,"Einen Wohlfühlpullover kaufen und beim zweiten 25% sparen ",,-3,0
BoysTops_Atct_2,Jeans,Jeans für Jungen - 35% auf alle Styles,,-3,0
BoysRow1_Content,Angebote - Jungen,Angebot für coole Oberkleidung - Sparen Sie 30% bei Jungen-Oberteilen,,-3,0
GirlsDS_Atct_1,Kleider - Angebote,30% Rabatt auf Mädchenkleider,,-3,0
GirlsDS_Atct_2,Sonderangebote,"Angebote für Mädchenschuhe - 3 Paar kaufen, 2 Paar bezahlen",,-3,0
GirlsPants_Atct_1,Denim,Denim-Angebot - 35% auf Jeans für Mädchen,,-3,0
GirlsPants_Atct_2,Sommerschlussverkauf,Sommerschlussverkauf - Sparen Sie 50% bei Sommerröcken und -kleidern für Mädchen,,-3,0
GirlsShoes_Atct_1,Sonderangebote,"Angebote für Mädchenschuhe - 3 Paar kaufen, 2 Paar bezahlen",,-3,0
GirlsShoes_Atct_2,Sonderangebote ,"Angebote für Mädchenschuhe - 3 Paar kaufen, 2 Paar bezahlen",,-3,0
GirlsTops_Atct_1,T-Shirts - Oberteile,T-Shirts & Oberteile - 30% auf T-Shirts & Oberteile für Mädchen,,-3,0
GirlsTops_Atct_2,Warme Pullover,Warme Pullover,,-3,0
MenAcc_Atct_1,Seidenkrawatten,Angebot für Seidenkrawatten - 50% bei Kauf eines Anzugs,,-3,0
MenAcc_Atct_2,Anzüge,Angebot für Anzüge - 20% auf alle Anzüge für Männer,,-3,0
MenJackets_Atct_1,Cooles Leder,Cooles Leder - 20% auf alle Männer-Lederjacken,,-3,0
MenJackets_Atct_2,Luxuriöser Kaschmir,Luxuriöser Kaschmir - 15% auf alle Kaschmirmäntel für Männer,,-3,0
MenPants_Atct_1,Jeans,Bequeme Jeans - 15% auf Freizeit-Jeans für Männer,,-3,0
MenPants_Atct_2,Sonderangebote,"Angebot für Männerschuhe - 3 Paar kaufen, 2 Paar bezahlen",,-3,0
MenShirts_Atct_1,Basic-T-Shirts,"Angebot für Basic-T-Shirts - 3 kaufen, 2 bezahlen",,-3,0
MenShirts_Atct_2,Anzugshemd,Angebot für Anzugshemden - 15% auf alle Anzugshemden für Männer,,-3,0
MenShoes_Atct_1,Sonderangebote,"Angebot für Männerschuhe - 3 Paar kaufen, 2 Paar bezahlen",,-3,0
MenShoes_Atct_2,Ledergürtel,Ledergürtel - 20% auf die gesamte Kollektion,,-3,0
MenSuits_Atct_1,Anzüge,Angebot für Anzüge - 20% auf alle Anzüge für Männer,,-3,0
MenSuits_Atct_2,Seidenkrawatten,Angebot für Seidenkrawatten - 50% bei Kauf eines Anzugs,,-3,0
MenRow1_Content,Anzüge,Anzüge - 20% auf alle Anzüge für Männer,,-3,0
WAcc_Atct_1,Ledergürtel,Ledergürtel - 20% auf die gesamte Kollektion,,-3,0
WAcc_Atct_2,Perfekte Handtasche,Perfekte Handtasche - 25% auf Ihre Lieblingsmodelle,,-3,0
WHB_Atct_1,Perfekte Handtasche,Traumhafte Handtaschen - 25% auf die perfekte Handtasche,,-3,0
WHB_Atct_2,Sonnenbrillen,Designer-Sonnenbrillen - 35% auf die angesagtesten Styles der Saison,,-3,0
WPants_Atct_1,Jeans,Klassische Jeans - 20% auf Ihre Lieblings-Jeans,,-3,0
WPants_Atct_2,Ledergürtel,Ledergürtel - 20% auf die gesamte Kollektion,,-3,0
WSB_Atct_1,Jeans,Klassische Jeans - 20% auf Ihre Lieblings-Jeans,,-3,0
WSB_Atct_2,Shirts und Blusen,Shirts & Blusen - 25% auf unsere gesamte Kollektion,,-3,0
WSh_Atct_1,Glanzvoller Abend,Glanzvoller Abend - 15% auf alle Abendkleider,,-3,0
WSh_Atct_2,Sonderangebote,"Angebot für Frauenschuhe - 3 Paar kaufen, 2 Paar bezahlen",,-3,0
WSk_Atct_1,Jeans,Klassische Jeans - 20% auf Ihre Lieblings-Jeans,,-3,0
WSk_Atct_2,Sommerschlussverkauf,Sommerschlussverkauf - 50% auf Sommerröcke und -kleider für Frauen ,,-3,0
WSw_Atct_1,Glanzvoller Abend,Glanzvoller Abend,,-3,0
WSw_Atct_2,Wohlfühlpullover,Wohlfühlpullover,,-3,0
Accessories_Atct_1,Kristallklar,Kristallklar: 15% auf externe Bildschirme,,-3,0
Accessories_Atct_2,Beim Zubehör sparen,Beim Zubehör sparen: 25% auf Computerzubehör,,-3,0
Appliances_Atct_1,Jedesmal perfekt,Jedesmal perfekt: 15% Rabatt bei Kaffemaschinen,,-3,0
Appliances_Atct_2,Küchengeräteaktion,Küchengeräteaktion: 15% auf große Küchengeräte,,-3,0
BathAcc_Atct_1,Baumwollhandtücher,"Baumwollhandtücher: 3 Paar kaufen, nur 2 Paar bezahlen",,-3,0
BathAcc_Atct_2,Badezimmer-Accessoires,50% auf Badezimmer-Accessoires,,-3,0
Components_Atct_1,Individuelle Desktops,Individuelle Desktops: Stellen Sie Ihr Wunschsystem zusammen,,-3,0
Components_Atct_2,Individuelle Laptops,Individuelle Laptops: Wählen Sie die Komponenten nach Ihren Wünschen,,-3,0
Desktops_Atct_1,Individueller Desktop,Individuelle Desktops: Stellen Sie Ihr Wunschsystem zusammen,,-3,0
