AttachmentDescription
identifier,name,shortDescription,longDescription,languageId,delete
HeaderStoreLogo,Logotipo de la tienda,AuroraStorefrontAssetStore,,-5,0
EmailBanner,Banner del correo electrónico,Banner del correo electrónico,,-5,0
EmailBottom_Content,Enviar por correo electrónico el logotipo de promoción de la tienda,Enviar por correo electrónico el logotipo de promoción de la tienda,,-5,0
WomenLandingPage_Atct_brand1,Marca1,Mostrar una marca,,-5,0
WomenLandingPage_Atct_brand2,marca2,Mostrar una marca,,-5,0
WomenLandingPage_Atct_brand3,marca3,Mostrar una marca,,-5,0
WomenLandingPage_Atct_brand4,marca4,Mostrar una marca,,-5,0
WomenLandingPage_Atct_brand5,marca5,Mostrar una marca,,-5,0
HeaderESpot15OffPurchaseAd,15% de descuento de su compra,Ahórrese un 15% en toda su compra,,-5,0
HeaderESpotFreeShippingSpecial,Envío gratis,Gastos de envío gratis para pedidos de más de $100,,-5,0
BoysPants_Atct_1,Jerséis cómodos,"Jerséis cómodos; compre 1 y obtenga un 25% de descuento en el segundo ",,-5,0
BoysPants_Atct_2,Vaqueros,35% de descuento en todos los estilos,,-5,0
BoysShoes_Atct_1,Partes de arriba,Principales ofertas en partes de arriba para niños con un 25% de descuento,,-5,0
BoysShoes_Atct_2,Venta de calzado,"Compre 2 pares y llévese el tercero gratis",,-5,0
BoysTops_Atct_1,Jerséis cómodos,"Jerséis cómodos; compre 1 y obtenga un 25% de descuento en el segundo ",,-5,0
BoysTops_Atct_2,Vaqueros,35% de descuento en todos los estilos,,-5,0
BoysRow1_Content,Venta para niños,Ahorre un 30% en partes de arriba modernas para niños,,-5,0
GirlsDS_Atct_1,Venta de vestidos,30% de descuento en vestidos de niña,,-5,0
GirlsDS_Atct_2,Venta de calzado,"Compre 2 pares y llévese el tercero gratis",,-5,0
GirlsPants_Atct_1,Ropa vaquera,"Oferta, 35% de descuento en vaqueros para chica",,-5,0
GirlsPants_Atct_2,Liquidación de verano,Ahorre un 50% en faldas y vestidos de chica,,-5,0
GirlsShoes_Atct_1,Venta de calzado,"Compre 2 pares y llévese el tercero gratis",,-5,0
GirlsShoes_Atct_2,Venta de calzado ,"Compre 2 pares y llévese el tercero gratis",,-5,0
GirlsTops_Atct_1,Camisetas/Polos/Bodies,30% de descuento en partes de arriba de niña,,-5,0
GirlsTops_Atct_2,Jerséis calientes,Jerséis calientes,,-5,0
MenAcc_Atct_1,Corbata de seda,Corbata de seda: 50% de descuento con la compra de trajes,,-5,0
MenAcc_Atct_2,Trajes,20% de descuento en trajes de hombre,,-5,0
MenJackets_Atct_1,Piel moderna,20% de descuento en chaquetas de piel para hombre,,-5,0
MenJackets_Atct_2,Cachemir de lujo,15% de descuento en abrigos de cachemir,,-5,0
MenPants_Atct_1,Vaqueros,15% de descuentos en pantalones vaqueros de hombre,,-5,0
MenPants_Atct_2,Venta de calzado,"Venta de calzado para hombre; compre dos pares y llévese el tercero gratis",,-5,0
MenShirts_Atct_1,Camisetas básicas,"Venta de camisetas básicas: compre 2 y llévese la tercera gratis",,-5,0
MenShirts_Atct_2,Camisa de vestir,15% de descuento en camisas de vestir de hombre,,-5,0
MenShoes_Atct_1,Venta de calzado,"Venta de calzado para hombre; compre dos pares y llévese el tercero gratis",,-5,0
MenShoes_Atct_2,Cinturones de piel,20% de descuento en toda nuestra colección,,-5,0
MenSuits_Atct_1,Trajes,20% de descuento en trajes de hombre,,-5,0
MenSuits_Atct_2,Corbata de seda,Corbata de seda: 50% de descuento con la compra de trajes,,-5,0
MenRow1_Content,Trajes,20% de descuento en trajes de hombre,,-5,0
WAcc_Atct_1,Cinturones de piel,20% de descuento en toda nuestra colección,,-5,0
WAcc_Atct_2,Bolso perfecto,25% de descuento en sus estilos favoritos,,-5,0
WHB_Atct_1,Bolso perfecto,25% de descuento en el bolso perfecto,,-5,0
WHB_Atct_2,Gafas de sol,35% de descuento en los últimos estilos de temporada,,-5,0
WPants_Atct_1,Vaqueros,20% de descuento en su par favorito,,-5,0
WPants_Atct_2,Cinturones de piel,20% de descuento en toda nuestra colección,,-5,0
WSB_Atct_1,Vaqueros,20% de descuento en su par favorito,,-5,0
WSB_Atct_2,Camisas y Blusas,25% de descuento en toda nuestra colección,,-5,0
WSh_Atct_1,Noche estelar,Noche estelar: 15% de descuento en trajes de noche de señora,,-5,0
WSh_Atct_2,Venta de calzado,"Venta de calzado de mujer: compre dos pares y llévese el tercero gratis",,-5,0
WSk_Atct_1,Vaqueros,20% de descuento en su par favorito,,-5,0
WSk_Atct_2,Liquidación de verano,Ahorre un 50% en faldas y vestidos de mujer ,,-5,0
WSw_Atct_1,Noche estelar,Noche estelar,,-5,0
WSw_Atct_2,Jerséis cómodos,Jerséis cómodos,,-5,0
Accessories_Atct_1,Cristal transparente,Cristal transparente 15% de descuento en vitrinas exteriores,,-5,0
Accessories_Atct_2,Ahorre en accesorios,25% de descuento en accesorios para ordenador,,-5,0
Appliances_Atct_1,Siempre perfecto,15% de descuento en cafeteras especializadas,,-5,0
Appliances_Atct_2,Grandes ahorros en la cocina,15% de descuento en grandes electrodomésticos,,-5,0
BathAcc_Atct_1,Toallas de algodón,"Compre 2 y llévese otra gratis",,-5,0
BathAcc_Atct_2,Accesorios de baño,50% de descuento en accesorios de baño,,-5,0
Components_Atct_1,Ordenadores de sobremesa personalizados,Diseñe el sistema que siempre ha soñado,,-5,0
Components_Atct_2,Portátiles personalizados,Seleccione los componentes según sus necesidades,,-5,0
Desktops_Atct_1,Sistema de sobremesa personalizado,Diseñe el sistema que siempre ha soñado,,-5,0
Desktops_Atct_2,Ahorre en impresoras,50% de descuento con la compra de un sistema de sobremesa,,-5,0
Dairy_Atct_1,Camembert cremoso,Camembert cremoso 12 euros sólo esta semana,,-5,0
Dairy_Atct_2,Leche fresca,"Leche fresca 3,99 los 2 litros, sólo esta semana",,-5,0
DesktopsAndLaptops,Ordenadores de sobremesa y portátiles,Ordenadores de sobremesa personalizados y portátiles Configure la máquina de sus sueños,,-5,0
GetReadyForSchool,Preparados para el cole,Preparados para el cole 15% de descuento en una selección de portátiles,,-5,0
PowerOnTheGo,Potencia a mano,Potencia a mano 10% de descuento en una selección de tabletas,,-5,0
Fruits_Atct_1,Manzanas rojas y deliciosas,"Manzanas rojas y deliciosas 5 euros la bolsa de 5 kg, sólo esta semana",,-5,0
Fruits_Atct_2,Frutas del bosque,"Frutas del bosque 3,99 cada paquete, sólo esta semana",,-5,0
Furniture_Atct_1,Mobiliario de dormitorio,15% de descuento en mobiliario de dormitorio,,-5,0
Furniture_Atct_2,Ahorre en iluminación,40% de descuento en una selección de lámparas de mesa,,-5,0
FreeDelivery,Entrega gratis,Reciba su compra gratis si el importe supera los 100 euros,,-5,0
AtlanticLobster,Langosta del atlántico,"Langosta del atlántico 18,99/kg, sólo esta semana",,-5,0
CrispRomaine,Lechuga fresca,"Lechuga fresca 1,99/kg, sólo esta semana",,-5,0
FreeConsultation,Consultas gratis,Reciba consejos expertos en cada recogida de medicamentos,,-5,0
NaturalVitamins,Vitaminas naturales,Vitaminas naturales 25% de descuento en todos los suplementos orgánicos,,-5,0
AutomaticRefills,Reposiciones automáticas,Inscríbase hoy mismo para recibir reposiciones automáticamente,,-5,0
LivingRoomSale,Ofertas para el salón,Ahorre un 15% en mobiliario para su salón,,-5,0
PerfectEveryTime,Siempre perfecto,15% de descuento en cafeteras especializadas,,-5,0
SaveOnLighting,Ahorre en iluminación,40% de descuento en una selección de lámparas de mesa,,-5,0
Kitchenware_Atct_1,Artículos de cocina de acero inoxidable,20% de descuento en artículos de cocina de acero inoxidable,,-5,0
Kitchenware_Atct_2,Grandes ahorros en la cocina,15% de descuento en grandes electrodomésticos,,-5,0
Laptops_Atct_1,Portátiles personalizados,Seleccione los componentes según sus necesidades,,-5,0
Laptops_Atct_2,Ahorre en accesorios,25% de descuento en accesorios para ordenador,,-5,0
Lighting_Atct_1,Ahorre en iluminación,40% de descuento en una selección de lámparas de mesa,,-5,0
Lighting_Atct_2,Renueve su salón,15% de descuento en mobiliario de salón,,-5,0
Magazines_Atct_1,Revista Photoritz,50% de descuento al renovar su suscripción,,-5,0
Magazines_Atct_2,Revista SocietyTime,25% de descuento en suscripciones para 2 años,,-5,0
Meat_Atct_1,A la parrilla lacada con miel,"Pechuga de pollo a la parrilla lacada con miel, 5,99 el kilo",,-5,0
Meat_Atct_2,Sashimi de salmón,"Sashimi de salmón 18,99/kg, sólo esta semana",,-5,0
Medicines_Atct_1,Reposiciones automáticas,Inscríbase hoy mismo para recibir reposiciones automáticamente,,-5,0
Medicines_Atct_2,Todo vitaminas naturales,25% de descuento en todos los suplementos de dieta orgánicos,,-5,0
SubscribeAndSave,Suscríbase y ahorre,25% de descuento al suscribirse a 2 o más revistas,,-5,0
SubscribeToNewsletters,Suscríbase a boletines de noticias,Suscríbase a boletines de noticias Suscríbase ahora,,-5,0
SubscribeToMagazines,Revista Econo Sense,"Revista Econo Sense Durante un periodo limitado, pague 1 año y el siguiente será gratis",,-5,0
Newsletters_Atct_1,Suscríbase a boletines de noticias,25% de descuento al suscribirse a 2 o más revistas,,-5,0
Newsletters_Atct_2,Revista Delish,25% de descuento en su primer año de suscripción,,-5,0
Tablets_Atct_1,Potencia a mano,Potencia a mano 10% de descuento en tabletas,,-5,0
Tablets_Atct_2,Preparados para el cole,Preparados para el cole 15% de descuento en una selección de portátiles,,-5,0
Tableware_Atct_1,Mezclar y combinar,"Mezcle y combine copas, compre 1 y llévese otra gratis",,-5,0
Tableware_Atct_2,Mezclar y combinar platos,"Mezcle y combine platos, compre 1 y llévese otro gratis",,-5,0
Vegetables_Atct_1,Zanahorias de la huerta,"Zanahorias de la huerta 2 euros el manojo, sólo esta semana",,-5,0
Vegetables_Atct_2,Ensalada mixta envasada,"Ensalada mixta envasada 2,29 por paquete, sólo esta semana",,-5,0
Vitamins_Atct_1,Todo vitaminas naturales,25% de descuento en todos los suplementos de dieta orgánicos,,-5,0
Vitamins_Atct_2,Cápsulas contra la gripe,"Cápsulas contra la gripe Remedio en formato de cápsulas de gelatina, 12,99 la botella",,-5,0
