AttachmentDescription
identifier,name,shortDescription,longDescription,languageId,delete
HeaderStoreLogo,商店標誌,AuroraStorefrontAssetStore,,-8,0
EmailBanner,電子郵件橫幅,電子郵件橫幅,,-8,0
EmailBottom_Content,用電子郵件傳送商店推廣標誌,用電子郵件傳送商店推廣標誌,,-8,0
WomenLandingPage_Atct_brand1,Brand1,顯示品牌,,-8,0
WomenLandingPage_Atct_brand2,brand2,顯示品牌,,-8,0
WomenLandingPage_Atct_brand3,brand3,顯示品牌,,-8,0
WomenLandingPage_Atct_brand4,brand4,顯示品牌,,-8,0
WomenLandingPage_Atct_brand5,brand5,顯示品牌,,-8,0
HeaderESpot15OffPurchaseAd,購物打八五折,全面可享 15% 折扣,,-8,0
HeaderESpotFreeShippingSpecial,不收運費,購買一百美元以上免運費,,-8,0
BoysPants_Atct_1,保暖毛衣,"保暖毛衣 第二件七五折 ",,-8,0
BoysPants_Atct_2,牛仔褲,男童牛仔褲 全面六五折,,-8,0
BoysShoes_Atct_1,上衣,上衣特惠價 男童上衣七五折,,-8,0
BoysShoes_Atct_2,鞋子特賣,"男童鞋特賣 買兩雙再送一雙",,-8,0
BoysTops_Atct_1,保暖毛衣,"保暖毛衣 第二件七五折 ",,-8,0
BoysTops_Atct_2,牛仔褲,男童牛仔褲 全面六五折,,-8,0
BoysRow1_Content,男童裝特賣,酷炫上衣 男童上衣七折,,-8,0
GirlsDS_Atct_1,洋裝特賣,洋裝特賣 女童洋裝七折,,-8,0
GirlsDS_Atct_2,鞋子特賣,"女童鞋特賣 買兩雙再送一雙",,-8,0
GirlsPants_Atct_1,丹寧布,丹寧褲特賣 女童牛仔褲六五折,,-8,0
GirlsPants_Atct_2,夏季清倉大拍賣,夏季清倉 女童夏季裙裝和洋裝半價,,-8,0
GirlsShoes_Atct_1,鞋子特賣,"女童鞋特賣 買兩雙再送一雙",,-8,0
GirlsShoes_Atct_2,鞋子特賣 ,"女童鞋特賣 買兩雙再送一雙",,-8,0
GirlsTops_Atct_1,T 恤上衣,T 恤和上衣 女童 T 恤和上衣七折,,-8,0
GirlsTops_Atct_2,超暖毛衣,超暖毛衣,,-8,0
MenAcc_Atct_1,絲質領帶,絲質領帶特賣 隨西裝購買打五折,,-8,0
MenAcc_Atct_2,西裝,西裝特賣 男士西裝八折,,-8,0
MenJackets_Atct_1,酷炫皮衣,酷炫皮衣 男士皮夾克八折,,-8,0
MenJackets_Atct_2,奢華喀什米爾羊毛,奢華喀什米爾羊毛 喀什米爾混紡羊毛男士外套八五折,,-8,0
MenPants_Atct_1,牛仔褲,舒適牛仔褲 男士丹寧休閒褲八五折,,-8,0
MenPants_Atct_2,鞋子特賣,"男鞋特賣，買兩雙再送一雙",,-8,0
MenShirts_Atct_1,基本款 T 恤,"基本款 T 恤特賣，買二送一",,-8,0
MenShirts_Atct_2,正式襯衫,正式襯衫特賣 正式男士襯衫八五折,,-8,0
MenShoes_Atct_1,鞋子特賣,"男鞋特賣，買兩雙再送一雙",,-8,0
MenShoes_Atct_2,皮帶,皮帶 全面八折,,-8,0
MenSuits_Atct_1,西裝,西裝特賣 男士西裝八折,,-8,0
MenSuits_Atct_2,絲質領帶,絲質領帶特賣 隨西裝購買打五折,,-8,0
MenRow1_Content,西裝,西裝特賣 男士西裝八折,,-8,0
WAcc_Atct_1,皮帶,皮帶 全面八折,,-8,0
WAcc_Atct_2,完美手提包,完美手提包 最紅款式七五折,,-8,0
WHB_Atct_1,完美手提包,夢幻逸品手提包 完美手提包七五折,,-8,0
WHB_Atct_2,太陽眼鏡,設計師款太陽眼鏡 當季最夯六五折,,-8,0
WPants_Atct_1,牛仔褲,經典款牛仔褲 最紅款式八折,,-8,0
WPants_Atct_2,皮帶,皮帶 全面八折,,-8,0
WSB_Atct_1,牛仔褲,經典款牛仔褲 最紅款式八折,,-8,0
WSB_Atct_2,襯衫和短衫,襯衫和短衫 全面七五折,,-8,0
WSh_Atct_1,亮麗晚宴洋裝,亮麗晚宴洋裝 晚宴洋裝八五折,,-8,0
WSh_Atct_2,鞋子特賣,"女鞋特賣 買兩雙再送一雙",,-8,0
WSk_Atct_1,牛仔褲,經典款牛仔褲 最紅款式八折,,-8,0
WSk_Atct_2,夏季清倉大拍賣,夏季清倉 夏季裙裝和洋裝半價 ,,-8,0
WSw_Atct_1,亮麗晚宴洋裝,亮麗晚宴洋裝,,-8,0
WSw_Atct_2,保暖毛衣,保暖毛衣,,-8,0
Accessories_Atct_1,Crystal Clear,Crystal Clear 外接顯示器享有 15% 折扣,,-8,0
Accessories_Atct_2,配件節省,配件節省電腦配件享有 25% 折扣,,-8,0
Appliances_Atct_1,Perfect Every Time,Perfect Every Time 享有 15% 折扣的專業咖啡機,,-8,0
Appliances_Atct_2,廚房用具大優惠,廚房用具享有 15% 折扣廚房設備,,-8,0
BathAcc_Atct_1,棉毛巾,"棉毛巾特賣，買 2 送 1",,-8,0
BathAcc_Atct_2,浴室配件,浴室配件享有 50% 折扣,,-8,0
Components_Atct_1,自訂桌上型電腦,自訂桌上型電腦設計您的夢幻系統,,-8,0
Components_Atct_2,自訂膝上型電腦,自訂膝上型電腦選取適合您需要的元件,,-8,0
Desktops_Atct_1,自訂桌上型電腦,自訂桌上型電腦設計您的夢幻系統,,-8,0
Desktops_Atct_2,印表機節省,印表機節省搭配任一種桌上型電腦購買享有 50% 折扣,,-8,0
Dairy_Atct_1,乳酪,乳酪限本週每份 $12,,-8,0
Dairy_Atct_2,鮮奶,鮮奶限本週每 2 公升桶裝 $3.99,,-8,0
DesktopsAndLaptops,桌上型電腦和膝上型電腦,自訂的桌上型電腦和膝上型電腦打造您的夢幻機器,,-8,0
GetReadyForSchool,開學前必備,開學前必備選取的膝上型電腦享有 15% 折扣,,-8,0
PowerOnTheGo,移動電源,移動電源選取的平板電腦享有 10% 折扣,,-8,0
Fruits_Atct_1,五爪蘋果,五爪蘋果限本週 5 公斤袋裝 $5,,-8,0
Fruits_Atct_2,大莓果,大莓果限本週每包 $3.99,,-8,0
Furniture_Atct_1,寢室傢俱,寢室傢俱享有 15% 折扣,,-8,0
Furniture_Atct_2,燈光節省,燈光節省所選的桌燈享有 40% 折扣,,-8,0
FreeDelivery,免費運送,免費運送在您消費超過 $100 即享有免費運送,,-8,0
AtlanticLobster,大西洋龍蝦,大西洋龍蝦限本週每公斤 $18.99,,-8,0
CrispRomaine,羅馬生菜,羅馬生菜限本週每公斤 $1.99,,-8,0
FreeConsultation,免費諮詢,免費諮詢在每次取藥時享有專業的建議,,-8,0
NaturalVitamins,天然維他命,天然維他命全部有機補充品享有 25% 折扣,,-8,0
AutomaticRefills,自動裝填,自動裝填今天就登入自動裝填,,-8,0
LivingRoomSale,客廳銷售,客廳銷售客廳傢俱可省下 15%,,-8,0
PerfectEveryTime,Perfect Every Time,Perfect Every Time 專業咖啡機享有 15% 折扣,,-8,0
SaveOnLighting,燈光節省,燈光節省所選的桌燈享有 40% 折扣,,-8,0
Kitchenware_Atct_1,不鏽鋼廚具,不鏽鋼廚具享有 20% 折扣的不鏽鋼廚具,,-8,0
Kitchenware_Atct_2,廚房用具大優惠,廚房用具享有 15% 折扣廚房設備,,-8,0
Laptops_Atct_1,自訂膝上型電腦,自訂膝上型電腦選取適合您需要的元件,,-8,0
Laptops_Atct_2,配件節省,配件節省電腦配件享有 25% 折扣,,-8,0
Lighting_Atct_1,燈光節省,燈光節省所選的桌燈享有 40% 折扣,,-8,0
