MarketingContentDescription
contentName,location,marketingText,langId,field1,field2,delete
ProductPageTab1,,Description,-2,,,0
ProductPageTab2,,D'autres clients ont également acheté,-2,,,0
SearchPageTab1,,Produits (<span id="searchTabProdCount">[productTotalCount]</span>),-2,,,0
SearchPageTab2,,Articles et vidéos (<span id="searchTabContentCount">[contentTotalCount]</span>),-2,,,0
PasswordResetNotifyCenter,,"<h2 style=""color: #808080; font-size: 16px; font-weight: normal; margin-top: 30px; margin-bottom: 12px;"">Cher/Chère [userName],</h2>               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">Nous avons reçu votre demande de réinitialisation de mot de passe. </p>               <br />               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;""><strong>Votre code de validation est le suivant : </strong>[validationCode]</p>               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">Utilisez le code de validation dans le navigateur à partir duquel vous avez lancé la demande de réinitialisation du mot de passe.</p>               <br />               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">Merci,</p>               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">L'équipe [storeName]</p><br /><br />",-2,,,0
WishlistCreateNotifyCenter,,"<h2 style=""color: #808080; font-size: 16px; font-weight: normal; margin-top: 30px; margin-bottom: 12px;"">Cher client,</h2>               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">[senderName] avec l'adresse électronique : [senderEmail] a créé une liste de présélection.</p>               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">Pour consulter cette liste, cliquez sur le lien suivant :</p>               <p style=""margin: 15px 0; line-height: 14px; overflow: hidden; width: 558px; word-wrap: break-word;"">                <a style=""color: #0081AF; text-decoration: underline;"" class=""link""href=""[link]"">[link]</a>               </p>               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">Merci,</p>               <p style=""margin: 0; line-height: 14px; color: #404040; font-size: 12px;"">L'équipe [storeName]</p><br/>",-2,,,0
HelpCenter,,"<div class=""container_static_full_width container_margin_5px""> <div class=""static_page_content""> <div class=""page_header"" role=""heading"" aria-level=""1"">Aide</div> <div class=""content_box""> <div class=""header_top"">Foire aux questions</div> <div class=""item_spacer_5px""></div> <div class=""item_spacer_10px""></div> <div class=""header"">Comment passer commande ?</div> <div class=""info_section""> <p>Commander depuis [storeName] est extrêmement simple. S'il s'agit de votre premier achat dans notre magasin, suivez simplement ces trois étapes : </p> <div class=""item_spacer_5px""></div> <ol> <li>Parcourez le catalogue. </li> <li>Ajoutez l'article de votre choix au panier. </li> <li>Complétez le processus de règlement des achats. </li> </ol> <div class=""item_spacer_5px""></div> <p>Votre adresse électronique et un mot de passe vous seront demandés afin de vous enregistrer en tant que client. Ainsi, lors de vos prochains achats, ces informations auront déjà été enregistrées et vous n'aurez pas à les fournir une nouvelle fois.</p> </div> <div class=""header"">Comment payer ?</div> <div class=""info_section""> <p>Nous acceptons les cartes Visa, Mastercard et American Express. Lors du règlement de vos achats, le numéro de votre carte de crédit vous sera demandé.</p> </div> <div class=""header"">Puis-je utiliser ma carte de crédit en toute sécurité ?</div> <div class=""info_section""> <p>Nous garantissons que toute opération effectuée sur le site [storeName] est sécurisée à 100 %. Cela signifie que votre carte ne sera débitée d'aucun montant en cas d'achats illicites sur le site [storeName]. Si vous le souhaitez, vous pouvez n'indiquer que les cinq derniers chiffres de votre carte et la date d'expiration. Une fois votre commande passée, vous pourrez nous communiquer par téléphone les autres chiffres de votre numéro de carte.</p> </div> <div class=""header"">Comment puis-je suivre ma commande ?</div> <div class=""info_section""> <p>Vous pouvez suivre toute commande effectuée chez [storeName] en cliquant simplement sur le lien Mon compte situé en haut de chaque page. Là, vous pouvez afficher ou modifier toute commande dont le processus d'expédition n'a pas encore été lancé.</p> </div> </div> </div> <div class=""clear_float""></div> </div>",-2,,,0
ContactUsCenter,,"<div class=""container_static_full_width container_margin_5px""> <div class=""static_page_content""> <div class=""page_header"" role=""heading"" aria-level=""1"">Nous contacter</div> <div class=""content_box""> <div class=""header_top"">Contact</div> <div class=""item_spacer_5px""></div> <div class=""item_spacer_10px""></div> <div class=""info_section""> <p>Nous sommes là pour vous aider.</p> <br> <p>Si vous avez besoin d'aide pour votre commande, écrivez-nous à l'adresse support@[storeName].com.</p> <br> <p>Si vous avez des questions concernant [storeName], ou désirez apporter des commentaires sur notre magasin ou notre site Web, contactez-nous à l'adresse questions@[storeName].com.</p> </div> </div> </div> <div class=""clear_float""></div> </div>",-2,,,0
ReturnPolicyCenter,,"<div class=""container_static_full_width container_margin_5px""> <div class=""static_page_content""> <div class=""page_header"" role=""heading"" aria-level=""1"">Politique de retour</div> <div class=""content_box""> <div class=""header_top"">Nos principes</div> <div class=""item_spacer_5px""></div> <div class=""item_spacer_10px""></div> <div class=""info_section""> <p>Si pour une raison quelconque, vous n'êtes pas entièrement satisfait de votre commande, il vous suffit de contacter le service clientèle pour savoir comment faire pour retourner votre commande contre remboursement. Lorsque vous souhaiterez passer une nouvelle commande, nous serons heureux de vous servir à nouveau.</p> <div class=""item_spacer_50px""></div> <div class=""item_spacer_50px""></div> </div> </div> </div> <div class=""clear_float""></div> </div>",-2,,,0
PrivacyContentVersion1.0,,"<div class=""container_static_full_width container_margin_5px""><div class=""static_page_content""><p class=""error_msg"" style=""font-size:12px"">Le texte suivant est uniquement fourni comme exemple. N'utilisez pas ce texte dans votre magasin personnalisé. Remplacez-le par le contenu adapté à votre magasin. Votre organisation est tenue de s'assurer que le conseiller juridique a effectué tous les contrôles requis concernant les pages de votre magasin et la politique de confidentialité. </p><div class=""page_header"" role=""heading"" aria-level=""1"">Confidentialité</div><p class=""error_msg"">[Remplacez l'exemple de texte ci-après par les règles de confidentialité pour votre site.]</p><div class=""content_box""><div class=""header_top"">Informations personnelles</div><div class=""item_spacer_5px""></div><div class=""item_spacer_10px""></div><div class=""info_section""><p>[storeName] s'engage à protéger et à respecter votre vie privée. Vous pouvez visiter le site Web [storeName] sans vous identifier, ni révéler d'informations personnelles. Pour la livraison et la facturation, nous devons parfois stocker vos informations personnelles sur un serveur sécurisé. Celles-ci ne seront jamais vendues à un tiers, ni utilisées pour vous contacter sans votre consentement.</p><br><p>Si vous acceptez de nous fournir des informations personnelles via Internet, informations dont nous pouvons avoir besoin pour correspondre avec vous ou traiter votre commande, nous sommes disposés à vous faire connaître notre mode d'utilisation de ces informations. Vous pouvez nous contacter à tout moment pour savoir quelles informations personnelles nous avons collectées et stockées. A votre demande, nous effacerons vos informations personnelles ou arrêterons de les utiliser pour vous contacter.</p><div class=""privacyCheckbox""><br></div></div><div class=""header_top"">Suivi du comportement d'achat</div><div class=""item_spacer_5px""></div><div class=""item_spacer_10px""></div><div class=""info_section""><p>Pour vous faire bénéficier, ainsi qu'à d'autres clients, d'une expérience d'achat plus personnalisée et pertinente, [storeName] peut effectuer un suivi et collecter des informations sur la façon dont vous utilisez notre site. [storeName] utilise des cookies pour effectuer un suivi et collecter des informations.</p><br><p>Les informations collectées par [storeName] sont exploitées en interne par le personnel [storeName] autorisé, ce à trois fins essentielles.</p><br><p>En premier lieu, ces informations nous permettent d'améliorer notre site en déterminant les secteurs, caractéristiques et produits qui vous intéressent le plus.</p><br><p>Ensuite, nous tentons de personnaliser notre site à l'intention de nos clients. Nous pourrions, par exemple, vous recommander à l'avenir des produits, des offres promotionnelles ou des fonctionnalités susceptibles de vous intéresser, en fonction des articles que vous avez consultés ou des achats que vous avez effectués.</p><br><p>Enfin, nous conservons la trace des domaines depuis lesquels nos clients ont accédé à notre site. Nous procédons à l'analyse de ces données pour définir des tendances et des statistiques, puis nous détruisons les informations source.</p><br><p>Si vous autorisez [storeName] à collecter des informations relatives à vos activités d'achat sur notre site, vous pouvez changer d'avis à tout moment sur la page Mon compte. Si vous choisissez de ne plus être suivi lorsque vous effectuez vos achats sur notre site, toutes les données collectées précédemment sur vos interactions avec notre site seront effacées. Les détails de votre compte, l'historique des commandes et les éléments ajoutés à vos listes de présélection ou à votre panier ne seront pas effacés.</p><div class=""marketingConsentCheckbox""><br></div></div></div></div><div class=""clear_float""></div></div>",-2,,,0
